EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200201237, , , , GO17028|111995-LC-SSO_TILE
200201238, , , , GO17028|111995-LC-SSO_TILE
200201239, , , , GO17028|111995-LC-SSO_TILE
200201240, , , , GO17028|111995-LC-SSO_TILE
200201241, , , , GO17028|111995-LC-SSO_TILE
200201242, , , , GO17028|111995-LC-SSO_TILE
200201243, , , , GO17028|111995-LC-SSO_TILE
200201244, , , , GO17028|111995-LC-SSO_TILE
200201245, , , , GO17028|111995-LC-SSO_TILE
200201246, , , , GO17028|111995-LC-SSO_TILE
200201247, , , , GO17028|111995-LC-SSO_TILE
200201248, , , , GO17028|111995-LC-SSO_TILE
200201249, , , , GO17028|111995-LC-SSO_TILE
200201250, , , , GO17028|111995-LC-SSO_TILE
200201251, , , , GO17028|111995-LC-SSO_TILE
200201252, , , , GO17028|111995-LC-SSO_TILE
200201253, , , , GO17028|111995-LC-SSO_TILE
200201254, , , , GO17028|111995-LC-SSO_TILE
200201255, , , , GO17028|111995-LC-SSO_TILE
200201256, , , , GO17028|111995-LC-SSO_TILE
200201257, , , , GO17028|111995-LC-SSO_TILE
200201258, , , , GO17028|111995-LC-SSO_TILE
200201259, , , , GO17028|111995-LC-SSO_TILE
200201260, , , , GO17028|111995-LC-SSO_TILE
200201261, , , , GO17028|111995-LC-SSO_TILE
200201262, , , , GO17028|111995-LC-SSO_TILE
200201263, , , , GO17028|111995-LC-SSO_TILE
200201264, , , , GO17028|111995-LC-SSO_TILE
200201265, , , , GO17028|111995-LC-SSO_TILE
200201266, , , , GO17028|111995-LC-SSO_TILE
200201267, , , , GO17028|111995-LC-SSO_TILE
200201268, , , , GO17028|111995-LC-SSO_TILE
200201269, , , , GO17028|111995-LC-SSO_TILE
200201270, , , , GO17028|111995-LC-SSO_TILE
200201271, , , , GO17028|111995-LC-SSO_TILE
200201272, , , , GO17028|111995-LC-SSO_TILE
200201273, , , , GO17028|111995-LC-SSO_TILE
200201274, , , , GO17028|111995-LC-SSO_TILE
200201275, , , , GO17028|111995-LC-SSO_TILE
200201276, , , , GO17028|111995-LC-SSO_TILE
200201277, , , , GO17028|111995-LC-SSO_TILE
200201278, , , , GO17028|111995-LC-SSO_TILE
200201279, , , , GO17028|111995-LC-SSO_TILE
200201280, , , , GO17028|111995-LC-SSO_TILE
200201281, , , , GO17028|111995-LC-SSO_TILE
200201282, , , , GO17028|111995-LC-SSO_TILE
200201283, , , , GO17028|111995-LC-SSO_TILE
200201284, , , , GO17028|111995-LC-SSO_TILE
200201285, , , , GO17028|111995-LC-SSO_TILE
200201286, , , , GO17028|111995-LC-SSO_TILE
200201287, , , , GO17028|111995-LC-SSO_TILE
200201288, , , , GO17028|111995-LC-SSO_TILE
200201289, , , , GO17028|111995-LC-SSO_TILE
200201290, , , , GO17028|111995-LC-SSO_TILE
200201291, , , , GO17028|111995-LC-SSO_TILE
200201292, , , , GO17028|111995-LC-SSO_TILE
