#EPIC,Campaign
200004841,C3
200004843,C3
200004844,C3
200004845,C3
200004846,C3
200004847,C3
200004848,C3
200004849,C3
200004851,C3
202717132,C2
203092367,C2
203393495,C2
203514293,C2
203633963,C2
203734535,C2
203761347,C2
203770817,C2
203836090,C2
203889365,C2
203907143,C2
203927020,C2
203937317,C2
204141790,C2
204226766,C2
204241221,C2
204296786,C2
204313397,C2
204356572,C2
204371831,C2
204372172,C2
204399980,C2
204490599,C2
204494885,C2
204506777,C2
204506926,C2
204514548,C2
204550630,C2
204595607,C2
204624076,C2
204638251,C2
204662993,C2
204819556,C2
204926239,C2
204951731,C2
204959839,C2
204987685,C2
205010433,C2
205089975,C2
205204563,C2
205211890,C2
205311975,C2
205467732,C2
205703810,C2
205917956,C3
205924248,C3
205962429,C3
205967173,C3
205974115,C3
205979004,C3
205982900,C3
205995584,C3
205997466,C3
206003187,C3
206009487,C3
206020725,C3
206053352,C3
206054604,C3
206064678,C3
206064711,C3
206070413,C3
206078331,C3
206085353,C3
206088888,C3
206094605,C3
206103150,C3
206107253,C3
206108325,C3
206135809,C3
206154641,C3
206167112,C3
206169988,C3
206180842,C3
206183149,C3
206184719,C3
206189170,C3
206189649,C3
206201061,C3
206225297,C3
206245055,C3
206262336,C3
206270336,C3
206289686,C3
206289767,C3
206292760,C3
206359447,C3
206368174,C3
206371648,C3
206445085,C3
206453540,C3
206496452,C3
206535752,C3
211383343,C5
211401610,C5
211403555,C5
211407836,C5
211408116,C5
211408138,C5
211408522,C5
211408990,C5
211409011,C5
211409345,C5
211409348,C5
211409376,C5
211409644,C5
211410664,C5
211410931,C5
211412077,C5
211412252,C5
211414203,C5
211416577,C5
211417812,C5
211427749,C5
211429653,C5
211480655,C5
211529191,C5
211565467,C5
211569404,C5
211596649,C5
211623711,C5
211630249,C5
211642294,C5
211686003,C5
211696659,C5
211708181,C5
211730342,C5
211765471,C5
211779126,C5
211808853,C5
211846489,C5
211888384,C5
211892034,C5
211902739,C5
211909987,C5
211912407,C5
211916015,C5
211918335,C5
211918500,C5
211920612,C5
211927867,C5
211929178,C5
211931736,C5
211934173,C5
211936827,C5
211948678,C5
211950227,C5
211950703,C5
211951863,C5
211952381,C5
211954226,C5
211954550,C5
211957988,C5
211972627,C5
211975006,C5
211979334,C5
211980170,C5
211980688,C5
211988287,C5
211992776,C5
211995547,C5
212001099,C5
212100422,C5
212104541,C5
212160442,C5
212173112,C5
228682517,C5
