EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,cadence [min],Investigation IDs
202061197,91.89119000000001,23.73907,8.943999999999999,30,GO0018_LC|GO0036_LC|GO0044_LC
202061199,94.97378,23.26512,9.197000000000001,30,GO0018_LC|GO0019_LC|GO0036_LC|GO0044_LC|GO0048_LC|GO0082_LC
202061204,93.53169,18.96494,9.549,30,GO0018_LC|GO0036_LC|GO0044_LC
202061205,92.92882,20.1268,9.69,30,GO0018_LC|GO0036_LC|GO0044_LC|GO0049_LC
202061216,92.47565999999999,20.53943,10.8,30,GO0018_LC|GO0044_LC|GO0049_LC
202061164,95.73928000000001,15.943489999999999,10.9,30,GO0018_LC|GO0036_LC|GO0044_LC|GO0111_LC
202061223,92.73354,20.608970000000003,11.32,30,GO0018_LC|GO0044_LC|GO0049_LC|GO0111_LC
202061225,92.13384,21.61092,11.0,30,GO0018_LC|GO0036_LC|GO0044_LC|GO0111_LC
202061226,92.9937,20.66434,11.2,30,GO0018_LC|GO0036_LC|GO0044_LC|GO0049_LC|GO0101_LC
202061250,92.73015,20.60315,12.9,30,GO0018_LC|GO0044_LC|GO0049_LC|GO0111_LC
202061252,92.39989,20.6264,13.0,30,GO0018_LC|GO0044_LC|GO0049_LC|GO0111_LC
202061162,93.48671,17.18369,10.53,30,GO0018_LC|GO0036_LC|GO0049_LC
202061207,92.34728,20.88165,9.62,30,GO0018_LC|GO0049_LC
202061208,92.28083000000001,19.66325,9.98,30,GO0018_LC|GO0049_LC|GO0100_LC
202061236,92.34664000000001,20.6125,12.07,30,GO0018_LC|GO0049_LC
202061239,92.12397,20.47989,11.5,30,GO0018_LC|GO0049_LC|GO0111_LC
202061242,92.8346,20.62944,12.27,30,GO0018_LC|GO0049_LC
202061244,92.17922,20.51515,12.27,30,GO0018_LC|GO0049_LC
202061245,92.15845999999999,20.467,12.2,30,GO0018_LC|GO0049_LC|GO0111_LC
202061247,92.79993,20.59021,13.01,30,GO0018_LC|GO0049_LC
202061248,92.71305,20.628239999999998,13.15,30,GO0018_LC|GO0036_LC|GO0049_LC
202061249,92.70223,20.620929999999998,13.2,30,GO0018_LC|GO0049_LC
202061251,92.48182,20.568720000000003,14.4,30,GO0018_LC|GO0049_LC
202061253,92.72712,20.59589,13.6,30,GO0018_LC|GO0049_LC
202061255,92.73825,20.66094,14.2,30,GO0018_LC
