# Summary of K2 Program GO0097

Title: STARSPOT ROTATIONAL MODULATION ON X-RAY-SELECTED LATE-TYPE STARS: K2–FIELD 00

PI: Brown,  ()
CoIs: 



# Targets requested by this program that have been observed (32)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
202059204, 96.56058, 23.8273, 11.3, GO0002_LC|GO0005_LC|GO0066_LC|GO0087_LC|GO0089_LC|GO0094_LC|GO0097_LC|GO0098_LC|GO0104_LC|GO0107_LC|GO0111_LC|GO0120_LC|GO0005_SC
202059229, 101.69051, 15.96171, 10.5, GO0002_LC|GO0005_LC|GO0066_LC|GO0087_LC|GO0089_LC|GO0094_LC|GO0097_LC|GO0098_LC|GO0104_LC|GO0107_LC|GO0111_LC|GO0120_LC|GO0005_SC
202059421, 103.1878, 24.96844, 9.1, GO0003_LC|GO0097_LC|GO0111_LC
202064452, 100.01238, 28.42621, 11.5, GO0051_LC|GO0097_LC|GO0114_LC|GO0123_LC
202071278, 96.0125, 22.89342, 10.2, GO0097_LC|GO0111_LC|GO0114_LC
202071279, 96.00417, 20.47, 10.2, GO0097_LC|GO0101_LC|GO0111_LC|GO0113_LC|GO0114_LC
202071280, 100.16372, 25.31478, 10.6, GO0097_LC
202071288, 94.66129, 24.44916, 10.1, GO0097_LC|GO0111_LC
202071289, 95.18309, 24.90434, 11.0, GO0097_LC|GO0111_LC
202071290, 95.57845, 21.81302, 11.4, GO0097_LC|GO0111_LC
202071292, 96.2571, 22.23383, 10.9, GO0097_LC
202071293, 96.59682, 16.05121, 10.8, GO0097_LC|GO0111_LC
202071294, 96.76818, 15.89504, 9.6, GO0097_LC
202071295, 96.83823, 24.51126, 9.4, GO0097_LC|GO0111_LC
202071297, 97.50523, 16.42292, 10.8, GO0097_LC|GO0111_LC
202071299, 98.10899, 22.02781, 11.2, GO0097_LC
202071301, 98.20295, 22.63344, 11.1, GO0097_LC
202071302, 98.31648, 22.48075, 10.9, GO0097_LC|GO0111_LC
202071304, 98.39762, 17.65775, 13.8, GO0097_LC
202071305, 98.60567, 17.70303, 11.0, GO0097_LC|GO0100_LC
202071307, 98.92524, 22.0481, 11.1, GO0097_LC|GO0111_LC
202071308, 98.99718, 21.49934, 9.4, GO0097_LC|GO0111_LC
202071310, 99.45454, 18.19597, 11.0, GO0097_LC|GO0111_LC
202071311, 99.59321, 25.74405, 9.1, GO0097_LC
202071315, 100.69019, 24.35273, 11.4, GO0097_LC|GO0111_LC
202071316, 100.96971, 21.07764, 9.8, GO0097_LC|GO0100_LC
202071317, 101.50552, 23.84331, 10.9, GO0097_LC|GO0111_LC|GO0118_LC
202071322, 102.6711, 25.22851, 11.3, GO0097_LC|GO0111_LC
202071328, 103.60808, 24.34526, 9.2, GO0097_LC
202071330, 103.77015, 20.31557, 9.5, GO0097_LC|GO0111_LC
202071331, 103.92754, 24.31316, 9.2, GO0097_LC
202071333, 104.39396, 24.93508, 10.3, GO0097_LC|GO0111_LC
