EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200071712, , , , GO10010_LC|1988_RO12_TILE
200071713, , , , GO10010_LC|1988_RO12_TILE
200071714, , , , GO10010_LC|1988_RO12_TILE
200071715, , , , GO10010_LC|1988_RO12_TILE
200071716, , , , GO10010_LC|1988_RO12_TILE
200071717, , , , GO10010_LC|1988_RO12_TILE
200071718, , , , GO10010_LC|1988_RO12_TILE
200071719, , , , GO10010_LC|1988_RO12_TILE
200071720, , , , GO10010_LC|1988_RO12_TILE
200071721, , , , GO10010_LC|1988_RO12_TILE
200071722, , , , GO10010_LC|1988_RO12_TILE
200071723, , , , GO10010_LC|1988_RO12_TILE
200071724, , , , GO10010_LC|1988_RO12_TILE
200071725, , , , GO10010_LC|1988_RO12_TILE
200071726, , , , GO10010_LC|1988_RO12_TILE
200071727, , , , GO10010_LC|1988_RO12_TILE
200071728, , , , GO10010_LC|1988_RO12_TILE
200071729, , , , GO10010_LC|1988_RO12_TILE
200071730, , , , GO10010_LC|1988_RO12_TILE
200071731, , , , GO10010_LC|1988_RO12_TILE
200071732, , , , GO10010_LC|1988_RO12_TILE
200071733, , , , GO10010_LC|1988_RO12_TILE
200071734, , , , GO10010_LC|1988_RO12_TILE
200071735, , , , GO10010_LC|1988_RO12_TILE
200071736, , , , GO10010_LC|1988_RO12_TILE
200071737, , , , GO10010_LC|1988_RO12_TILE
200071738, , , , GO10010_LC|1988_RO12_TILE
200071739, , , , GO10010_LC|1988_RO12_TILE
200071740, , , , GO10010_LC|1988_RO12_TILE
200071741, , , , GO10010_LC|1988_RO12_TILE
200071742, , , , GO10010_LC|1988_RO12_TILE
200071743, , , , GO10010_LC|1988_RO12_TILE
200071744, , , , GO10010_LC|1988_RO12_TILE
200071745, , , , GO10010_LC|1988_RO12_TILE
200071746, , , , GO10010_LC|1988_RO12_TILE
200071747, , , , GO10010_LC|1988_RO12_TILE
200071748, , , , GO10010_LC|1988_RO12_TILE
200071749, , , , GO10010_LC|1988_RO12_TILE
200071750, , , , GO10010_LC|1988_RO12_TILE
200071751, , , , GO10010_LC|1988_RO12_TILE
200071752, , , , GO10010_LC|1988_RO12_TILE
200071753, , , , GO10010_LC|1988_RO12_TILE
200071754, , , , GO10010_LC|1988_RO12_TILE
200071755, , , , GO10010_LC|1988_RO12_TILE
200071756, , , , GO10010_LC|1988_RO12_TILE
200071757, , , , GO10010_LC|1988_RO12_TILE
200071758, , , , GO10010_LC|1988_RO12_TILE
200071759, , , , GO10010_LC|1988_RO12_TILE
200071760, , , , GO10010_LC|1988_RO12_TILE
200071761, , , , GO10010_LC|1988_RO12_TILE
200071762, , , , GO10010_LC|1988_RO12_TILE
200071763, , , , GO10010_LC|1988_RO12_TILE
200071764, , , , GO10010_LC|1988_RO12_TILE
200071765, , , , GO10010_LC|1988_RO12_TILE
200071766, , , , GO10010_LC|1988_RO12_TILE
200071767, , , , GO10010_LC|1988_RO12_TILE
200071768, , , , GO10010_LC|1988_RO12_TILE
200071769, , , , GO10010_LC|1988_RO12_TILE
200071770, , , , GO10010_LC|1988_RO12_TILE
200071771, , , , GO10010_LC|1988_RO12_TILE
200071772, , , , GO10010_LC|1988_RO12_TILE
200071773, , , , GO10010_LC|1988_RO12_TILE
200071774, , , , GO10010_LC|1988_RO12_TILE
200071775, , , , GO10010_LC|1988_RO12_TILE
200071776, , , , GO10010_LC|1988_RO12_TILE
200071777, , , , GO10010_LC|1988_RO12_TILE
200071778, , , , GO10010_LC|1988_RO12_TILE
200071779, , , , GO10010_LC|1988_RO12_TILE
200071780, , , , GO10010_LC|1988_RO12_TILE
200071781, , , , GO10010_LC|1988_RO12_TILE
200071782, , , , GO10010_LC|1988_RO12_TILE
200071783, , , , GO10010_LC|1988_RO12_TILE
200071784, , , , GO10010_LC|1988_RO12_TILE
200071785, , , , GO10010_LC|1988_RO12_TILE
200071786, , , , GO10010_LC|1988_RO12_TILE
200071787, , , , GO10010_LC|1988_RO12_TILE
200071788, , , , GO10010_LC|1988_RO12_TILE
200071789, , , , GO10010_LC|1988_RO12_TILE
200071790, , , , GO10010_LC|1988_RO12_TILE
200071791, , , , GO10010_LC|1988_RO12_TILE
200071792, , , , GO10010_LC|1988_RO12_TILE
200071793, , , , GO10010_LC|1988_RO12_TILE
200071794, , , , GO10010_LC|1988_RO12_TILE
200071795, , , , GO10010_LC|1988_RO12_TILE
200071796, , , , GO10010_LC|1988_RO12_TILE
200071797, , , , GO10010_LC|1988_RO12_TILE
200071798, , , , GO10010_LC|1988_RO12_TILE
200071799, , , , GO10010_LC|1988_RO12_TILE
200071800, , , , GO10010_LC|1988_RO12_TILE
