# Summary of K2 Program GO10031

Title: Statistics of Variability in Main-Sequence Stars of Kepler 2 Fields 8 and 10

PI: Guzik, Joyce Ann (Los Alamos National Laboratory)
CoIs: Pigulski, Andrzej; Bradley, Paul A; Nelson, Nicholas; Jackiewicz, Jason; Kinemuchi, Karen; Kosak, Katie; Szabo, Robert; Antoci, Victoria; Murphy, Simon James; Gaulme, Patrick; Molnar, Laszlo; Ngeow, Chow-Choong; Handler, Gerald; Garcia Hernandez, Antonio; Mathur, Savita

We propose to observe with the Kepler spacecraft in long-cadence mode about 3000 stars in Fields 8 and 10. Our goals are to discover pulsating variable stars, as well as eclipsing binaries and magnetically active stars with variability produced by rotating spots or flares. We use BV and JHK colors and magnitudes listed in the EPIC catalog to select main-sequence stars with Kepler magnitudes between approximately 8 and 12.5. Our selection of stars in this magnitude range will minimize the number of pixels required, yet the stars will be bright enough for ground-based follow-up observations, including high-resolution spectroscopic observations.  The relative sparseness of these two fields near the South and North Galactic Cap will reduce the occurrence of contamination in the light curves from foreground/background stars sharing the same pixels.  Observations by the Kepler spacecraft have turned out to be ideal for discovery and characterization of main-sequence stars pulsating in radial and nonradial pressure and gravity modes. The long time series and high precision of the photometry have enabled determination of frequencies of modes with periods of order a day (g modes) to a few hours (p and mixed modes), and amplitudes as low as tens of parts per million using long-cadence data (30-min integrations per data point). Analysis of Kepler data has raised a number of questions about the possible pulsation driving mechanisms for gamma Doradus g-mode and delta Scuti p-mode pulsations, and revealed more hybrid star candidates (that show pulsations in both types of modes) than can be explained by present theories.  Kepler data have also been used to study slowly pulsating B (SPB) stars (g-mode pulsators), beta Cephei stars (p-mode pulsators) and their hybrids to test stellar pulsation theory in the presumably simpler case for these hotter stars with smaller inefficient envelope convection zones. The analysis has also revealed a number of apparently non-pulsating stars that lie within the pulsation instability regions established by theory that need to be explained. We expect to increase the numbers of these types of stars available for detailed study, especially for candidates brighter than those found in the original Kepler field. We also expect to discover additional eclipsing binaries and magnetically active stars.  Our sample selection is not biased toward known pulsators, and includes enough stars to derive statistics on the occurrence of variability.  We will compare our results with similar surveys of stars in the original Kepler Cygnus-Lyra field, and with surveys of stars in young open clusters for K2 Fields 0, 4, 5, and 7. We will produce a catalog of the candidate variables, eclipsing binaries, and magnetically active stars that we find.  Our budget request will be $75 K for Los Alamos Co-Is only.

# Targets requested by this program that have been observed (2500)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
201071997, 182.655031, -7.396888, 15.51, GO10056_LC|GO10031_LC
201073867, 182.695996, -7.340073, 15.539, GO10031_LC
201076064, 182.659924, -7.27473, 15.448, GO10056_LC|GO10031_LC
201076292, 182.721174, -7.26767, 15.561, GO10031_LC
201077030, 181.485108, -7.24663, 15.672, GO10031_LC
201077357, 182.562218, -7.236303, 15.797, GO10031_LC
201080048, 182.831547, -7.16047, 15.645, GO10056_LC|GO10031_LC
201081514, 183.047607, -7.116894, 15.413, GO10031_LC
201081732, 182.532556, -7.110634, 14.537, GO10056_LC|GO10031_LC
201082013, 182.638957, -7.102609, 15.764, GO10042_LC|GO10031_LC
201082355, 183.179624, -7.092216, 15.675, GO10031_LC
201082831, 181.250814, -7.07891, 13.87, GO10031_LC
201083483, 182.436196, -7.06065, 15.8, GO10042_LC|GO10031_LC
201083617, 182.44027, -7.056525, 15.629, GO10031_LC
201084003, 183.122801, -7.045722, 15.672, GO10031_LC
201084357, 183.215952, -7.035292, 11.267, GO10056_LC|GO10013_LC|GO10031_LC
201086400, 183.175767, -6.978252, 14.481, GO10056_LC|GO10031_LC
201086665, 181.404202, -6.969863, 15.774, GO10031_LC
201086671, 182.662175, -6.969726, 15.403, GO10056_LC|GO10031_LC
201087178, 180.090374, -6.955255, 15.757, GO10042_LC|GO10031_LC
201087275, 179.868299, -6.952443, 15.244, GO10056_LC|GO10031_LC
201087387, 181.067352, -6.949726, 13.542, GO10031_LC
201087723, 183.238341, -6.940629, 15.746, GO10042_LC|GO10031_LC
201087730, 182.875267, -6.940478, 15.703, GO10042_LC|GO10031_LC
201088255, 180.81387, -6.924555, 15.469, GO10056_LC|GO10031_LC
201088505, 183.194949, -6.917822, 15.165, GO10056_LC|GO10031_LC
201088899, 182.586328, -6.906709, 15.58, GO10031_LC
201088948, 181.635982, -6.905153, 13.969, GO10056_LC|GO10042_LC|GO10031_LC
201088960, 179.771386, -6.904805, 15.354, GO10056_LC|GO10031_LC
201089182, 182.96338, -6.899105, 15.798, GO10056_LC|GO10031_LC
201089247, 181.115535, -6.897572, 15.773, GO10031_LC
201089310, 182.917588, -6.895896, 14.237, GO10056_LC|GO10031_LC
201089468, 180.612718, -6.891741, 15.509, GO10042_LC|GO10031_LC
201089552, 182.593909, -6.88936, 15.412, GO10056_LC|GO10031_LC
201089811, 182.800882, -6.882743, 14.337, GO10056_LC|GO10031_LC
