# Summary of K2 Program GO10033

Title: K2 Exoplanet Ecliptic Survey - KEES

PI: Burke, Christopher J (SETI Institute)
CoIs: Mullally, Fergal; Huber, Daniel

Science Goals:
For billions of years the Earth's shadow against the Sun has swept a path through space revealing our existence to the stellar neighbors that have passed within 0.26 degrees of the ecliptic.  We propose to survey all GKM dwarf stars within 1.0 degree of the ecliptic using the K2 spacecraft in order to identify transiting planetary systems that can mutually discover Earth via transit observations performed by another civilization in the last ~100,000 yrs.  This survey will significantly expand the number of ecliptic aligned planets known from the two Jupiter-class planets with 0.26 degrees of the current ecliptic (the hot-Jupiter, WASP-47b and the direct imaging, 5 Myr old 1RXS-J160929b) into the regime of Super-Earth size planets.

Methodology:
We will employ our extensive background in the analysis of Kepler data in order to search and provide a catalog of planet candidates from the K2 data within the ecliptic using tools and techniques developed for Kepler.  The primary goal is to generate a catalog of planet candidates for prioritization of SETI searches.  Secondary goals are to provide a well vetted sample of planet candidates to the community to follow up for asteroseismic or spectroscopic stellar characterization and radial velocity confirmation.

Relevance:
This study is proposing science targets for the K2 Campaign 8 and 10 fields.  Detection and characterization for transiting planets on the ecliptic cannot be accomplished with existing Kepler data as Kepler did not observe the ecliptic.  We estimate that ~1100 targets combining Campaign 8 and 10 targets will be proposed placing this proposal in the large proposal category.

# Targets requested by this program that have been observed (1430)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
201252054, 184.930894, -3.176969, 11.008, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10042_LC|GO10033_LC
201252138, 185.10707, -3.175583, 11.851, GO10068_LC|GO10032_LC|GO10077_LC|GO10033_LC
201252275, 184.821889, -3.173531, 15.555, GO10033_LC
201257041, 184.834212, -3.101406, 12.406, GO10068_LC|GO10077_LC|GO10033_LC
201259202, 185.085676, -3.069499, 14.346, GO10032_LC|GO10033_LC
201259670, 185.023409, -3.062918, 11.36, GO10032_LC|GO10077_LC|GO10033_LC
201263277, 185.140203, -3.006753, 15.084, GO10032_LC|GO10033_LC
201263553, 184.939097, -3.002512, 14.064, GO10077_LC|GO10042_LC|GO10033_LC
201263621, 184.684609, -3.001331, 14.367, GO10033_LC
201263687, 184.845241, -3.000396, 11.393, GO10068_LC|GO10032_LC|GO10077_LC|GO10033_LC
201264934, 184.397882, -2.981799, 12.186, GO10068_LC|GO10032_LC|GO10077_LC|GO10033_LC
201266936, 184.845993, -2.95076, 12.9, GO10068_LC|GO10077_LC|GO10033_LC
201268522, 185.137464, -2.927467, 13.943, GO10077_LC|GO10033_LC
201268743, 185.090898, -2.9239, 11.26, GO10068_LC|GO10032_LC|GO10066_LC|GO10042_LC|GO10033_LC
201269532, 185.133162, -2.912486, 12.697, GO10056_LC|GO10068_LC|GO10013_LC|GO10032_LC|GO10077_LC|GO10042_LC|GO10033_LC
201269652, 184.49476, -2.910748, 13.027, GO10077_LC|GO10033_LC
201269777, 185.191825, -2.908833, 13.146, GO10077_LC|GO10033_LC
201271500, 184.188955, -2.882937, 13.512, GO10077_LC|GO10042_LC|GO10033_LC
201271826, 184.592324, -2.877952, 14.861, GO10042_LC|GO10033_LC
201271829, 184.266378, -2.8779, 12.852, GO10068_LC|GO10032_LC|GO10077_LC|GO10042_LC|GO10033_LC
201272434, 184.763608, -2.868251, 13.335, GO10077_LC|GO10033_LC
201273400, 184.491036, -2.853413, 12.357, GO10068_LC|GO10032_LC|GO10077_LC|GO10033_LC
201273714, 184.349384, -2.84862, 15.412, GO10033_LC
201274210, 185.017454, -2.840949, 11.622, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10033_LC
201274435, 184.265036, -2.837725, 13.593, GO10077_LC|GO10033_LC
201274593, 184.280833, -2.835359, 10.783, GO10051_LC|GO10032_LC|GO10077_LC|GO10033_LC
201275000, 185.138354, -2.829121, 9.847, GO10051_LC|GO10032_LC|GO10077_LC|GO10031_LC|GO10033_LC
201276103, 184.52877, -2.812104, 15.24, GO10056_LC|GO10032_LC|GO10033_LC
201276314, 185.138124, -2.808493, 14.369, GO10042_LC|GO10033_LC
201276518, 185.079883, -2.80526, 12.805, GO10068_LC|GO10077_LC|GO10033_LC
201276520, 184.746426, -2.805223, 14.533, GO10042_LC|GO10033_LC
201276585, 185.123437, -2.804361, 12.298, GO10056_LC|GO10068_LC|GO10032_LC|GO10042_LC|GO10033_LC
201276977, 184.339526, -2.7986, 13.987, GO10032_LC|GO10077_LC|GO10042_LC|GO10033_LC
201277293, 184.154119, -2.793665, 14.791, GO10033_LC
201277326, 184.271747, -2.793305, 13.383, GO10077_LC|GO10033_LC
201277446, 184.868295, -2.791698, 12.498, GO10068_LC|GO10077_LC|GO10033_LC
201277976, 184.789392, -2.783884, 14.308, GO10012_LC|GO10033_LC
201278494, 185.760983, -2.776402, 14.122, GO10077_LC|GO10042_LC|GO10033_LC
201279177, 184.613805, -2.766276, 14.028, GO10077_LC|GO10033_LC
201279218, 184.310634, -2.765684, 12.732, GO10068_LC|GO10077_LC|GO10033_LC
201280879, 184.24914, -2.739931, 13.56, GO10012_LC|GO10077_LC|GO10033_LC
201281038, 184.141905, -2.737699, 14.658, GO10033_LC
