 EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
201512827, 177.824422, 0.719667, 14.252, GO1002_LC|GO1055_LC|GO1053_LC|GO1036_LC|GO1072_LC|GO1059_LC
201513544, 177.780959, 0.730788, 15.437, GO1055_LC|GO1059_LC
201516629, 177.84212, 0.778562, 14.946, GO1055_LC
201517764, 177.876076, 0.795642, 11.499, GO1055_LC|GO1054_LC
201519347, 177.692267, 0.819858, 14.328, GO1055_LC
201520609, 177.482364, 0.838657, 15.966, GO1055_LC|GO1053_LC|GO1059_LC
201521501, 177.686877, 0.852969, 14.497, GO1055_LC
201523076, 177.897324, 0.877813, 14.017, GO1055_LC|GO1059_LC
201523940, 177.526496, 0.891657, 13.979, GO1055_LC|GO1054_LC|GO1059_LC
201525773, 177.223912, 0.920776, 14.21, GO1055_LC
201525793, 177.486675, 0.92109, 15.019, GO1055_LC|GO1059_LC
201526898, 177.847063, 0.93843, 13.647, GO1055_LC|GO1054_LC
201527188, 177.926689, 0.942524, 14.338, GO1055_LC|GO1053_LC|GO1054_LC|GO1059_LC
201527817, 177.93237, 0.952576, 15.509, GO1055_LC|GO1053_LC|GO1059_LC
201529013, 177.521352, 0.971326, 15.861, GO1055_LC|GO1053_LC|GO1059_LC
201529541, 177.550295, 0.979589, 14.962, GO1055_LC|GO1059_LC
201529801, 177.457867, 0.983722, 13.083, GO1055_LC|GO1054_LC
201529838, 177.151937, 0.984326, 13.163, GO1002_LC|GO1055_LC|GO1052_LC|GO1051_LC|GO1036_LC|GO1062_LC|GO1059_LC
201531459, 177.541448, 1.008797, 13.9, GO1055_LC|GO1059_LC
201531536, 177.140381, 1.00996, 14.905, GO1055_LC
201532149, 177.44717, 1.019311, 11.573, GO1055_LC|GO1054_LC
201532249, 177.663292, 1.020717, 14.138, GO1055_LC
201532819, 177.498302, 1.028944, 13.477, GO1055_LC|GO1054_LC
201533164, 177.203196, 1.034008, 13.885, GO1055_LC
201534695, 177.791108, 1.057425, 15.829, GO1055_LC
201534754, 177.402092, 1.058313, 13.746, GO1055_LC
201535316, 177.678992, 1.066296, 14.044, GO1055_LC|GO1054_LC|GO1059_LC
201535528, 177.785965, 1.069184, 15.623, GO1002_LC|GO1055_LC|GO1053_LC|GO1036_LC|GO1047_LC|GO1059_LC
201536226, 177.578102, 1.080124, 13.395, GO1055_LC|GO1054_LC
201537058, 177.6878, 1.09308, 13.259, GO1055_LC|GO1054_LC
201537258, 177.783425, 1.095899, 11.719, GO1055_LC|GO1054_LC
201539427, 177.800863, 1.129295, 12.664, GO1055_LC|GO1054_LC
201539437, 177.490912, 1.129461, 14.234, GO1055_LC
201539461, 177.150718, 1.129772, 14.49, GO1055_LC|GO1059_LC
201539527, 177.914355, 1.130771, 15.019, GO1055_LC|GO1061_LC|GO1059_LC
201539700, 177.333412, 1.133366, 12.649, GO1055_LC
201540350, 177.573912, 1.142714, 13.721, GO1055_LC
201540568, 177.881878, 1.146586, 13.373, GO1055_LC
201541405, 176.726449, 1.159263, 13.474, GO1055_LC
201541968, 177.581853, 1.168266, 15.236, GO1055_LC|GO1059_LC
201543112, 177.859865, 1.184702, 14.543, GO1055_LC
201543120, 177.437075, 1.184802, 14.328, GO1055_LC
201543915, 176.874771, 1.196774, 13.139, GO1055_LC
201543923, 177.891032, 1.196927, 15.836, GO1055_LC
201544966, 177.03336, 1.211954, 13.932, GO1055_LC
201545587, 177.629313, 1.220756, 12.869, GO1055_LC|GO1054_LC
201545865, 176.958009, 1.224708, 11.458, GO1055_LC
201546153, 177.505125, 1.228757, 15.708, GO1055_LC|GO1053_LC|GO1059_LC
201546633, 176.988255, 1.235743, 13.077, GO1055_LC
201546988, 176.633604, 1.241181, 14.537, GO1055_LC|GO1069_LC|GO1059_LC
201547189, 177.684668, 1.244825, 14.465, GO1055_LC
201547494, 176.65695, 1.249547, 14.644, GO1055_LC
201547732, 176.454471, 1.253237, 14.979, GO1055_LC
201548099, 177.398859, 1.258532, 14.848, GO1055_LC
201548193, 177.459221, 1.259798, 13.761, GO1055_LC|GO1054_LC|GO1059_LC
