EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
221752975, 264.655325, -28.525023, 13.597, GO11070_LC
221946095, 264.720588, -28.226089, 13.846, GO11002_LC|GO11070_LC
222078293, 265.38872, -28.026974, 15.149, GO11086_LC|GO11070_LC
222976339, 268.118382, -26.703469, 11.948, GO11048_LC|GO11111_LC|GO11070_LC
223126835, 266.073652, -26.473694, 13.27, GO11070_LC|GO11902_LC
223482421, 266.24449, -25.899663, 14.837, GO11070_LC|GO11902_LC
224258716, 266.966476, -24.569506, 13.289, GO11070_LC|GO11902_LC
224287270, 267.461839, -24.517563, 13.162, GO11070_LC|GO11902_LC
224682157, 264.397494, -23.818123, 12.982, GO11123_LC|GO11087_LC|GO11070_LC
232115696, 254.122903, -27.223841, 13.599, GO11111_LC|GO11070_LC
232254012, 255.286057, -26.595097, 11.356, GO11002_LC|GO11095_LC|GO11070_LC
232257232, 256.522908, -26.580563, 7.947, GO11122_LC|GO11070_LC
234565434, 259.719505, -18.555656, 15.188, GO11111_LC|GO11070_LC
235265305, 260.229448, -23.435513, 13.69, GO11123_LC|GO11048_LC|GO11070_LC
235595726, 258.528976, -29.942143, 13.992, GO11111_LC|GO11070_LC
235784069, 259.488484, -29.369816, 14.011, GO11002_LC|GO11070_LC
238002379, 259.172517, -30.167774, 17.105, GO11070_LC
240470266, 264.115721, -29.245857, 13.743, GO11070_LC
240487813, 263.604637, -29.18227, 13.887, GO11070_LC
240513297, 262.751173, -29.094, 13.699, GO11070_LC
240545661, 264.08241, -28.980047, 13.444, GO11070_LC
240580960, 262.681956, -28.849571, 13.26, GO11070_LC
240628444, 263.866308, -28.665394, 15.712, GO11070_LC
240844099, 262.229589, -27.642058, 12.533, GO11084_LC|GO11002_LC|GO11070_LC
251248452, , , , GO11070_LC
251248453, , , , GO11070_LC
251248454, , , , GO11070_LC
