# Summary of K2 Program GO11098

Title: Catch K2-Twos: Finding the Best Planets for Ground-Based Follow Up Spectrophotometry

PI: Mandell, Avi M (NASA GSFC)
CoIs: Morris, Brett M; Angerhausen, Daniel; Huitson, Catherine

Studying extrasolar planets is one of the major frontiers of astronomy today. The field has transformed from simple identification to comprehensive categorization and characterization of exoplanets and exoplanetary systems. Analyses of data provided by the NASA's Kepler mission has revolutionized this field by compiling a statistically significant number of transiting planets and planetary candidates, providing time series data for a large sample of systems that can be utilized in consistent comparative studies (e.g. Angerhausen et al., 2015). 

One promising new way to further characterize some of these transiting systems are methods using ground-based multi-object spectrographs for transit and eclipse spectrophotometry such as GMOS in the optical (e.g. Stevenson et al., 2014; Huitson et al., 2016, in prep.) or MOSFIRE in the infrared (e.g. Crossfield et al., 2013; Morris et al, 2016, in prep.). These emerging ground-based methods allow access to larger apertures and better time-sampling of transit lightcurves than equivalent HST methods. They therefore have the potential to observe transits at the precisions achievable from space but at a fraction of the cost and with the possibility of repeated measurements to further increase reliability. Importantly, ground-based telescopes have access to the full optical wavelength range and so will be highly complementary to JWST.

However, these ground-based methods are constrained by the need for similarly bright comparison stars in close neighborhood to the observed host star of the transiting system. In order to reduce instrumental systematics and optimize the time-sampling at the level needed for high-precision transit atmosphere observations, the comparison stars must be bright, of similar magnitude to the exoplanet host star and be within a few arcmin. 

To identify ideal candidates for ground-based characterization studies, we therefore we propose to use the single, visible wavelength instrument on board of K2 to obtain high-precision long cadence photometry on of the best suited pairs of similarly bright stars (mag < 11.5, separation < 5 arcmin). Assuming an occurrence of well-vetted planet candidates with P d 30 d of about ~2%, we expect to find ~20 planets that will be accessible for spectrophotometric atmospheric characterization from the ground.

The goal of high precision time resolved photometry is to reduce or in the best case remove all noise to achieve photon-noise limited photometry. After years of experience with these data a number of best practices for their handling have emerged: For the reduction and preparation of K2 data as well as for the planet search in the reduced data, we have access to a number of standard procedures that are already widely used in the community (e.g. the PyKe tools, Barclay & Still 2012; K2 specific best practices, Foreman-Mackey et al. 2015; or SIP, Angus et al. 2015). 

Finding these extremely valuable targets will enable us to do exactly the kind of basic research that advances our knowledge by characterization of planets and planetary systems outside of our Solar System in order to determine their compositions, dynamics, energetics, and chemical behaviors. The proposed study will directly support NASAs goal to Discover and study planets around other stars, in order to understand the underlying physical processes of exoplanets and to improve understanding of their origins.
This program already got 478 target masks awarded in K2 cycle 3 (Program GO8066).

# Targets requested by this program that have been observed (424)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
203112599, 253.591931, -27.21584, 10.592, GO11123_LC|GO11098_LC
203127159, 253.53088, -27.165879, 10.903, GO11098_LC|GO11065_LC
203188512, 253.194771, -26.95601, 10.477, GO11098_LC
203222732, 253.530792, -26.842393, 11.127, GO11049_LC|GO11098_LC
203238940, 253.50302, -26.788681, 11.325, GO11071_LC|GO11122_LC|GO11098_LC
203248167, 253.490726, -26.757839, 10.266, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
203249051, 253.464461, -26.754892, 10.845, GO11122_LC|GO11098_LC|GO11065_LC|GO11024_LC
203482029, 253.810309, -25.992351, 11.387, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
203494953, 253.793281, -25.94907, 10.651, GO11122_LC|GO11098_LC|GO11024_LC
203536608, 253.869006, -25.807332, 10.495, GO11122_LC|GO11098_LC|GO11038_LC|GO11019_LC|GO11902_LC
203537376, 253.776984, -25.804584, 10.452, GO11071_LC|GO11122_LC|GO11098_LC|GO11019_LC|GO11902_LC
203651713, 253.125593, -25.408562, 9.902, GO11098_LC|GO11082_LC
203653747, 253.034969, -25.401421, 11.231, GO11098_LC|GO11019_LC
203656282, 254.536468, -25.392749, 11.035, GO11071_LC|GO11122_LC|GO11098_LC|GO11019_LC
203671241, 254.556358, -25.340726, 10.503, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11019_LC
203694395, 253.182671, -25.260875, 10.558, GO11122_LC|GO11098_LC|GO11024_LC|GO11019_LC|GO11902_LC
203705702, 253.224623, -25.221983, 10.765, GO11122_LC|GO11098_LC|GO11019_LC|GO11902_LC
203853332, 253.391076, -24.683324, 10.102, GO11071_LC|GO11122_LC|GO11098_LC|GO11902_LC
203858345, 253.39093, -24.663519, 10.675, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
203865172, 253.455393, -24.635684, 10.673, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11902_LC
203882306, 253.549646, -24.566278, 10.992, GO11123_LC|GO11098_LC
203890863, 253.515834, -24.531642, 11.015, GO11123_LC|GO11098_LC|GO11065_LC
204115959, 254.562225, -23.602642, 10.042, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC|GO11019_LC
204123071, 254.506147, -23.5744, 9.302, GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC|GO11019_LC
204136817, 255.017289, -23.520077, 11.348, GO11098_LC|GO11019_LC
204141065, 255.053142, -23.503246, 10.947, GO11098_LC|GO11019_LC
204773793, 252.570859, -20.923447, 11.044, GO11098_LC
221242976, 265.702888, -29.48096, 11.076, GO11071_LC|GO11122_LC|GO11098_LC
221274531, 265.740761, -29.41493, 10.289, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC
221659487, 266.00174, -28.681423, 10.747, GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
221680216, 265.923651, -28.646219, 10.597, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC
221796340, 265.907705, -28.455578, 11.391, GO11098_LC
221820024, 264.395752, -28.418278, 11.479, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11019_LC
221822431, 265.864181, -28.414485, 10.269, GO11098_LC
221871472, 264.38524, -28.339062, 11.938, GO11098_LC|GO11065_LC|GO11019_LC
221944415, 265.334481, -28.228661, 10.631, GO11098_LC
221951859, 265.418784, -28.217354, 10.597, GO11122_LC|GO11098_LC|GO11052_LC|GO11019_LC
222796818, 266.610145, -26.970919, 9.714, GO11098_LC
222811822, 266.552961, -26.948847, 9.922, GO11098_LC
222862402, 266.399388, -26.873582, 10.83, GO11122_LC|GO11098_LC|GO11052_LC
222899071, 266.363701, -26.819294, 10.978, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
222984346, 267.103787, -26.691617, 11.297, GO11071_LC|GO11122_LC|GO11098_LC
223023882, 267.074502, -26.631263, 10.769, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
223029655, 267.242184, -26.622605, 10.635, GO11098_LC|GO11065_LC
223041872, 267.319673, -26.603908, 10.433, GO11123_LC|GO11098_LC
223205718, 267.074372, -26.350324, 11.488, GO11071_LC|GO11122_LC|GO11098_LC
223217314, 267.120793, -26.33183, 11.39, GO11071_LC|GO11122_LC|GO11098_LC
223325145, 267.724566, -26.158649, 11.591, GO11122_LC|GO11098_LC|GO11024_LC
223339369, 266.775093, -26.135616, 10.673, GO11098_LC
223343051, 266.769971, -26.129621, 11.547, GO11098_LC
223360148, 267.701679, -26.101506, 11.364, GO11122_LC|GO11098_LC
223407636, 268.007226, -26.023106, 10.736, GO11123_LC|GO11098_LC
223430464, 268.068609, -25.985362, 10.157, GO11098_LC
223432555, 267.983822, -25.981988, 10.66, GO11098_LC
223499940, 268.250191, -25.870917, 11.544, GO11049_LC|GO11122_LC|GO11098_LC|GO11052_LC|GO11019_LC
223689337, 266.131062, -25.555481, 10.449, GO11071_LC|GO11122_LC|GO11101_LC|GO11098_LC|GO11052_LC
223699981, 266.099891, -25.537455, 11.379, GO11071_LC|GO11122_LC|GO11098_LC
223706674, 268.347926, -25.526124, 10.969, GO11098_LC
224064810, 268.085887, -24.918342, 10.29, GO11098_LC
224077416, 268.039047, -24.896379, 10.507, GO11098_LC
224104372, 266.764592, -24.848085, 9.648, GO11123_LC|GO11098_LC
224112999, 267.562257, -24.832761, 10.743, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
224114759, 267.539752, -24.829518, 10.805, GO11049_LC|GO11098_LC|GO11024_LC
224129385, 266.832421, -24.803373, 10.614, GO11123_LC|GO11098_LC
224237073, 268.126096, -24.608958, 9.674, GO11098_LC
224263924, 268.117536, -24.560089, 9.79, GO11098_LC
224271035, 268.072655, -24.54698, 11.331, GO11098_LC
224623325, 264.282444, -23.919737, 10.559, GO11123_LC|GO11098_LC
224637014, 264.22859, -23.896217, 11.078, GO11123_LC|GO11098_LC
224660429, 263.895259, -23.855994, 11.279, GO11098_LC
224660906, 263.886641, -23.855113, 11.274, GO11098_LC
225110302, 262.598141, -23.104175, 10.915, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11050_LC|GO11052_LC|GO11019_LC
225116869, 262.569421, -23.092877, 11.036, GO11049_LC|GO11123_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11050_LC
225164082, 264.03935, -23.011929, 11.408, GO11049_LC|GO11122_LC|GO11098_LC|GO11050_LC|GO11019_LC
225199915, 263.984051, -22.950048, 10.618, GO11071_LC|GO11122_LC|GO11098_LC|GO11050_LC|GO11019_LC
225550449, 263.801186, -22.316976, 10.091, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11050_LC|GO11019_LC
225581573, 263.771767, -22.25961, 10.903, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11019_LC
225790334, 261.863384, -21.874606, 10.431, GO11098_LC
225831452, 261.882724, -21.794384, 10.867, GO11098_LC
225854076, 262.860146, -21.750339, 11.412, GO11071_LC|GO11122_LC|GO11098_LC
225858358, 262.810263, -21.742085, 11.153, GO11071_LC|GO11122_LC|GO11098_LC
225928604, 262.170515, -21.604687, 11.173, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
225951317, 262.203821, -21.560051, 10.983, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11065_LC
225983097, 263.479522, -21.49876, 11.345, GO11071_LC|GO11122_LC|GO11098_LC
226009220, 263.538033, -21.448664, 11.481, GO11071_LC|GO11122_LC|GO11098_LC
226020583, 262.280164, -21.426631, 10.705, GO11049_LC|GO11123_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
226033017, 262.339512, -21.402666, 10.642, GO11049_LC|GO11123_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11065_LC
226604234, 262.262148, -20.193427, 10.824, GO11123_LC|GO11098_LC
226631938, 262.240061, -20.128297, 10.632, GO11123_LC|GO11098_LC
226748919, 263.180699, -19.845482, 11.713, GO11071_LC|GO11122_LC|GO11098_LC
226766354, 263.228606, -19.801833, 11.02, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
227054675, 261.940672, -19.094636, 10.431, GO11098_LC
227065865, 262.008529, -19.068923, 9.576, GO11098_LC
227119844, 262.559185, -18.942122, 10.713, GO11098_LC
227121694, 262.627685, -18.937761, 10.111, GO11098_LC
227400309, 262.571485, -18.245782, 10.518, GO11122_LC|GO11098_LC|GO11024_LC
227401902, 262.635034, -18.241743, 11.368, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
227449429, 263.463658, -18.124781, 10.743, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
227451108, 263.548779, -18.120574, 10.956, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
227452051, 263.164449, -18.11822, 10.603, GO11123_LC|GO11098_LC
227472192, 263.099445, -18.068388, 10.945, GO11123_LC|GO11002_LC|GO11098_LC
227606751, 262.496468, -17.721889, 11.321, GO11122_LC|GO11098_LC|GO11019_LC
227610352, 262.573063, -17.712468, 11.035, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11019_LC
227628404, 262.515441, -17.663745, 11.238, GO11122_LC|GO11098_LC
227907131, 263.194592, -16.829988, 9.498, GO11098_LC
229428211, 253.575253, -28.676146, 9.883, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11019_LC
229429565, 253.591497, -28.65329, 10.522, GO11071_LC|GO11122_LC|GO11098_LC|GO11019_LC
229450363, 253.652438, -28.257839, 11.11, GO11002_LC|GO11098_LC
229461077, 253.354479, -27.985583, 10.894, GO11071_LC|GO11122_LC|GO11098_LC|GO11065_LC|GO11024_LC
229461193, 253.402124, -27.982195, 10.192, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
229466057, 253.984239, -27.826636, 10.934, GO11122_LC|GO11098_LC
229466299, 253.862297, -27.818211, 11.209, GO11123_LC|GO11048_LC|GO11098_LC
229467318, 253.811178, -27.780512, 10.972, GO11123_LC|GO11098_LC|GO11065_LC
230194354, 257.331144, -17.955641, 10.905, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
230195147, 257.247768, -17.947651, 10.318, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11019_LC
230495517, 256.715994, -21.926282, 11.264, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11050_LC
230542717, 257.389693, -21.480122, 10.756, GO11123_LC|GO11098_LC
230591955, 256.399208, -21.009252, 10.07, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
230600289, 256.383042, -20.929401, 10.947, GO11071_LC|GO11122_LC|GO11098_LC
230602844, 257.138662, -20.90511, 10.499, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
230607179, 255.920172, -20.863799, 10.278, GO11098_LC
