# Summary of K2 Program GO12123

Title: Galactic Archaeology on a grand scale

PI: Stello, Dennis (University of Sydney)
CoIs: Sharma, Sanjib; Miglio, Andrea; Freeman, Kenneth; Pinsonneault, Marc Howard; Mathur, Savita; Buzasi, Derek L

MOTIVATION: Unravelling the evolutionary history of the Milky Way has been a long-standing problem in contemporary
astrophysics, and solving this will have significant ramifications for our understanding of how other galaxies form and evolve. Success
will depend on understanding the stars within our Galaxy: their role as its building blocks and the driver of its chemical evolution.
This demands precise measurements of the fundamental properties of stars, something we have currently achieved mainly for the
solar neighbourhood. Initial investigations in this new field of near-field cosmology  better known as Galactic Archaeology  has used
Kepler and CoRoT data and shown that asteroseismically-determined radii, masses and ages of red giants have tremendous potential
for expanding our view into how the Galaxy formed and evolved.
RELEVANCE: It is now clear that a lack of simple and easily reproducible selection criteria for the previous Kepler and CoRoT stellar
samples hampers our ability to faithfully compare theoretical models with observations. A dedicated Galactic Archaeology program
for K2 will avoid such limitations and in addition provides information on the Galactic morphology in directions complementary to
those already probed by CoRoT and Kepler.
AIM: The proposal aims to observe a sizable number of colour-magnitude selected red giants (on average ~5000 per campaign) to
probe the Galaxy far beyond the solar neighbourhood. This is a continuing program initiated during C1, and it is our intention to
make similar proposals for all future K2 fields in order to probe Galactic directions not probed before,
taking advantage of K2s 360-degree view along the ecliptic. With this data we aim to build a comprehensive picture of the Galaxys
structure and evolution from its stellar populations.
METHOLOGY: The K2 data will be used to determine radius, mass, and age of each star using asteroseismology, complemented by
ground-based spectroscopy from large surveys targeting both hemispheres (APOGEE, GALAH, Gaia-ESO, and RAVE). We will use
our seismic inferred stellar properties to stresstest state-of-the-art Galaxy models (Galaxia, TRILEGAL).

# Targets requested by this program that have been observed (14014)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200164267, , , , GO12022_SC|GO12029_SC|GO12032_SC|GO12039_SC|GO12042_SC|GO12046_SC|GO12123_SC|TRAPPIST
206345844, 344.876126, -7.516023, 15.084, GO12050_LC|GO12123_LC
206354847, 344.809997, -7.368649, 15.314, GO12123_LC
206356841, 344.75806, -7.335288, 15.513, GO12018_LC|GO12123_LC
206365534, 344.758325, -7.192609, 10.944, GO12048_LC|GO12123_LC
206368822, 344.736167, -7.137456, 15.045, GO12123_LC
206369289, 344.721438, -7.129645, 16.019, GO12123_LC
206372285, 344.627275, -7.080144, 13.932, GO12123_LC
206374325, 344.614934, -7.046054, 14.222, GO12019_LC|GO12083_LC|GO12018_LC|GO12123_LC
206375155, 344.659306, -7.031835, 14.823, GO12123_LC
206376125, 344.598767, -7.016598, 13.327, GO12019_LC|GO12018_LC|GO12123_LC
206376267, 344.644977, -7.01408, 10.972, GO12123_LC
206382205, 344.607934, -6.91857, 12.29, GO12019_LC|GO12123_LC
206383215, 344.470249, -6.902796, 13.004, GO12019_LC|GO12123_LC
206385657, 344.444653, -6.863012, 15.144, GO12123_LC
206387317, 344.530811, -6.837645, 16.465, GO12123_LC
206391559, 344.417546, -6.769764, 16.64, GO12123_LC
206392586, 344.539306, -6.753078, 11.481, GO12048_LC|GO12123_LC
206395241, 344.379094, -6.710163, 16.555, GO12123_LC
206395288, 344.337511, -6.709615, 14.934, GO12123_LC
206396695, 344.406481, -6.686694, 15.611, GO12123_LC
206397108, 344.310312, -6.679732, 15.31, GO12123_LC
206397829, 344.379532, -6.667938, 16.314, GO12123_LC
206397872, 344.478085, -6.667013, 15.586, GO12123_LC
206400068, 344.472752, -6.631123, 14.549, GO12050_LC|GO12123_LC|GO12049_LC
206402422, 344.297384, -6.59245, 13.223, GO12123_LC
206402915, 344.331039, -6.584848, 16.331, GO12123_LC
206403639, 344.23535, -6.573848, 14.89, GO12123_LC
206406028, 344.180006, -6.534764, 14.237, GO12050_LC|GO12123_LC|GO12049_LC
206406348, 344.269192, -6.52924, 16.667, GO12123_LC
206407123, 344.25602, -6.516098, 14.154, GO12123_LC
206407149, 344.243992, -6.515708, 13.224, GO12050_LC|GO12122_LC|GO12123_LC|GO12049_LC
206408960, 344.255183, -6.485105, 12.85, GO12050_LC|GO12122_LC|GO12071_LC|GO12123_LC
206410644, 344.16458, -6.457298, 15.577, GO12123_LC
206411655, 344.338901, -6.440461, 15.562, GO12018_LC|GO12123_LC
206413520, 344.276822, -6.409187, 13.948, GO12050_LC|GO12122_LC|GO12123_LC
206416289, 344.151263, -6.36318, 16.365, GO12018_LC|GO12123_LC
206416383, 344.311547, -6.361468, 12.466, GO12050_LC|GO12122_LC|GO12071_LC|GO12123_LC|GO12049_LC
206417919, 344.141368, -6.335346, 15.093, GO12123_LC
206418045, 344.213369, -6.33307, 16.748, GO12123_LC
206418824, 344.016906, -6.320166, 16.186, GO12018_LC|GO12123_LC
206420226, 344.2648, -6.296026, 13.604, GO12123_LC
206424776, 344.147595, -6.220975, 16.968, GO12123_LC
206425692, 344.202915, -6.205019, 14.684, GO12050_LC|GO12123_LC
206425949, 344.008952, -6.201051, 16.589, GO12123_LC
206426683, 344.017348, -6.18851, 12.174, GO12048_LC|GO12123_LC
206426987, 344.090959, -6.183964, 16.704, GO12123_LC
206428538, 344.055391, -6.157453, 15.548, GO12123_LC
206428859, 343.94004, -6.151927, 14.686, GO12123_LC
206432431, 344.083623, -6.093606, 16.782, GO12123_LC
206432637, 343.875014, -6.090402, 14.961, GO12123_LC
206433668, 343.987276, -6.074083, 13.71, GO12050_LC|GO12048_LC|GO12123_LC
206434804, 344.01983, -6.054881, 14.021, GO12019_LC|GO12123_LC
206436125, 343.996381, -6.032322, 15.68, GO12123_LC
206436381, 344.0169, -6.028232, 13.409, GO12050_LC|GO12122_LC|GO12123_LC|GO12049_LC
206439140, 343.879531, -5.983857, 15.979, GO12018_LC|GO12123_LC
206439532, 344.016111, -5.977728, 16.666, GO12123_LC
206439542, 343.870349, -5.97758, 14.375, GO12019_LC|GO12123_LC
206440193, 344.057872, -5.967216, 13.188, GO12050_LC|GO12122_LC|GO12123_LC|GO12049_LC
206440527, 343.770441, -5.961902, 15.528, GO12123_LC
206443114, 343.79542, -5.9192, 14.775, GO12123_LC
206443973, 343.767637, -5.904961, 15.64, GO12123_LC
206445273, 343.797824, -5.883337, 14.113, GO12048_LC|GO12122_LC|GO12123_LC
206445903, 343.966862, -5.8734, 15.19, GO12123_LC
206446760, 343.946749, -5.859763, 13.435, GO12050_LC|GO12015_LC|GO12122_LC|GO12123_LC|GO12049_LC
206446976, 343.756435, -5.856144, 15.57, GO12123_LC
206447905, 343.743762, -5.841406, 10.129, GO12123_LC
206452442, 343.84129, -5.765079, 15.495, GO12123_LC
245908850, 352.537041, -12.982264, 15.51, GO12123_LC
245909629, 352.487942, -12.928925, 14.14, GO12122_LC|GO12123_LC
245910230, 352.446475, -12.881747, 12.615, GO12048_LC|GO12123_LC
245910296, 352.562341, -12.876609, 14.786, GO12123_LC
245910535, 352.517625, -12.858381, 14.237, GO12123_LC
245910989, 352.606511, -12.825539, 15.12, GO12019_LC|GO12123_LC
245911362, 352.421205, -12.799264, 15.686, GO12123_LC
245911499, 352.529717, -12.790059, 13.513, GO12122_LC|GO12123_LC
245912213, 352.507915, -12.742557, 15.345, GO12123_LC
245912351, 352.449651, -12.733332, 15.403, GO12123_LC
245912376, 352.450464, -12.731618, 15.057, GO12123_LC
245912505, 352.757498, -12.723731, 14.904, GO12123_LC
245913124, 352.942284, -12.683339, 15.556, GO12123_LC
245913142, 352.511385, -12.68227, 15.185, GO12019_LC|GO12123_LC
245913422, 352.275897, -12.664371, 15.647, GO12123_LC
245913829, 352.35261, -12.639346, 12.009, GO12122_LC|GO12071_LC|GO12123_LC|GO12049_LC
245913984, 352.50439, -12.630506, 15.365, GO12123_LC
245914307, 352.417833, -12.607483, 13.569, GO12122_LC|GO12123_LC
245914414, 352.52131, -12.600312, 15.17, GO12018_LC|GO12123_LC
245914545, 352.496955, -12.592229, 14.577, GO12123_LC
245914633, 353.055882, -12.58654, 14.533, GO12123_LC
245914808, 352.72815, -12.574415, 13.835, GO12123_LC
245914816, 352.28328, -12.574076, 15.293, GO12123_LC
245914954, 352.378844, -12.56589, 14.628, GO12123_LC|GO12049_LC
245914976, 352.826132, -12.564487, 10.213, GO12123_LC
245915000, 352.605283, -12.56327, 15.233, GO12123_LC
245915062, 352.768447, -12.559234, 14.27, GO12123_LC
245915256, 352.329529, -12.546511, 13.788, GO12122_LC|GO12018_LC|GO12123_LC|GO12049_LC
245915600, 352.232808, -12.525557, 15.764, GO12123_LC
245915637, 352.319526, -12.523292, 15.209, GO12123_LC
245915916, 352.503199, -12.504972, 15.594, GO12123_LC
245916005, 353.078678, -12.499112, 14.934, GO12018_LC|GO12123_LC
245916111, 352.786603, -12.491935, 14.861, GO12123_LC
245916160, 352.417541, -12.488401, 15.028, GO12018_LC|GO12123_LC
245916407, 352.865316, -12.472874, 14.871, GO12123_LC
245916424, 352.721407, -12.471905, 15.672, GO12018_LC|GO12123_LC
245916529, 352.696777, -12.465751, 13.116, GO12019_LC|GO12122_LC|GO12123_LC
245916692, 352.216146, -12.45542, 15.277, GO12123_LC
245916729, 352.815833, -12.452819, 15.025, GO12123_LC
245916881, 352.748335, -12.443449, 14.848, GO12123_LC
245917051, 352.90472, -12.430959, 11.32, GO12123_LC
245917090, 353.008881, -12.428114, 14.027, GO12019_LC|GO12018_LC|GO12123_LC
245917141, 352.094745, -12.425408, 13.455, GO12123_LC
245917175, 352.217571, -12.423485, 11.152, GO12024_LC|GO12065_LC|GO12122_LC|GO12071_LC|GO12123_LC
245917265, 352.930079, -12.417937, 15.138, GO12123_LC
245917331, 353.314025, -12.413779, 12.666, GO12019_LC|GO12018_LC|GO12071_LC|GO12123_LC
