# Summary of K2 Program GO13024

Title: Planets Around Low-Metallicity Stars (K2 GO4)

PI: Cochran, William D. (The University of Texas at Austin)
CoIs: Paetzold, Martin; Rauer, Heike; Lee, Byeong-Cheol; Yong, David; Endl, Michael; Fridlund, Malcolm Carl Wilhelm

Objectives:
A major result from surveys for extrasolar planets that has dramatically shaped our thinking about the formation of planetary systems is the very strong tendency for gas-giant planets to be found around metal-rich stars.  This trend is not seen, however, around super-Earth and Earth-size planets (Buchhave et al 2014).  We propose to search a large sample of sub-solar metallicity ([Fe/H] < 0.0) stars in the fields of K2 GO Cycle 4 Campaigns 11, 12, and 13 for transiting planets of all sizes.  Stars in this metallicity range fall into three populations: a) the thin-disk (which also extends into super-solar metallicity), b) the thick-disk, and c) the halo (which extends to extremely metal poor stars). These three populations differ both kinematically and chemically.  Thick disk stars exhibit a larger vertical scale height in the galactic orbits, and they also show alpha-capture element abundances enhanced by about a factor of two over thin-disk stars.  Halo stars show even more extreme kinematics and also exhibit significant enhancement of alpha-capture elements.  The discovery of the Kepler-444 system (Campante et al 2015), which comprises five sub-Earth size planets orbiting an ancient (11.2 Gy age) thick-disk star with significantly sub-solar metallicity ([Fe=H]=-0.69 +/- 0.09 dex) shows that planet formation started very early in the history of the galaxy.  We will compute planet occurrence rates for stars as a function of stellar metallicity, stellar population and of planet radius.  For stellar metallicity, we will consider not just the standard [Fe/H] abundance, but also the abundance of the very important alpha-capture elements.  The goal of our program is to determine the characteristics of the first stars in our Galaxy to form potentially habitable planetary systems.

Methodology:
We have assembled a large, diverse and highly experienced international team for this investigation.  The DLR group (led by Dr. H. Rauer) will extract the K2 photometry and model the light curves.  The Cologne group (led by Dr. M.  Paetzold)  will search the light curves for planetary transit signatures.  The groups at Texas (led by proposal PI Dr. W.  Cochran), the European KEST consortium (represented in this proposal by Dr. M. Fridlund),  and at KASI (led by Dr.  B.-C. Lee) will conduct extensive followup observations including ground-based photometry, high precision RV measurement, high resolution optical and near-IR spectroscopy in order to confirm the planetary candidates and Doppler tomographic analysis of any rapidly rotating planetary candidates.  The group at Australian National University (led by Dr. D. Yong) will perform detailed spectral analysis of our follow-up data in order to derive stellar parameters and chemical abundances.  and will perform Doppler tomographic analysis of any rapidly rotating planetary candidates.

Targets:
We will propose a large sample of approximately 3000 targets.  They range in V magnitude from about 5 to 13, with most of the targets in the range 10 < V < 12.  Thus, according to Aigrain et al (2015, MNRAS, 247, 2880) we expect to obtain a 6.5 hour CDPP of about 80 ppm or better.

Relevance:
We are searching for new exoplanetary systems. These results will provide important new constraints on the physics and chemistry of planetary system formation, as well as provide constraints for the computation of planet occurrence rates. We will address the Kepler mission goals of obtaining an inventory of the diversity of planetary systems around sun-like stars. We will also obtain data very complementary to the goals of the TESS program, and help guide planetary system science for JWST studies.

# Targets requested by this program that have been observed (621)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200173874, , , , GO13019_LC|GO13024_LC|GO13047_LC|GO13083_LC|GO13122_LC
200173875, , , , GO13019_LC|GO13023_LC|GO13024_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13122_LC|GO13902_LC|GO13903_LC|GO13904_LC
200173877, , , , GO13019_SC|GO13023_SC|GO13024_SC|GO13039_SC|GO13047_SC|GO13077_SC|GO13122_SC
210545633, 67.694983, 16.148696, 6.435, GO13012_LC|GO13122_LC|GO13002_LC|GO13023_LC|GO13006_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13019_LC|GO13903_LC
210546296, 67.249047, 16.159097, 6.491, GO13071_LC|GO13122_LC|GO13002_LC|GO13023_LC|GO13065_LC|GO13024_LC|GO13077_LC|GO13036_LC|GO13039_LC|GO13019_LC
210561006, 67.502272, 16.385598, 11.084, GO13071_LC|GO13122_LC|GO13024_LC
210580123, 67.49053, 16.672839, 8.837, GO13008_LC|GO13071_LC|GO13122_LC|GO13023_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13083_LC|GO13019_LC|GO13090_LC|GO13903_LC|GO13023_SC
210580425, 66.859989, 16.677598, 11.378, GO13071_LC|GO13122_LC|GO13098_LC|GO13024_LC|GO13052_LC
210583619, 66.922952, 16.725037, 10.23, GO13071_LC|GO13122_LC|GO13098_LC|GO13024_LC
210634047, 66.472719, 17.447637, 8.261, GO13071_LC|GO13122_LC|GO13002_LC|GO13024_LC|GO13052_LC|GO13902_LC|GO13903_LC|GO13904_LC
210640991, 67.33564, 17.544936, 6.943, GO13012_LC|GO13071_LC|GO13122_LC|GO13002_LC|GO13023_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13019_LC
210651217, 67.16074, 17.68611, 11.813, GO13071_LC|GO13122_LC|GO13024_LC|GO13902_LC|GO13904_LC
210658099, 67.313542, 17.779121, 9.929, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13902_LC|GO13904_LC
210658619, 67.604564, 17.786009, 9.978, GO13071_LC|GO13122_LC|GO13023_LC|GO13024_LC|GO13052_LC|GO13903_LC
210660686, 66.757961, 17.815082, 11.002, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13902_LC|GO13904_LC
210662824, 66.794042, 17.845179, 10.039, GO13009_LC|GO13024_LC|GO13082_LC|GO13119_LC|GO13902_LC|GO13903_LC|GO13904_LC
210664191, 67.376461, 17.863163, 6.85, GO13012_LC|GO13122_LC|GO13002_LC|GO13023_LC|GO13006_LC|GO13024_LC|GO13077_LC|GO13036_LC|GO13039_LC|GO13019_LC|GO13903_LC|GO13012_SC
210666330, 67.381695, 17.893185, 9.046, GO13008_LC|GO13012_LC|GO13064_LC|GO13071_LC|GO13122_LC|GO13023_LC|GO13006_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13083_LC|GO13090_LC|GO13903_LC|GO13012_SC
210668500, 67.18998, 17.922307, 11.543, GO13049_LC|GO13071_LC|GO13122_LC|GO13024_LC|GO13902_LC|GO13904_LC
210669206, 67.159438, 17.93233, 9.919, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13902_LC|GO13904_LC
210675613, 67.344298, 18.020135, 9.729, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13903_LC
210676484, 66.185618, 18.032438, 10.525, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13902_LC|GO13904_LC
210678043, 66.911952, 18.054832, 10.609, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13902_LC|GO13904_LC
210679638, 67.050235, 18.077178, 12.206, GO13071_LC|GO13122_LC|GO13024_LC|GO13902_LC|GO13904_LC
210711240, 66.695574, 18.524479, 10.78, GO13123_LC|GO13024_LC|GO13902_LC|GO13904_LC
210730992, 67.793919, 18.819888, 10.425, GO13049_LC|GO13071_LC|GO13122_LC|GO13024_LC|GO13039_LC|GO13015_LC|GO13903_LC
210733938, 66.46553, 18.86406, 7.389, GO13071_LC|GO13122_LC|GO13002_LC|GO13023_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13019_LC|GO13902_LC|GO13904_LC
210745602, 66.238031, 19.042009, 5.946, GO13047_LC|GO13122_LC|GO13023_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13019_LC|GO13902_LC|GO13903_LC|GO13904_LC
210782374, 67.026997, 19.601851, 10.089, GO13122_LC|GO13024_LC
210784894, 67.404929, 19.639524, 9.652, GO13071_LC|GO13122_LC|GO13024_LC|GO13903_LC
210789783, 67.340424, 19.713472, 11.47, GO13122_LC|GO13024_LC|GO13052_LC
210791522, 67.155056, 19.74068, 8.704, GO13008_LC|GO13012_LC|GO13071_LC|GO13122_LC|GO13023_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13083_LC|GO13090_LC|GO13903_LC|GO13012_SC
210798162, 67.574882, 19.840576, 7.014, GO13012_LC|GO13122_LC|GO13002_LC|GO13023_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13052_LC|GO13019_LC|GO13903_LC
210800699, 67.762051, 19.877929, 10.127, GO13071_LC|GO13122_LC|GO13024_LC|GO13903_LC
210817382, 67.815373, 20.133156, 8.431, GO13008_LC|GO13012_LC|GO13071_LC|GO13122_LC|GO13002_LC|GO13023_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13083_LC|GO13019_LC|GO13090_LC|GO13903_LC|GO13012_SC
210837707, 65.582077, 20.443927, 11.98, GO13122_LC|GO13024_LC
210838006, 65.181625, 20.448978, 10.812, GO13071_LC|GO13122_LC|GO13024_LC
210838130, 65.863965, 20.450684, 9.698, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13019_LC
210845957, 65.364358, 20.568409, 11.727, GO13049_LC|GO13071_LC|GO13122_LC|GO13024_LC|GO13050_LC
210847069, 65.840753, 20.584323, 10.847, GO13071_LC|GO13122_LC|GO13024_LC|GO13903_LC
210854922, 67.280944, 20.700146, 10.378, GO13071_LC|GO13122_LC|GO13024_LC
210859834, 65.025948, 20.774123, 11.758, GO13071_LC|GO13122_LC|GO13024_LC|GO13050_LC
210863564, 67.157216, 20.831605, 8.612, GO13071_LC|GO13122_LC|GO13024_LC|GO13019_LC|GO13903_LC
210866511, 67.533345, 20.876595, 9.77, GO13071_LC|GO13122_LC|GO13024_LC|GO13019_LC|GO13903_LC
210867082, 65.876911, 20.884942, 9.483, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
210869195, 66.695563, 20.916952, 10.949, GO13122_LC|GO13024_LC|GO13052_LC
210871700, 65.61849, 20.95418, 12.488, GO13123_LC|GO13071_LC|GO13122_LC|GO13024_LC
210874177, 66.780786, 20.990885, 9.175, GO13071_LC|GO13122_LC|GO13002_LC|GO13024_LC|GO13083_LC|GO13903_LC
210874292, 65.206099, 20.992416, 11.196, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
210877254, 65.571462, 21.03797, 11.5, GO13071_LC|GO13122_LC|GO13098_LC|GO13024_LC
210877371, 65.381873, 21.039878, 8.17, GO13008_LC|GO13012_LC|GO13071_LC|GO13122_LC|GO13002_LC|GO13023_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13090_LC|GO13903_LC
210877450, 67.107885, 21.041334, 10.303, GO13049_LC|GO13071_LC|GO13122_LC|GO13024_LC|GO13050_LC|GO13052_LC|GO13903_LC
210886626, 65.843219, 21.183508, 9.311, GO13071_LC|GO13122_LC|GO13024_LC
210886951, 65.396156, 21.188502, 8.98, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13903_LC
210894062, 64.754953, 21.29934, 8.7, GO13071_LC|GO13122_LC|GO13002_LC|GO13024_LC|GO13052_LC
