# Summary of K2 Program GO14016

Title: K2 Observations of Variable White Dwarfs in Fields 14, 15 and 16

PI: Hermes, James J (University Of North Carolina, Chapel Hill)
CoIs: Winget, D. E.; Dunlap, Bart H; Clemens, Chris; Gentile Fusillo, Nicola; Kawaler, Steven; Gaensicke, Boris Teddy; Dennihy, Erik; Bell, Keaton; Raddi, Roberto; Montgomery, Mike; Fuchs, Josh

We propose observations of variable white dwarfs in Fields 14-16 of the K2 mission. We request short-cadence observations of known and high-probability pulsating white dwarfs, since the pulsation periods span 100-1400 s. These K2 pulsating white dwarfs will provide unprecedented insight into the interiors of evolved stellar remnants with a sample size large enough to measure the distribution of both hydrogen and helium-layer masses of these evolved objects, as well as directly constraining the efficiency of convection. Additionally, we propose long-cadence observations of hundreds of known and candidate white dwarfs, many of which are known to be magnetic, in close binaries, or harbor remnant planetary systems.

Overall, our program will more than quadruple the number of rotation rates measured for white dwarfs, putting strong constraints on the evolution of angular momentum in the final stages of stellar evolution. We will also characterize the orbital periods of many new post-common-envelope binaries (close WD+dM), informing Type Ia supernova population synthesis models. The proposed observations will provide the capstone for our legacy dataset of white dwarf variability with K2, which will revolutionize our understanding of stellar remnants for the next decade.

# Targets requested by this program that have been observed (342)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
201451176, 162.715434, -0.202108, 17.248, GO14016_LC|GO14062_LC|GO14016_SC|GO14062_SC
201535046, 163.117447, 1.062752, 14.439, GO14016_LC|GO14096_LC|GO14089_LC|GO14080_LC|GO14096_SC|GO14080_SC
201591587, 166.667596, 1.914254, 14.849, GO14016_LC|GO14065_LC
201600233, 166.428019, 2.047467, 18.76, GO14016_LC
201613723, 165.589668, 2.256308, 19.431, GO14016_LC|GO14046_LC
201621388, 166.899578, 2.373612, 18.584, GO14016_LC|GO14027_LC|GO14103_LC
201627462, 166.930971, 2.468033, 18.487, GO14016_LC|GO14008_LC
201631096, 166.495901, 2.524423, 18.317, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
201634969, 166.253388, 2.584651, 18.783, GO14016_LC|GO14046_LC|GO14062_LC
201640895, 165.564386, 2.676184, 17.597, GO14016_LC|GO14051_LC|GO14089_LC|GO14051_SC
201644501, 166.455178, 2.731244, 18.878, GO14016_LC|GO14046_LC|GO14062_LC
201646252, 165.28914, 2.758155, 18.792, GO14016_LC
201653712, 165.35946, 2.873885, 18.341, GO14016_LC|GO14088_LC|GO14008_LC
201660192, 166.75201, 2.979113, 18.262, GO14016_LC|GO14008_LC
201703729, 165.684386, 3.703003, 18.569, GO14016_LC|GO14046_LC|GO14062_LC
201719996, 166.247355, 3.979986, 19.497, GO14016_LC|GO14046_LC
201726536, 166.682145, 4.091687, 18.832, GO14016_LC
201730076, 166.769688, 4.152151, 17.066, GO14016_LC|GO14062_LC|GO14052_LC|GO14039_LC|GO14062_SC
201903805, 164.771287, 7.404309, 15.93, GO14016_LC|GO14065_LC
210282465, 166.76577, 4.09537, 17.1, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC|GO14062_SC
248401181, 163.308675, -0.426032, 19.94, GO14016_LC|GO14062_LC
248404896, 162.284646, -0.258124, 19.82, GO14016_LC|GO14019_LC|GO14016_SC
248407521, 162.302712, -0.148571, 18.246, GO14016_LC|GO14046_LC|GO14062_LC
248410880, 162.111929, -0.015757, 18.369, GO14016_LC|GO14016_SC
248413871, 162.307617, 0.100055, 19.463, GO14016_LC|GO14046_LC|GO14062_LC
248414370, 161.826303, 0.121795, 17.332, GO14016_LC|GO14046_LC|GO14062_LC|GO14062_SC
248414962, 162.348911, 0.146094, 19.275, GO14016_LC|GO14046_LC
248422838, 158.803172, 0.458058, 16.272, GO14016_LC|GO14096_LC|GO14089_LC|GO14080_LC|GO14080_SC
248424563, 159.48752, 0.524504, 14.459, GO14016_LC
248425680, 162.066021, 0.567655, 18.611, GO14016_LC
248426757, 162.443492, 0.609764, 17.54, GO14016_LC|GO14046_LC|GO14062_LC
248427001, 160.394262, 0.619895, 19.71, GO14016_LC|GO14062_LC
248428008, 162.476839, 0.65873, 19.02, GO14016_LC|GO14046_LC|GO14062_LC
248429439, 156.081453, 0.713137, 19.853, GO14016_LC|GO14062_LC
248429573, 156.349081, 0.718279, 17.92, GO14016_LC|GO14046_LC|GO14062_LC
248431701, 160.118444, 0.796635, 18.982, GO14016_LC
248431823, 156.798511, 0.800691, 19.452, GO14016_LC
248433277, 156.721318, 0.852928, 19.001, GO14016_LC|GO14046_LC|GO14062_LC
248433650, 158.703862, 0.867064, 19.073, GO14016_LC|GO14046_LC|GO14062_LC
248433686, 157.676808, 0.868146, 17.231, GO14016_LC|GO14046_LC|GO14062_LC|GO14062_SC
248439241, 156.173832, 1.078663, 17.68, GO14016_LC|GO14046_LC|GO14062_LC
248440910, 162.75821, 1.140753, 17.91, GO14016_LC|GO14046_LC|GO14062_LC
248442206, 157.674587, 1.189278, 17.83, GO14016_LC|GO14039_LC
248444927, 160.71804, 1.293505, 18.585, GO14016_LC
248446356, 157.992759, 1.348257, 18.585, GO14016_LC|GO14046_LC|GO14062_LC
248450799, 157.066586, 1.501841, 18.135, GO14016_LC|GO14088_LC|GO14008_LC
248451618, 156.52923, 1.529319, 17.757, GO14016_LC|GO14088_LC|GO14071_LC|GO14008_LC
248453399, 163.688172, 1.590425, 18.86, GO14016_LC|GO14046_LC|GO14062_LC
248453426, 159.350499, 1.591353, 18.529, GO14016_LC|GO14046_LC|GO14062_LC
248454038, 156.536999, 1.610699, 18.73, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
