# Summary of K2 Program GO15039

Title: A search for exoplanets and close stellar/substellar companions in the local halo population for K2 campaigns 14-15-16.

PI: Lepine, Sebastien (Georgia State University)
CoIs: Jao, Wei-Chun

We propose to continue the systematic search for exoplanets orbiting the very old stars of the Galactic halo, a population of stars that was not targeted to any significant degree in the original Kepler mission, but which we have now been systematically targeting starting in K2 campaign 4. Following the recent discovery of exoplanets orbiting Kapteyn's star, a known local halo M subdwarf, and the determination of a very old age (~10Gyr) for the exoplanet bearing star Kepler-10, it is now suspected that stars of the Galactic halo population also harbor exoplanets in significant numbers. However, very little is known about the prevalence and properties of exoplanets orbiting old metal-poor stars because this population has been largely overlooked by most exoplanet surveys. In addition, the detection of eclipsing stellar companions is of high interest for stellar astrophysics, because it allows one to directly measure the mass and radius of a star, which in turn calibrates the fundamental "mass-radius relationship", which is a critical test of stellar structure and evolution models. We expect our proposed program to discover several of these important mass-radius calibrators, which would for the first time obtain mass and radius measurements for old, low-mass stars with low metal abundances. Our ongoing program has now identified three likely eclipsing binaries in K2 campaigns 4-7, out of 6,376 halo stars monitored. The small numbers shows how rare these systems are in the halo population, and emphasizes the need for monitoring larger samples of halo stars. Campaigns 14-15-16 are very favorable to this, with campaign 14 close to the North Galactic cap. Our astrometric and photometric analysis of these three fields identifies 3,959 high-velocity subdwarfs, which are unambiguous members of the local Galactic halo. We propose to monitor these halo stars with Kepler, in order to attempt once more to identify and characterize the first generations of exoplanets in our Galaxy, and to identify additional eclipsing systems to be used as mass-radius calibrators. Light curves of the targeted halo stars will be searched for eclipses or transits using an auto-correlation and Fourier analysis method developed by our team. Candidates will be targeted for ground-based follow-up observations, to confirm the existence of the transits/eclipses. Relevance: this program will directly expand on the original goal of Kepler to find exoplanets orbiting main sequence stars in the Galactic disk. The data collected on local Galactic halo stars will complement existing result from the Kepler mission by providing statistics and/or properties of exoplanets orbiting old, metal-poor stars.

# Targets requested by this program that have been observed (1347)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
203445263, 238.074566, -26.114761, 15.357, GO15039_LC
203578960, 237.968437, -25.660733, 16.017, GO15039_LC
203645494, 237.968696, -25.430565, 18.059, GO15039_LC
203653968, 238.037843, -25.400566, 17.033, GO15039_LC
203657241, 237.665175, -25.389442, 17.409, GO15039_LC
203667134, 237.6909, -25.35509, 16.311, GO15039_LC
203681453, 237.883447, -25.305473, 16.911, GO15039_LC
203741275, 237.527848, -25.097764, 16.125, GO15039_LC
203780370, 237.793606, -24.956613, 15.61, GO15039_LC
203792061, 237.752946, -24.91383, 15.285, GO15039_LC
203798967, 237.84287, -24.88869, 14.751, GO15039_LC
203834785, 237.483989, -24.755148, 18.132, GO15039_LC
203849413, 237.82179, -24.699429, 16.256, GO15039_LC
203857399, 237.921642, -24.667191, 15.874, GO15039_LC
204037677, 238.931498, -23.915365, 17.08, GO15039_LC
204067146, 239.089065, -23.799505, 15.632, GO15039_LC
204067726, 240.217274, -23.797087, 18.172, GO15039_LC
204074578, 240.661378, -23.769526, 17.72, GO15039_LC
204089611, 239.961359, -23.708222, 16.343, GO15039_LC
204091996, 240.534025, -23.699026, 17.56, GO15039_LC
204103121, 239.713032, -23.654456, 16.296, GO15039_LC
204135985, 238.767727, -23.52324, 16.378, GO15039_LC
204162106, 238.581538, -23.419962, 17.428, GO15039_LC
204180065, 239.604418, -23.349562, 15.761, GO15039_LC
204188486, 239.195963, -23.316721, 16.402, GO15039_LC
204208841, 239.033438, -23.237453, 17.75, GO15039_LC
204214127, 240.181462, -23.216952, 15.292, GO15039_LC
204216772, 240.524654, -23.206863, 18.067, GO15039_LC
204219252, 239.978827, -23.197086, 17.292, GO15039_LC
204219891, 240.71767, -23.194475, 17.388, GO15039_LC
204220967, 239.390464, -23.190359, 17.823, GO15039_LC
204225145, 238.969281, -23.174423, 16.821, GO15039_LC
204254265, 240.07498, -23.058632, 16.303, GO15039_LC
204276876, 240.878603, -22.970816, 14.774, GO15039_LC
204286279, 240.406093, -22.934584, 18.14, GO15039_LC
