# Summary of K2 Program GO15065

Title: Eclipsing Binary Stars as Tracers of Stellar Populations across Galactic Latitudes

PI: Prsa, Andrej (Villanova University)
CoIs: Pepper, Joshua; LaCourse, Daryll M; Abdul-Masih, Michael; Wells, Mark Andrew; Conroy, Kyle; Torres, Guillermo; Southworth, John

The K2 mission observes fields along the ecliptic; these fields range from -70 to 70-deg in galactic latitudes, thus probing inherently different parts of our Galaxy. These parts (the bulge, thick disk, thin disk, halo) feature distinct stellar populations, and understanding the properties of those populations is an ongoing effort. Studying these properties relies on reliable fundamental parameters of stars: their masses, radii, temperatures and luminosities. Eclipsing binary stars lend themselves naturally to this task, since their favorable geometrical orientation and basic laws of gravity enable us to determine fundamental parameters to a ~1% accuracy. We scoured the published catalogs and proprietary KELT and SuperWASP data for all eclipsing binary stars in K2 C14, C15 and C16 fields. We propose to observe these stars and, along with other serendipitous discoveries of binarity in the fields, build a stellar population model based on the fundamental parameters derived from K2 data and follow-up multi-color photometry and spectroscopy. Studying the intrinsic differences in stellar populations across K2 fields will allow us to infer the dependence on galactic latitude and contribute to our understanding of stellar population distribution in our Galaxy.

# Targets requested by this program that have been observed (503)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
203604834, 237.735049, -25.571953, 9.657, GO15043_LC|GO15023_LC|GO15001_LC|GO15009_LC|GO15021_LC|GO15065_LC
203605785, 238.054525, -25.568701, 13.454, GO15065_LC
203752240, 237.749063, -25.058256, 8.907, GO15001_LC|GO15065_LC
204004732, 239.631777, -24.048294, 15.666, GO15043_LC|GO15023_LC|GO15065_LC
204008370, 240.188257, -24.032468, 12.383, GO15009_LC|GO15021_LC|GO15065_LC
204009571, 240.321048, -24.027098, 9.206, GO15009_LC|GO15028_LC|GO15021_LC|GO15065_LC
204026019, 240.888882, -23.960583, 12.482, GO15074_LC|GO15001_LC|GO15009_LC|GO15021_LC|GO15065_LC
204026146, 239.362292, -23.96013, 12.85, GO15068_LC|GO15052_LC|GO15065_LC
204039512, 239.648836, -23.908278, 9.235, GO15063_LC|GO15009_LC|GO15028_LC|GO15021_LC|GO15065_LC
204040060, 239.357267, -23.906194, 12.942, GO15043_LC|GO15023_LC|GO15001_LC|GO15020_LC|GO15065_LC
204054129, 240.456488, -23.852278, 15.453, GO15043_LC|GO15023_LC|GO15065_LC
204065688, 239.122577, -23.80551, 12.192, GO15043_LC|GO15023_LC|GO15001_LC|GO15020_LC|GO15065_LC
