# Summary of K2 Program GO16079

Title: The K2 ExtraGalactic Survey (KEGS) for Transients

PI: Rest, Armin (Space Telescope Science Institute)
CoIs: Tucker, Brad E; Garnavich, Peter M.; Olling, Robert P; Shaya, Ed; Mushotzky, Richard; Kasen, Daniel Nathan

Supernovae (SN) and Active Galactic Nuclei (AGN) vary on timescales of hours to months and are still shrouded in mystery. We propose a Large K2 Program to monitor on the order of 10,000 bright galaxies in each of Campaign C14, C15, and C16, which should yield in total more than 15 great light curves (LCs) of supernovae. In Kepler GO programs, we have identified to date 3 SN Ia (Olling et al. 2015), 2 SN IIP (Garnavich et al. 2016; Tucker et al., submitted), and 1 SN IIn/Ia-csm (Garnavich et al., in prep.). We also found that ~4% of our galaxies display AGN activity with variability at >0.001% level (Shaya et al 2015). In K2 Campaign C3, C5, C6, C8, and C10 we identified more than 15 SNe, three of which we spectroscopically classified. Analysis of the K2 data is ongoing. 

With our program, we plan to a) determine the types of companions to progenitors of SNe using features in the early breakout (t < 4 days) LCs; b) explore the explosion physics of SN, especially SN Ia, using subtle features during their rise (t < 20 days); c) improve the calibration of SN Ia as standard candles for measuring distances, Ho, and dark energy using K2 LCs of unprecedented detail; and d) add significant knowledge to the virtually unexplored very low-Eddington regime of AGN. 

There is an ongoing controversy over the basic physics of one of the key tools in cosmology, the SN Ia standard candle. Do SNe Ia gradually reach critical mass via accretion from a companion star or does it merge with another WD? If a white dwarf had been accreting mass from a companion star, as the ejecta reaches the companion a shock would form with observable optical emission (Kasen 2010). The emission would be short and strongest from certain viewing angles, requiring rapid cadence for several SNe before definitive conclusions can be reached. For the 3 SN Ia discovered by Kepler monitoring of ~500 galaxies (Olling et al. 2015), no signatures of a companion were found and tight constraints were placed. With a larger sample, we can determine the statistics for the two possible channels that trigger SN Ia. Meanwhile, features due to the different explosion physics (detonation, deflagration, inwards-moving diffusion waves, etc) of Ia and core collapse SNe will also be revealed. K2 will allow for the first time to test models more complicated than simple "expanding fireballs." 

We will undertake a major, concurrent ground-based effort to observe the entire field every other day using SkyMapper, ATLAS and DECam. We will also coordinate multi-color photometry and spectra to classify discovered transients using Lick, Gemini, and Keck. In Campaign C5 and C6, we successfully identified 4 SNe with DECam observations, of which we classified 2 with Gemini spectra as SN Ia. These data, coupled with high precision 30 minute K2 data will have enormous legacy value. 

Methods: 
We have developed and proven a highly successful detrending method that simultaneously solves for the sawtooth pattern caused by pointing motion and for the coefficients of vectors from principal component analysis of targets on the same channel. This iterative technique permits us to define aperture sizes better suited to this problem and to make excellent corrections for sensitivity variations on all time scales. To properly correct SN light curves, the technique is applied to the quiet time before the event and then extrapolated to the end of the campaign. 

References: 
Garnavich et al. 2016, ApJ, 820, 23 (KEGS paper) 
Garnavich et al., ApJ, in prep. (KEGS paper) 
Kasen 2010, AJ, 708, 1025 
Olling et al. 2015, Nature, 521, 332 (KEGS paper) 
Shaya et al. 2015, AJ, 150, 188 (KEGS paper) 
Tucker et al., submitted (KEGS paper)

# Targets requested by this program that have been observed (6694)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200200365, , , , GO16079_LC|GO16095_LC|LC_CUSTOM_LARGE_GALAXIES
200200366, , , , GO16079_LC|GO16095_LC|LC_CUSTOM_LARGE_GALAXIES
211390837, 137.274116, 11.497093, 17.827, GO16079_LC
211392828, 137.429876, 11.530195, 17.796, GO16079_LC
211392892, 136.497767, 11.531138, 17.481, GO16079_LC|GO16102_LC
211393336, 136.991169, 11.53877, 16.367, GO16079_LC|GO16102_LC
211393646, 136.313657, 11.543507, 17.201, GO16079_LC|GO16102_LC
211394171, 136.237503, 11.551789, 18.989, GO16079_LC|GO16102_LC
211394964, 136.372776, 11.564017, 17.166, GO16079_LC|GO16102_LC
211395258, 135.822348, 11.568494, 16.742, GO16079_LC|GO16102_LC
211396095, 135.941524, 11.581642, 19.087, GO16079_LC
211396111, 136.676221, 11.581947, 15.429, GO16079_LC|GO16102_LC
211396350, 136.512933, 11.585298, 16.725, GO16079_LC|GO16102_LC
211396404, 136.692053, 11.586114, 17.445, GO16079_LC|GO16102_LC
211396829, 136.953692, 11.592361, 15.716, GO16079_LC|GO16102_LC
211397036, 136.552132, 11.595355, 17.455, GO16079_LC|GO16102_LC
211398051, 136.667608, 11.610876, 17.393, GO16079_LC|GO16102_LC
211398523, 135.291791, 11.618067, 17.795, GO16079_LC|GO16095_LC|GO16102_LC
211398652, 137.287248, 11.620148, 17.989, GO16079_LC
211398719, 134.389426, 11.621339, 18.029, GO16079_LC
211399217, 136.002135, 11.628574, 16.21, GO16079_LC|GO16102_LC
211399476, 135.768486, 11.632527, 16.729, GO16079_LC
211399523, 135.518411, 11.633258, 16.944, GO16079_LC
211400366, 136.165841, 11.645915, 17.838, GO16079_LC
211401579, 136.178788, 11.66408, 17.774, GO16079_LC
211401963, 134.43301, 11.670465, 17.024, GO16079_LC
211402213, 134.417376, 11.674465, 17.275, GO16079_LC
211402302, 135.477089, 11.675902, 15.583, GO16079_LC|GO16095_LC|GO16102_LC
211402651, 137.176319, 11.681875, 18.181, GO16079_LC
211402928, 132.301219, 11.686213, 17.889, GO16079_LC
211403302, 137.146646, 11.691753, 16.613, GO16079_LC
211403925, 134.548161, 11.701913, 17.253, GO16079_LC
211403958, 133.729824, 11.702449, 18.294, GO16079_LC|GO16102_LC
211404073, 134.453418, 11.704128, 17.902, GO16079_LC
211404153, 134.46676, 11.705447, 16.915, GO16079_LC|GO16102_LC
211404183, 133.753185, 11.705925, 17.11, GO16079_LC
211404627, 134.478473, 11.712405, 17.707, GO16079_LC
211404839, 137.156754, 11.715674, 15.172, GO16079_LC|GO16095_LC|GO16102_LC
211404948, 134.566443, 11.717189, 17.641, GO16079_LC
211405151, 134.181108, 11.719932, 17.605, GO16079_LC
211405453, 134.028128, 11.724489, 17.728, GO16079_LC|GO16102_LC
211405491, 134.162951, 11.725003, 16.379, GO16079_LC|GO16102_LC
211405493, 134.413463, 11.725052, 18.495, GO16079_LC
211405657, 134.152011, 11.727458, 18.016, GO16079_LC
211405830, 133.951952, 11.730392, 16.554, GO16079_LC
211406208, 134.558468, 11.735782, 17.761, GO16079_LC
211406507, 130.592941, 11.740175, 16.846, GO16079_LC|GO16102_LC
211406543, 135.284904, 11.740685, 18.335, GO16079_LC
211406784, 135.201391, 11.744636, 17.418, GO16079_LC
211407296, 133.645666, 11.752668, 17.933, GO16079_LC
211407332, 132.232318, 11.75328, 18.132, GO16079_LC
211407351, 132.438494, 11.753547, 17.704, GO16079_LC
211407552, 136.029887, 11.756473, 17.691, GO16079_LC|GO16102_LC
211407674, 133.97152, 11.758282, 16.322, GO16079_LC
211407735, 135.538128, 11.759069, 17.358, GO16079_LC|GO16102_LC
211407884, 134.332559, 11.761313, 17.291, GO16079_LC|GO16102_LC
211408304, 130.214623, 11.767637, 17.029, GO16079_LC|GO16102_LC
211408415, 133.838111, 11.769647, 16.03, GO16079_LC
211408420, 136.690947, 11.769728, 18.232, GO16079_LC
211408441, 133.213137, 11.77003, 17.835, GO16079_LC
211408471, 134.560121, 11.770507, 17.634, GO16079_LC
211408501, 130.979736, 11.771023, 14.885, GO16079_LC|GO16095_LC|GO16102_LC
211408521, 133.230667, 11.771208, 17.969, GO16079_LC
211408762, 135.579934, 11.774431, 18.272, GO16079_LC
211408822, 134.051817, 11.77545, 17.536, GO16079_LC|GO16102_LC
211409060, 134.035924, 11.779051, 16.942, GO16079_LC|GO16102_LC
211409102, 129.632028, 11.779747, 15.815, GO16079_LC|GO16102_LC
211409162, 134.072553, 11.780658, 18.324, GO16079_LC
211409209, 133.589018, 11.781376, 16.991, GO16079_LC|GO16102_LC
211409436, 134.059168, 11.784997, 15.166, GO16079_LC
211409737, 133.989608, 11.789078, 17.483, GO16079_LC
211409922, 134.682963, 11.791466, 17.219, GO16079_LC
211410128, 133.266903, 11.794546, 17.528, GO16079_LC|GO16102_LC
211410210, 130.198268, 11.795682, 17.298, GO16079_LC|GO16102_LC
211410332, 134.680414, 11.797541, 17.938, GO16079_LC
211410752, 133.583979, 11.803523, 17.028, GO16079_LC|GO16102_LC
211411727, 130.162981, 11.817515, 17.462, GO16079_LC|GO16102_LC
211411926, 133.378165, 11.820282, 18.185, GO16079_LC
211412291, 129.625565, 11.826095, 18.073, GO16079_LC
211412322, 129.646646, 11.826484, 17.328, GO16079_LC|GO16102_LC
211412785, 130.587254, 11.833441, 16.585, GO16079_LC
211413078, 133.37838, 11.837791, 16.871, GO16079_LC|GO16102_LC
211413102, 134.499598, 11.838161, 17.254, GO16079_LC|GO16102_LC
211413107, 132.390062, 11.838221, 18.141, GO16079_LC
211413302, 134.132589, 11.841114, 15.463, GO16079_LC|GO16102_LC
211413359, 137.360168, 11.841854, 17.807, GO16079_LC
211413495, 129.835158, 11.844235, 17.191, GO16079_LC|GO16102_LC
211413747, 137.350363, 11.848221, 18.652, GO16079_LC
211414413, 135.664807, 11.858142, 17.786, GO16079_LC
211414463, 131.190554, 11.858981, 16.288, GO16079_LC|GO16102_LC
211414847, 133.768291, 11.86499, 16.774, GO16079_LC|GO16102_LC
211414876, 135.962681, 11.865377, 18.17, GO16079_LC
211415534, 131.144765, 11.875396, 15.658, GO16079_LC|GO16095_LC|GO16102_LC
211415646, 133.770099, 11.877151, 18.128, GO16079_LC
211415711, 136.006244, 11.87819, 18.162, GO16079_LC
211415819, 134.184911, 11.879688, 17.191, GO16079_LC
211415974, 134.61501, 11.881833, 18.747, GO16079_LC
211416189, 133.176068, 11.88495, 15.97, GO16064_LC|GO16079_LC|GO16102_LC
211416387, 133.58945, 11.887759, 17.9, GO16079_LC
211416448, 136.211104, 11.888721, 17.926, GO16079_LC
211416581, 134.596012, 11.890697, 18.558, GO16079_LC
211416674, 130.063047, 11.892113, 16.456, GO16079_LC|GO16102_LC
211416885, 134.043099, 11.894816, 17.668, GO16079_LC
211417016, 137.11617, 11.896949, 16.721, GO16079_LC|GO16102_LC
211417024, 134.097469, 11.89719, 16.327, GO16079_LC|GO16102_LC
211417377, 134.161898, 11.902701, 16.94, GO16079_LC|GO16102_LC
211417545, 131.355775, 11.904873, 16.635, GO16079_LC|GO16102_LC
211417627, 130.116553, 11.906234, 16.601, GO16079_LC|GO16102_LC
211417746, 130.392233, 11.907798, 17.215, GO16079_LC|GO16102_LC
211417784, 133.420361, 11.908353, 17.696, GO16079_LC|GO16102_LC
211417913, 129.985753, 11.910395, 18.175, GO16079_LC
211418218, 133.370194, 11.914688, 19.057, GO16079_LC
211418242, 135.840476, 11.915011, 16.359, GO16079_LC|GO16102_LC
211418257, 131.194415, 11.915252, 17.351, GO16079_LC
211418328, 134.105465, 11.916316, 17.555, GO16079_LC|GO16102_LC
211418473, 135.838836, 11.918639, 18.25, GO16079_LC
211418519, 134.257197, 11.919365, 18.295, GO16079_LC
211418544, 135.245532, 11.919721, 16.973, GO16079_LC
211418622, 133.647262, 11.920795, 17.366, GO16079_LC|GO16102_LC
211418705, 134.446191, 11.922046, 16.894, GO16079_LC|GO16102_LC
211418893, 133.82007, 11.924553, 17.504, GO16079_LC
211418995, 129.636227, 11.926126, 17.099, GO16079_LC|GO16102_LC
211419196, 136.740815, 11.929303, 17.601, GO16079_LC
211419207, 132.34168, 11.9295, 18.769, GO16079_LC|GO16102_LC
211419267, 129.72991, 11.930355, 16.932, GO16079_LC|GO16102_LC
211419487, 133.965992, 11.933362, 17.989, GO16079_LC
211419616, 131.331713, 11.935543, 17.96, GO16079_LC
211419655, 137.285989, 11.936192, 17.628, GO16079_LC
211419963, 136.746284, 11.940628, 16.428, GO16079_LC
211419999, 129.500931, 11.9412, 17.877, GO16079_LC
211420018, 134.57147, 11.941423, 18.2, GO16079_LC
211420026, 131.24075, 11.941476, 16.593, GO16079_LC|GO16095_LC|GO16102_LC
211420251, 135.858686, 11.944561, 18.305, GO16079_LC
211420767, 129.419187, 11.952019, 17.534, GO16079_LC
211420885, 133.946386, 11.953612, 17.613, GO16079_LC
211421350, 136.431046, 11.960792, 16.959, GO16079_LC|GO16102_LC
211422515, 133.708659, 11.978227, 18.827, GO16079_LC|GO16102_LC
211422561, 133.132244, 11.9789, 17.479, GO16079_LC|GO16102_LC
211422667, 133.755512, 11.980618, 17.415, GO16079_LC|GO16102_LC
211422897, 133.887258, 11.984076, 17.072, GO16079_LC
211423227, 134.080727, 11.989029, 17.076, GO16079_LC
211423446, 133.593781, 11.992092, 17.774, GO16079_LC
211423763, 136.662681, 11.996885, 17.857, GO16079_LC
211423890, 131.66571, 11.998406, 17.312, GO16079_LC|GO16102_LC
211423924, 131.105232, 11.99892, 15.962, GO16079_LC|GO16102_LC
211423955, 137.51849, 11.999453, 17.849, GO16079_LC
211424206, 134.658873, 12.003372, 16.766, GO16079_LC|GO16102_LC
211424562, 135.903124, 12.008568, 17.218, GO16079_LC|GO16102_LC
211424716, 137.061728, 12.010847, 16.671, GO16079_LC|GO16102_LC
211425030, 135.907151, 12.015804, 17.705, GO16079_LC|GO16102_LC
211425124, 129.570117, 12.017087, 18.13, GO16079_LC|GO16102_LC
211425520, 133.395613, 12.023518, 17.483, GO16079_LC
211425671, 131.69832, 12.02593, 16.377, GO16079_LC|GO16102_LC
211425791, 133.421441, 12.02776, 17.061, GO16079_LC|GO16102_LC
211425839, 134.018995, 12.02845, 18.039, GO16079_LC
