# Summary of K2 Program GO18020

Title: Rapid Optical Variability in Infrared and Optically Bright blazars

PI: Carini, Michael (Western Kentucky Unversity)
CoIs: 



# Targets requested by this program that have been observed (14)
EPIC,RA,Dec,Kp,InvestigationIDs
211394799,127.32515,11.56150,17.89300,GO18020_LC|GO18044_LC
211486980,126.72699,12.95056,18.73600,GO18020_LC|GO18044_LC
211487221,127.31956,12.95434,18.57700,GO18020_LC|GO18044_LC
211504760,130.19827,13.20655,18.26400,GO18010_LC|GO18020_LC|GO18044_LC
211504764,130.19827,13.20662,18.24500,GO18020_LC
211529611,127.65708,13.55727,17.10100,GO18020_LC|GO18059_LC
211547569,123.84522,13.80944,17.86800,GO18020_LC|GO18044_LC
211559044,136.39572,13.96842,17.21300,GO18010_LC|GO18020_LC
211559047,136.39578,13.96844,16.40400,GO18020_LC
211688137,125.05917,15.75534,17.45800,GO18020_LC|GO18044_LC
211777425,129.30753,16.99549,18.48400,GO18020_LC|GO18044_LC
211977091,128.00066,19.88670,18.32800,GO18020_LC|GO18044_LC
211991001,133.70366,20.10851,14.81900,GO18010_LC|GO18020_LC|GO18010_SC|GO18020_SC
212080556,129.06755,21.65100,19.50900,GO18020_LC
