# Summary of K2 Program GO18046

Title: A continued search for exoplanets and close stellar/substellar companions in the local halo population for K2 campaigns 17-18-19

PI: Lepine, Sebastien (Georgia State University)
CoIs: 



# Targets requested by this program that have been observed (46)
EPIC,RA,Dec,Kp,InvestigationIDs
211305926,128.93918,9.96997,12.39300,GO18046_LC|GO18049_LC|GO18065_LC|GO18067_LC
211329317,128.33257,10.43291,12.15100,GO18046_LC|GO18049_LC|GO18065_LC|GO18067_LC
211340186,130.19809,10.63456,13.57900,GO18046_LC|GO18049_LC|GO18067_LC
211341802,133.61026,10.66404,13.43800,GO18046_LC|GO18049_LC|GO18067_LC
211354230,129.98772,10.89097,13.06100,GO18046_LC|GO18049_LC|GO18067_LC|GO18068_LC
211382902,132.92981,11.37009,17.50700,GO18004_LC|GO18046_LC
211391136,132.81152,11.50240,11.70400,GO18046_LC|GO18049_LC|GO18065_LC|GO18068_LC
211397366,129.55048,11.60044,12.01800,GO18046_LC|GO18049_LC|GO18065_LC|GO18067_LC
211407755,132.30402,11.75933,14.57300,GO18046_LC|GO18048_LC|GO18068_LC|GO18048_SC
211418016,129.76604,11.91191,11.73900,GO18046_LC|GO18049_LC|GO18065_LC|GO18067_LC|GO18068_LC
211426581,131.03362,12.03973,12.89000,GO18046_LC|GO18049_LC|GO18065_LC
211433859,130.10973,12.15314,13.39900,GO18046_LC|GO18049_LC
211494294,126.06141,13.05859,12.69400,GO18046_LC|GO18049_LC|GO18067_LC
211496128,125.15497,13.08481,12.82400,GO18046_LC|GO18049_LC|GO18065_LC|GO18067_LC
211502295,123.10336,13.17136,13.30300,GO18046_LC|GO18049_LC|GO18067_LC
211506768,136.81793,13.23501,13.17500,GO18046_LC|GO18049_LC|GO18068_LC
211509975,127.61642,13.27966,15.49300,GO18046_LC|GO18048_LC|GO18068_LC
211559890,136.72575,13.98025,11.63700,GO18046_LC|GO18065_LC|GO18068_LC
211581827,128.08234,14.29006,12.69900,GO18046_LC|GO18049_LC|GO18065_LC
211582521,129.96179,14.29965,13.47600,GO18046_LC|GO18049_LC
211621413,125.20946,14.83374,13.39700,GO18046_LC|GO18049_LC
211629265,127.17148,14.94623,13.52000,GO18046_LC|GO18049_LC|GO18068_LC
211719238,123.43452,16.17476,13.81600,GO18046_LC|GO18049_LC
211731909,127.47141,16.35291,13.65800,GO18046_LC|GO18049_LC
211795939,128.38455,17.25987,13.40300,GO18046_LC|GO18049_LC|GO18068_LC
211838210,130.26250,17.85782,13.40000,GO18046_LC|GO18049_LC
211900913,129.49078,18.74015,12.35600,GO18046_LC|GO18049_LC|GO18065_LC
211906333,130.34988,18.82062,12.70300,GO18046_LC|GO18049_LC|GO18065_LC
211910219,123.76749,18.87927,13.92100,GO18046_LC|GO18049_LC
211910872,132.91537,18.88886,11.83500,GO18046_LC|GO18049_LC|GO18065_LC
211916631,134.01384,18.97482,13.82200,GO18046_LC|GO18049_LC
211917385,129.65445,18.98630,13.44200,GO18046_LC|GO18049_LC|GO18068_LC
211918966,125.23747,19.00950,17.63900,GO18016_LC|GO18037_LC|GO18046_LC
211934173,129.69110,19.23800,18.22900,GO18016_LC|GO18029_LC|GO18037_LC|GO18046_LC|GO18016_SC
211938389,126.89017,19.30000,13.35900,GO18046_LC|GO18049_LC|GO18068_LC
211983013,129.41098,19.97965,12.86600,GO18046_LC|GO18049_LC|GO18065_LC|GO18068_LC
212019453,123.51699,20.57712,12.37100,GO18046_LC|GO18049_LC|GO18065_LC|GO18068_LC
212021607,132.62102,20.61400,11.89100,GO18003_LC|GO18046_LC|GO18049_LC|GO18065_LC
212024116,129.35910,20.65497,13.65400,GO18046_LC|GO18049_LC
212070574,126.88294,21.46645,12.10400,GO18046_LC|GO18049_LC|GO18065_LC|GO18901_LC
212084968,130.47919,21.73288,13.99400,GO18046_LC|GO18049_LC
212127059,133.18546,22.55840,10.68400,GO18003_LC|GO18046_LC|GO18049_LC|GO18065_LC
212133388,133.46698,22.68668,13.93700,GO18046_LC|GO18049_LC
212156946,126.00092,23.18552,12.54800,GO18046_LC|GO18049_LC|GO18065_LC|GO18068_LC
212167040,126.68986,23.41793,13.54000,GO18046_LC|GO18049_LC|GO18068_LC
212175089,127.62531,23.61029,11.89200,GO18046_LC|GO18049_LC|GO18065_LC|GO18068_LC
