# Summary of K2 Program GO19049

Title: Small Planets and Their Occurrence in K2 Campaigns 17-19

PI: Howard, Andrew (Caltech)
CoIs: Erik Petigura (Caltech), Jessie Christiansen (Caltech-NExScI), Howard Isaacson (Berkeley), Evan Sinukoff (Hawaii/Caltech), Ian Crossfield (MIT), Josh Schlieder (NASA Goddard), Bjoern Benneke (Montreal), David Ciardi (Caltech-NexScI)



# Targets requested by this program that have been observed (7004)
EPIC,rafloat,decfloat,Kp,InvestigationIDs
200262470,,,,GO19038|GO19049|GO19051|KAPPA_PISCIUM-LC-BRIGHT_STAR_DISC
200262472,,,,GO19012|GO19038|GO19049|GO19051|PSI3_AQUARII-LC-BRIGHT_STAR_DISC
200262475,,,,GO19038|GO19049|GO19051|83_AQUARII-LC-BRIGHT_STAR_DISC
200262476,,,,GO19038|GO19049|GO19051|HR_8840-LC-BRIGHT_STAR_DISC
200262483,,,,GO19049_LC|GO19059_LC|GO19060_LC|LC_CUSTOM_LARGE_GALAXIES
200262494,,,,GO19003|GO19026|GO19036|GO19038|GO19043|GO19049|GO19051|HR_8734-SC-BRIGHT_STAR_DISC
206307309,345.12060,-8.12724,12.92800,GO19049_LC|GO19065_LC
206308609,345.12050,-8.10804,12.55700,GO19049_LC|GO19065_LC
206317135,345.03568,-7.97471,12.38600,GO19049_LC|GO19065_LC
206350322,344.76724,-7.44284,12.96200,GO19049_LC|GO19065_LC
206352935,344.62030,-7.39888,12.82100,GO19049_LC|GO19065_LC
206353615,344.81714,-7.38836,13.69000,GO19049_LC
206354259,344.80390,-7.37800,13.28700,GO19049_LC
206359809,344.54650,-7.28707,10.47300,GO19003_LC|GO19049_LC|GO19065_LC
206363823,344.71090,-7.22096,11.83700,GO19049_LC|GO19065_LC
206365300,344.63425,-7.19651,13.38300,GO19049_LC|GO19068_LC
206366911,344.73056,-7.16880,10.60000,GO19003_LC|GO19049_LC|GO19065_LC
206368361,344.60703,-7.14568,13.61800,GO19049_LC
206371691,344.41230,-7.09011,13.25600,GO19049_LC
206375661,344.38614,-7.02384,13.07800,GO19049_LC|GO19068_LC
206376494,344.44833,-7.01047,13.60100,GO19049_LC
206377291,344.31207,-6.99824,13.12000,GO19049_LC
206380015,344.59378,-6.95393,13.72400,GO19011_LC|GO19049_LC
206380459,344.27505,-6.94659,13.81400,GO19049_LC
206388180,344.46616,-6.82268,11.92300,GO19049_LC|GO19065_LC
206389192,344.43646,-6.80632,12.91700,GO19049_LC|GO19065_LC
206390037,344.30716,-6.79325,12.35200,GO19040_LC|GO19049_LC|GO19065_LC
206393365,344.22144,-6.74040,10.72700,GO19003_LC|GO19049_LC|GO19065_LC
206394178,340.67642,-6.72702,12.89500,GO19049_LC|GO19065_LC|GO19068_LC
206396013,340.61145,-6.69759,13.71500,GO19049_LC
206397818,340.88757,-6.66808,13.28600,GO19049_LC
206398171,340.78952,-6.66189,11.82900,GO19049_LC|GO19054_LC|GO19065_LC
206398197,340.94916,-6.66147,12.83700,GO19049_LC|GO19065_LC
206398398,344.45810,-6.65828,11.85200,GO19003_LC|GO19049_LC|GO19065_LC
206399795,344.15448,-6.63559,12.03200,GO19003_LC|GO19040_LC|GO19049_LC|GO19050_LC|GO19065_LC
206400185,344.09958,-6.62924,10.97500,GO19003_LC|GO19049_LC|GO19065_LC
206400704,344.45282,-6.62087,11.62700,GO19049_LC|GO19065_LC
206401233,344.11145,-6.61191,13.17300,GO19040_LC|GO19049_LC
206401496,340.78450,-6.60758,12.59600,GO19049_LC|GO19065_LC
206402610,344.25867,-6.58994,13.77500,GO19049_LC
206402840,344.43185,-6.58585,8.79100,GO19003_LC|GO19036_LC|GO19049_LC
206404497,344.28880,-6.55958,12.78200,GO19049_LC|GO19065_LC
206404930,340.96304,-6.55248,10.14300,GO19003_LC|GO19049_LC|GO19065_LC
206405498,340.64545,-6.54331,13.21700,GO19049_LC
206406253,344.22192,-6.53081,12.26700,GO19049_LC|GO19065_LC
206406275,340.61105,-6.53042,9.97900,GO19003_LC|GO19049_LC
206406531,344.33700,-6.52634,11.49600,GO19049_LC|GO19065_LC
206406887,341.02512,-6.52018,13.39700,GO19049_LC
206407149,344.24400,-6.51571,13.22400,GO19049_LC|GO19063_LC|GO19068_LC
206407421,344.13345,-6.51123,12.31700,GO19049_LC|GO19065_LC
206407503,341.00955,-6.50988,12.09400,GO19049_LC|GO19065_LC
206408038,344.08090,-6.50089,12.19700,GO19049_LC|GO19065_LC
206408679,343.97446,-6.48952,9.10700,GO19003_LC|GO19049_LC|GO19065_LC
206408960,344.25520,-6.48510,12.85000,GO19049_LC|GO19065_LC|GO19068_LC
206409072,340.89180,-6.48325,13.20500,GO19049_LC
206409538,340.66350,-6.47552,13.65400,GO19049_LC
206412294,341.04410,-6.43002,13.59200,GO19049_LC
206412512,340.43900,-6.42642,13.57100,GO19049_LC
206412599,341.27470,-6.42481,11.47500,GO19003_LC|GO19049_LC|GO19065_LC
206412639,340.83987,-6.42389,12.20400,GO19049_LC|GO19065_LC
206414019,340.83875,-6.40082,8.44800,GO19014_LC|GO19026_LC|GO19038_LC|GO19043_LC|GO19049_LC|GO19901_LC
206414102,340.82083,-6.39961,12.62300,GO19049_LC
206414483,344.32562,-6.39335,11.75700,GO19049_LC|GO19065_LC
206414495,344.02295,-6.39323,13.66600,GO19049_LC
206414589,341.06350,-6.39159,12.86700,GO19049_LC|GO19065_LC
206414849,341.29645,-6.38745,13.00200,GO19049_LC
206414965,344.23517,-6.38536,13.09300,GO19049_LC
206415266,340.79526,-6.38030,10.60100,GO19003_LC|GO19049_LC|GO19065_LC
206415929,344.19644,-6.36934,12.63500,GO19049_LC|GO19065_LC
206416383,344.31155,-6.36147,12.46600,GO19049_LC|GO19063_LC|GO19065_LC|GO19068_LC
206416959,341.26965,-6.35135,10.46400,GO19030_LC|GO19049_LC
206416999,344.10510,-6.35067,11.68000,GO19003_LC|GO19049_LC|GO19065_LC
206417019,340.97302,-6.35031,13.24000,GO19049_LC
206417502,343.82750,-6.34203,12.80400,GO19049_LC|GO19065_LC
206417713,344.11540,-6.33867,11.39400,GO19003_LC|GO19049_LC|GO19065_LC
206417723,340.45938,-6.33855,13.44200,GO19049_LC
206417811,344.19440,-6.33707,12.72300,GO19049_LC|GO19065_LC
206419115,340.81067,-6.31516,13.13800,GO19049_LC
206419235,341.43000,-6.31297,11.22300,GO19049_LC|GO19050_LC|GO19065_LC
206419318,340.77637,-6.31129,13.07500,GO19049_LC
206419413,344.17650,-6.30987,11.40100,GO19049_LC|GO19065_LC
206419422,340.85928,-6.30967,10.85400,GO19003_LC|GO19049_LC|GO19065_LC
206419726,343.81845,-6.30469,13.47200,GO19049_LC
206420143,340.97787,-6.29732,12.07000,GO19049_LC|GO19065_LC
206420189,344.24222,-6.29653,13.06800,GO19049_LC
206420463,343.83743,-6.29173,12.76800,GO19049_LC|GO19065_LC
206420753,340.92240,-6.28713,13.37800,GO19049_LC|GO19068_LC
206420757,341.14450,-6.28706,13.01000,GO19049_LC
206421201,344.12234,-6.27954,13.07400,GO19049_LC
206421391,340.76273,-6.27650,13.70000,GO19049_LC
206421604,340.67053,-6.27326,11.72900,GO19049_LC|GO19065_LC
206422152,340.35327,-6.26353,12.98300,GO19049_LC|GO19065_LC
206422156,341.22690,-6.26351,11.76000,GO19049_LC|GO19065_LC
206422445,341.31003,-6.25869,13.37100,GO19049_LC
206423125,340.73260,-6.24815,11.96700,GO19049_LC|GO19065_LC
206423252,340.32477,-6.24603,9.57200,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
206423477,344.08365,-6.24212,13.26100,GO19049_LC
206423687,340.40800,-6.23884,11.56100,GO19049_LC|GO19065_LC
206423810,340.73697,-6.23677,13.65200,GO19049_LC
206424190,340.96198,-6.23047,12.01700,GO19049_LC|GO19065_LC
206424296,340.91672,-6.22871,11.80000,GO19049_LC|GO19065_LC
206424347,343.92236,-6.22791,13.43300,GO19049_LC|GO19068_LC
206424623,341.11930,-6.22323,12.41900,GO19049_LC|GO19065_LC
206425437,340.38666,-6.20984,12.14300,GO19030_LC|GO19049_LC
206425915,341.25455,-6.20174,13.08000,GO19049_LC
206425980,340.84494,-6.20045,11.53300,GO19003_LC|GO19049_LC|GO19065_LC
206426035,340.49792,-6.19951,13.65200,GO19046_LC|GO19049_LC
206426067,340.37770,-6.19893,12.37600,GO19049_LC|GO19065_LC
206426087,343.93740,-6.19865,13.72600,GO19049_LC
206426184,344.16495,-6.19703,11.04600,GO19003_LC|GO19049_LC|GO19065_LC
206426809,343.97270,-6.18659,12.57700,GO19049_LC|GO19065_LC
206428198,340.64078,-6.16334,13.02500,GO19049_LC
206428340,340.18610,-6.16103,12.22600,GO19049_LC|GO19063_LC|GO19065_LC|GO19068_LC
206428539,340.37130,-6.15744,8.58600,GO19003_LC|GO19038_LC|GO19049_LC|GO19065_LC
206429002,340.49990,-6.14934,12.78300,GO19049_LC|GO19065_LC|GO19068_LC
206429345,344.13876,-6.14353,12.80800,GO19049_LC|GO19065_LC
206429469,340.16100,-6.14144,12.62800,GO19049_LC|GO19065_LC
206430829,344.02148,-6.11920,13.79000,GO19049_LC
206430863,341.32382,-6.11867,11.98900,GO19003_LC|GO19049_LC|GO19065_LC
206431276,343.94060,-6.11194,13.31700,GO19049_LC
206431379,341.13574,-6.11050,11.40800,GO19003_LC|GO19049_LC|GO19065_LC
206431540,341.19843,-6.10803,13.08900,GO19049_LC
206431948,341.49417,-6.10108,12.54700,GO19049_LC|GO19065_LC
206432375,340.21695,-6.09456,11.51800,GO19003_LC|GO19049_LC|GO19065_LC
206432449,341.73540,-6.09336,11.79700,GO19049_LC|GO19063_LC|GO19065_LC|GO19068_LC
206432565,343.66797,-6.09149,12.54200,GO19049_LC|GO19065_LC|GO19068_LC
206432869,340.63925,-6.08660,11.93500,GO19049_LC|GO19065_LC
206433456,340.63184,-6.07744,12.60100,GO19049_LC|GO19065_LC
206433905,340.58118,-6.07018,12.95800,GO19049_LC|GO19065_LC
206434584,340.87033,-6.05883,12.22700,GO19049_LC|GO19065_LC
206434685,344.01500,-6.05686,13.41300,GO19049_LC
206434732,343.94000,-6.05607,13.53400,GO19049_LC
206435286,341.08823,-6.04641,10.82200,GO19003_LC|GO19049_LC|GO19065_LC
206435739,340.56958,-6.03911,12.90700,GO19049_LC|GO19065_LC|GO19068_LC
206436124,340.71362,-6.03233,13.27100,GO19049_LC
206436381,344.01690,-6.02823,13.40900,GO19049_LC|GO19063_LC|GO19068_LC
206436976,341.72244,-6.01820,13.73700,GO19049_LC
206437183,343.67615,-6.01482,11.82400,GO19049_LC|GO19065_LC
206437320,340.09772,-6.01299,12.14100,GO19026_LC|GO19049_LC|GO19065_LC|GO19068_LC
206437538,341.63388,-6.00949,13.54400,GO19049_LC
206437688,341.70690,-6.00686,11.22700,GO19003_LC|GO19049_LC|GO19065_LC|GO19068_LC
206437807,340.28430,-6.00482,11.16200,GO19049_LC
206437883,343.97708,-6.00365,12.21600,GO19049_LC|GO19065_LC
206437986,340.61932,-6.00201,13.68700,GO19049_LC
206438700,341.14620,-5.99065,10.98300,GO19049_LC|GO19065_LC
206439068,340.41150,-5.98495,13.56800,GO19049_LC
206439144,343.92114,-5.98380,13.57100,GO19049_LC
206439304,341.64285,-5.98146,12.15900,GO19049_LC|GO19065_LC
206440193,344.05786,-5.96722,13.18800,GO19049_LC|GO19068_LC
206440207,340.19366,-5.96704,12.99700,GO19049_LC|GO19065_LC
206440238,341.62750,-5.96646,11.48800,GO19049_LC
206440449,340.26990,-5.96303,13.36000,GO19049_LC|GO19068_LC
206440665,340.72600,-5.95998,13.48500,GO19049_LC
206440729,340.96463,-5.95925,13.17800,GO19049_LC
206440777,340.08630,-5.95847,11.66100,GO19030_LC|GO19049_LC
