EPIC,RA,Dec,Kp,InvestigationIDs
200263331, , , , GO20001|GO20003|GO20016|GO20022|GO20024|HR_1471-LC-BRIGHT_STAR_DISC
210678120, 67.226712, 18.055922, 17.009, GO20001_LC
210728158, 66.935264, 18.777459, 15.459, GO20001_LC
210875467, 64.742821, 21.010498, 15.577, GO20001_LC|GO20908_LC
210944763, 64.458985, 22.101358, 16.821, GO20001_LC
210969614, 61.292223, 22.496697, 11.206, GO20001_LC|GO20003_LC|GO20908_LC
210977952, 65.585346, 22.631266, 16.93, GO20001_LC
210998355, 60.804972, 22.948744, 18.274, GO20001_LC
211003166, 62.315839, 23.024921, 16.894, GO20001_LC
211049714, 61.325843, 23.768721, 15.33, GO20001_LC|GO20014_LC
211058087, 60.335364, 23.902334, 16.315, GO20001_LC
211193772, 62.743521, 26.306, 13.603, GO20001_LC|GO20003_LC
211203015, 62.962947, 26.521628, 15.803, GO20001_LC
211218606, 61.492119, 26.955833, 17.687, GO20001_LC
246937659, 71.317748, 17.119051, 17.864, GO20001_LC
246949879, 73.395538, 17.234991, 15.984, GO20001_LC
246968807, 70.850302, 17.420363, 14.094, GO20001_LC|GO20908_LC
246977387, 71.622251, 17.504955, 16.812, GO20001_LC
247001160, 72.981863, 17.734518, 15.876, GO20001_LC
247020790, 73.820733, 17.918318, 14.368, GO20001_LC|GO20908_LC
247038283, 72.875158, 18.082107, 16.353, GO20001_LC
247057750, 73.839557, 18.268576, 17.949, GO20001_LC
247109054, 74.506126, 18.756239, 18.692, GO20001_LC
247114255, 72.43839, 18.805804, 13.718, GO20001_LC
247180543, 68.698008, 19.438059, 16.728, GO20001_LC
247221971, 70.476714, 19.832447, 16.756, GO20001_LC
247223371, 68.978975, 19.845901, 15.976, GO20001_LC
247270368, 68.460018, 20.28392, 12.384, GO20001_LC|GO20027_LC|GO20908_LC
247315097, 69.565958, 20.684723, 5.966, GO20001_LC|GO20003_LC|GO20016_LC|GO20022_LC|GO20024_LC|GO20903_LC
247330509, 71.199076, 20.819344, 14.843, GO20001_LC
247342243, 72.203438, 20.919051, 14.938, GO20001_LC|GO20908_LC
247356949, 75.72515, 21.043769, 15.547, GO20001_LC
247403513, 75.545492, 21.425394, 16.36, GO20001_LC
247426927, 72.751088, 21.616047, 15.995, GO20001_LC
247429654, 73.421526, 21.637982, 13.324, GO20001_LC|GO20908_LC
247447067, 73.129635, 21.77929, 17.833, GO20001_LC
247456517, 73.966292, 21.853831, 14.938, GO20001_LC|GO20908_LC
247499587, 67.502875, 22.191624, 12.719, GO20001_LC|GO20908_LC
247500341, 69.942825, 22.197298, 12.399, GO20001_LC|GO20908_LC
247512810, 74.03797, 22.294032, 14.49, GO20001_LC|GO20016_LC
247518496, 67.691308, 22.337928, 14.645, GO20001_LC
247528555, 69.154716, 22.413992, 17.42, GO20001_LC
247605441, 72.586028, 23.006171, 10.843, GO20001_LC|GO20027_LC
247624393, 70.912757, 23.150943, 15.47, GO20001_LC
247699750, 74.029735, 23.710669, 17.178, GO20001_LC
247768387, 70.655222, 24.19125, 18.773, GO20001_LC
247770603, 71.271507, 24.206066, 17.531, GO20001_LC
247775469, 71.213919, 24.239397, 17.829, GO20001_LC
247805533, 74.130222, 24.446751, 12.356, GO20001_LC|GO20003_LC|GO20908_LC|GO20003_SC
247910463, 75.336551, 25.165907, 14.33, GO20001_LC|GO20908_LC
248139290, 73.686306, 26.924256, 12.535, GO20001_LC|GO20003_LC|GO20908_LC
248241854, 73.991527, 27.89124, 10.501, GO20001_LC|GO20003_LC|GO20908_LC
248278668, 72.357924, 28.293316, 16.559, GO20001_LC
248288588, 69.886027, 28.409057, 14.306, GO20001_LC|GO20003_LC|GO20908_LC
248309501, 69.62917, 28.668896, 17.679, GO20001_LC
251835155, 63.223521, 26.884391, 15.923, GO20001_LC
251844738, 64.157325, 27.257288, 15.678, GO20001_LC
251853941, 61.905356, 27.546512, 16.491, GO20001_LC
251864773, 63.201964, 27.840925, 17.27, GO20001_LC
251925035, 68.387085, 29.260338, 17.265, GO20001_LC
