EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs
202669981, 251.224621, -28.802564, 11.326,GO2015_LC|GO2081_LC
202706032, 250.989199, -28.666618, 8.999,GO2015_LC|GO2081_LC|GO2104_LC
203100715, 247.021985, -27.257098, 11.705,GO2015_LC|GO2054_LC|GO2104_LC
203690508, 241.083708, -25.274214, 9.346,GO2015_LC|GO2081_LC|GO2104_LC
203695909, 243.264065, -25.25567, 12.109,GO2015_LC|GO2081_LC|GO2104_LC
203735686, 253.860611, -25.117575, 11.221,GO2015_LC|GO2054_LC|GO2104_LC
203856431, 253.877257, -24.670819, 11.733,GO2015_LC|GO2104_LC
203904299, 253.542306, -24.477326, 9.259,GO2015_LC|GO2081_LC|GO2104_LC
203929178, 252.422716, -24.373808, 11.16,GO2015_LC|GO2054_LC|GO2081_LC|GO2086_LC|GO2104_LC
204270392, 240.80734, -22.995319, 11.147,GO2015_LC|GO2081_LC|GO2104_LC
204537293, 244.038761, -21.93344, 12.341,GO2015_LC|GO2054_LC|GO2081_LC|GO2104_LC
205033974, 251.676433, -19.725382, 11.932,GO2015_LC|GO2104_LC
205388726, 243.780139, -17.882891, 11.533,GO2015_LC|GO2054_LC|GO2080_LC|GO2104_LC
