# Summary of K2 Program GO20901

Title: Taurus members not previously observed by K2

PI: Hedges, Christina (Kepler/K2)
CoIs: GO Office



# Targets requested by this program that have been observed (13)
EPIC,RA,Dec,Kp,InvestigationIDs
210632257, 67.405242, 17.42117, 19.412, GO20901_LC
210901531, 65.947604, 21.414948, 17.741, GO20901_LC
210940310, 67.319225, 22.030075, 17.648, GO20901_LC
210967501, 65.349878, 22.462255, 19.414, GO20901_LC
247344486, 71.194976, 20.937572, 17.084, GO20901_LC
247561704, 73.685058, 22.669039, 17.597, GO20901_LC
247669945, 73.477195, 23.492205, 17.883, GO20901_LC
248288310, 72.201096, 28.405931, 18.19, GO20901_LC
251841574, 63.99581, 27.143629, 18.695, GO20901_LC
251868391, 63.623195, 27.938119, 14.841, GO20901_LC|GO20908_LC
251872283, 62.726766, 28.040447, 17.92, GO20901_LC
251897029, 65.380359, 28.701533, 15.987, GO20901_LC
251939601, 69.538113, 29.508434, 17.91, GO20901_LC
