# Summary of K2 Program GO20903

Title: Highly-cited SIMBAD objects in K2 Campaign 20

PI: Hedges, Christina (Kepler/K2)
CoIs: GO Office



# Targets requested by this program that have been observed (86)
EPIC,RA,Dec,Kp,InvestigationIDs
210510612, 66.899541, 15.58919, 8.271, GO20011_LC|GO20023_LC|GO20027_LC|GO20030_LC|GO20032_LC|GO20903_LC
210592314, 66.602536, 16.853322, 8.454, GO20009_LC|GO20011_LC|GO20027_LC|GO20030_LC|GO20903_LC
210601348, 66.251025, 16.98489, 9.942, GO20011_LC|GO20027_LC|GO20030_LC|GO20903_LC|GO20904_LC|GO20908_LC
210611002, 66.518018, 17.120715, 14.34, GO20030_LC|GO20033_LC|GO20903_LC|GO20908_LC|GO20033_SC
210619609, 66.819329, 17.241848, 12.189, GO20011_LC|GO20027_LC|GO20030_LC|GO20033_LC|GO20034_LC|GO20903_LC|GO20908_LC
210622671, 67.201238, 17.285463, 8.343, GO20011_LC|GO20027_LC|GO20030_LC|GO20903_LC
210637750, 67.599842, 17.499738, 13.396, GO20011_LC|GO20030_LC|GO20033_LC|GO20903_LC|GO20907_LC|GO20908_LC|GO20033_SC
210648860, 67.841366, 17.65285, 11.806, GO20027_LC|GO20903_LC
210932686, 64.139491, 21.907471, 9.121, GO20011_LC|GO20027_LC|GO20030_LC|GO20903_LC
211001399, 66.822697, 22.996334, 5.672, GO20002_LC|GO20016_LC|GO20022_LC|GO20024_LC|GO20903_LC
211191512, 63.634262, 26.25588, 8.201, GO20011_LC|GO20027_LC|GO20903_LC
246850095, 69.881828, 16.26243, 12.625, GO20011_LC|GO20027_LC|GO20033_LC|GO20903_LC
246946498, 72.5997, 17.202663, 7.008, GO20011_LC|GO20016_LC|GO20023_LC|GO20027_LC|GO20032_LC|GO20903_LC
246979533, 68.126207, 17.525042, 12.684, GO20008_LC|GO20014_LC|GO20021_LC|GO20026_LC|GO20903_LC|GO20907_LC|GO20908_LC
246979839, 68.126334, 17.527881, 11.368, GO20014_LC|GO20021_LC|GO20026_LC|GO20903_LC|GO20907_LC|GO20908_LC
246986537, 68.221826, 17.592679, 12.826, GO20002_LC|GO20021_LC|GO20026_LC|GO20903_LC
246997782, 72.556336, 17.701724, 12.686, GO20005_LC|GO20007_LC|GO20010_LC|GO20020_LC|GO20903_LC|GO20005_SC|GO20010_SC
247002887, 68.098992, 17.750742, 13.941, GO20004_LC|GO20007_LC|GO20010_LC|GO20011_LC|GO20030_LC|GO20033_LC|GO20034_LC|GO20903_LC|GO20908_LC|GO20010_SC
247014982, 68.414003, 17.864526, 13.302, GO20002_LC|GO20017_LC|GO20021_LC|GO20026_LC|GO20029_LC|GO20903_LC|GO20905_LC|GO20017_SC
247104169, 72.175583, 18.709434, 6.829, GO20011_LC|GO20016_LC|GO20023_LC|GO20027_LC|GO20903_LC
247104409, 70.755959, 18.711648, 9.516, GO20011_LC|GO20013_LC|GO20903_LC|GO20905_LC
