# Summary of K2 Program GO4052

Title: K2: Expanding the Exoplanet Legacy of Kepler

PI: Buzasi, Derek L (Florida Gulf Coast University)
CoIs: Preston, Heather

Although the Kepler mission has revolutionized exoplanet science, the success of transit surveys cannot fully replace ground-based spectroscopic radial velocity observations. In particular, radial velocity surveys such as those executed by HARPS and HIRES yield the planetary mass, assuming the host star is well-characterized. However, radial velocity surveys are inefficient, as they require relatively large amounts of large telescope time, and instruments observe only one star at a time. Proper target selection is therefore critical to maximize the probability of success. Typically search programs focus on relatively bright (V < 12) mid-G to early M dwarfs, excluding known active stars and spectroscopic binaries. This proposal takes advantage of the capabilities of K2 to greatly improve target selection and the resulting exoplanet detection rate, through the use of a technique which allows us to preferentially select systems with large values of sini based on photometry alone.  We propose to observe all lower main sequence stars (Teff = 2700-6500 K ) with V < 12 in both K2 fields 4 and 5. This amounts to approximately 4000 targets in each field. Our expected scientific outcomes are: 1. Identification of the best targets in these K2 fields for future planet searches.

2. Improved data on stellar rotation and activity as functions of metallicity and other fundamental parameters for our target stars. The use of different fields than the original Kepler FOV will enable sampling new portions of the stellar population of the Galaxy.

3. Detection of short-period (P < 20 d ) planets around our targets.

# Targets requested by this program that have been observed (143)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
210318238, 58.279767, 11.28812, 11.744, GO4020_LC|GO4060_LC|GO4104_LC|GO4052_LC
210343450, 60.172027, 12.035051, 11.453, GO4033_LC|GO4007_LC|GO4052_LC
210358583, 57.946705, 12.454796, 10.782, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC
210370599, 59.408072, 12.764193, 10.53, GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC
210370729, 58.24309, 12.76785, 11.483, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC
210375985, 60.737843, 12.895185, 10.579, GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC|GO4082_LC
210380478, 63.098579, 13.005731, 11.807, GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC
210390632, 62.61221, 13.246251, 10.519, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC|GO4082_LC
210398294, 59.378308, 13.427296, 11.059, GO4020_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC
210408934, 62.547845, 13.670046, 10.97, GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC
210418120, 63.396044, 13.875152, 10.674, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC
210418216, 55.886462, 13.877221, 10.342, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC|GO4082_LC
210426551, 54.226192, 14.054624, 10.318, GO4057_LC|GO4008_LC|GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC
210433687, 57.09076, 14.202656, 11.07, GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC|GO4082_LC
210435620, 58.863225, 14.24078, 11.627, GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC
210444963, 65.266452, 14.424665, 11.886, GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC
