# Summary of K2 Program GO4097

Title: Characterizing the Cooler KOIs: Studying the Planet Population around Mid-M Dwarfs

PI: Johnson, John Asher (Harvard-Smithsonian Center for Astrophysics)
CoIs: West, Andrew A; Montet, Benjamin T; Ghezzi, Luan; Vanderburg, Andrew; Muirhead, Philip Steven

The Kepler science team has identified M dwarfs as a vital set of targets for the K2 mission. While Kepler and K2 have combined to observe nearly 10,000 M dwarfs to date, nearly 85% of these have been M0 and M1 dwarfs. Here, we propose observations of 3,548 mid-M dwarfs, enabling us to extend our knowledge of planet occurrence rates to the most abundant stars in the universe, a class almost entirely unstudied during the primary Kepler mission.

# Targets requested by this program that have been observed (2023)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
210308210, 58.725113, 10.961078, 17.058, GO4097_LC
210309341, 58.717699, 10.999067, 16.652, GO4097_LC|GO4006_LC
210310995, 58.69069, 11.05283, 16.54, GO4097_LC
210311687, 58.398911, 11.076364, 16.018, GO4097_LC|GO4006_LC
210312956, 59.105491, 11.118628, 15.644, GO4097_LC|GO4011_LC
210316598, 58.163462, 11.235903, 16.696, GO4097_LC
210317331, 58.775221, 11.259728, 15.103, GO4020_LC|GO4097_LC|GO4011_LC|GO4006_LC|GO4054_LC
210317378, 58.143084, 11.26078, 12.719, GO4002_SC|GO4020_LC|GO4032_LC|GO4060_LC|GO4097_LC|GO4029_LC|GO4002_LC|GO4081_LC|GO4109_LC
210318134, 59.051986, 11.2852, 14.219, GO4020_LC|GO4097_LC|GO4011_LC|GO4007_LC|GO4006_LC
210319059, 58.878453, 11.313793, 13.464, GO4020_LC|GO4060_LC|GO4097_LC|GO4011_LC|GO4006_LC
210322242, 59.028497, 11.411218, 16.703, GO4097_LC
210322477, 58.183049, 11.419099, 14.633, GO4020_LC|GO4097_LC|GO4006_LC
210322728, 59.824743, 11.428007, 14.909, GO4097_LC|GO4011_LC
210323900, 58.774468, 11.46336, 15.18, GO4020_LC|GO4060_LC|GO4097_LC|GO4011_LC|GO4006_LC
210326016, 59.328542, 11.530628, 16.512, GO4097_LC|GO4011_LC|GO4006_LC
210326779, 59.133937, 11.554544, 16.26, GO4097_LC|GO4011_LC|GO4006_LC
210327051, 59.95496, 11.562918, 15.88, GO4097_LC|GO4006_LC
210327065, 58.786678, 11.563278, 16.453, GO4097_LC
210327910, 58.437314, 11.588345, 16.54, GO4097_LC|GO4006_LC
210328701, 60.003985, 11.611299, 15.3, GO4097_LC|GO4011_LC
210329711, 58.36214, 11.643465, 15.091, GO4097_LC|GO4006_LC
210330338, 58.317809, 11.663206, 16.906, GO4097_LC|GO4006_LC
210331473, 58.042726, 11.69764, 14.94, GO4020_LC|GO4060_LC|GO4097_LC|GO4011_LC|GO4006_LC
210331686, 59.716642, 11.704087, 15.612, GO4097_LC
210333577, 59.304947, 11.760822, 16.026, GO4097_LC|GO4006_LC
210333653, 59.464688, 11.76279, 14.749, GO4020_LC|GO4097_LC|GO4011_LC
210335583, 57.825927, 11.818491, 15.39, GO4097_LC|GO4011_LC|GO4006_LC
