# Summary of K2 Program GO5073

Title: A Search for Transiting Objects Orbiting White Dwarf Stars

PI: Redfield, Seth (Wesleyan University)
CoIs: Gaensicke, Boris Teddy; Farihi, Jay

Given their small size, white dwarf stars present a very intriguing sample to monitor for transiting objects. The transit of an Earth-sized planet could cause a full eclipse of the host star, and therefore would be easy to detect, however, it would be very short, on the order of seconds to minutes, and would therefore require short cadence observations.  While no white dwarf is currently known to have a transiting object, there are several indications that planetary material is present in orbit around white dwarfs, including detected debris disks and observations of accreted material in the atmosphere of the white dwarf.  The fact that we do not have a detection of a transiting object around a white dwarf may not be due to the intrinsic physical properties of the white dwarf star and its formation, but the small numbers of searched systems.  While small in number (we anticipate less than 50 targets per campaign), the accumulation of sources over the entire K2 mission is significant to detect or place strong limits on planets around white dwarfs.  These observations would be sensitive to small planetary objects (including asteroids) in a wide range of orbits, including throughout the habitable zone of the white dwarf in which orbital periods range from 4-32 hours.  A detection of an object transiting a white dwarf would be significant finding for many areas of astrophysics (e.g., stellar evolution, planetary migration, planet formation, atmospheric characterization), and in line with the objectives of the original Kepler mission, to identify planet candidates.  Indeed, given the small size of the host star, atmospheric characterization of terrestrial planets is much simpler if transiting a white dwarf than a solar-like star.  Therefore, in the coming decades our strongest constraints on biomarkers in terrestrial planets may very well come from a planet in orbit around a white dwarf.

# Targets requested by this program that have been observed (75)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
211383343, 127.847944, 11.377755, 18.951, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211387162, 129.670274, 11.437829, 18.768, GO5073_SC|GO5001_LC|GO5073_LC
211401138, 132.280276, 11.657119, 17.084, GO5073_SC|GO5001_LC|GO5017_LC|GO5041_LC|GO5043_LC|GO5073_LC
211493869, 130.546078, 13.051918, 18.525, GO5073_SC|GO5001_LC|GO5017_LC|GO5041_LC|GO5073_LC
211501426, 128.347673, 13.159497, 18.474, GO5073_SC|GO5073_LC
211508852, 127.954819, 13.264437, 19.197, GO5073_SC|GO5001_LC|GO5073_LC
211514591, 130.269617, 13.344401, 17.939, GO5073_SC|GO5001_LC|GO5073_LC
211515262, 126.711338, 13.354216, 18.99, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211517043, 127.886453, 13.378867, 16.005, GO5073_SC|GO5001_LC|GO5017_LC|GO5041_LC|GO5073_LC
211519519, 130.081385, 13.413783, 18.862, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211525077, 129.911118, 13.493058, 19.188, GO5073_SC|GO5001_LC|GO5073_LC
211547876, 126.268908, 13.813444, 19.07, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211553385, 135.549019, 13.888149, 18.65, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211594262, 129.974007, 14.462749, 18.075, GO5073_SC|GO5001_LC|GO5043_LC|GO5057_LC|GO5073_LC
211596649, 128.016598, 14.495103, 19.049, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211597731, 125.098036, 14.509428, 18.198, GO5073_SC|GO5001_LC|GO5017_LC|GO5041_LC|GO5073_LC
211617909, 135.306316, 14.784669, 16.185, GO5073_SC|GO5049_LC|GO5057_LC|GO5073_LC|GO5077_LC
211628322, 126.617097, 14.93284, 18.901, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211630249, 135.208368, 14.960367, 18.727, GO5073_SC|GO5001_LC|GO5073_LC
211685279, 132.750961, 15.717118, 18.87, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211692110, 127.958037, 15.809851, 18.826, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211709744, 129.17952, 16.044815, 19.001, GO5073_SC|GO5001_LC|GO5073_LC
211713741, 129.042045, 16.099658, 17.885, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211718120, 127.553187, 16.159409, 19.08, GO5073_SC|GO5001_LC|GO5041_LC|GO5043_LC|GO5073_LC
