# Summary of K2 Program GO6031

Title: A Kepler Galaxy Survey - Campaign 6 and 7:
Expanding the Temporal Baseline for
Extragalactic Systems

PI: Fanelli, Michael N. (Bay Area Environmental Research Institute, Inc.)
CoIs: Marcum, Pamela M

We propose to monitor ~200 / 100 bright galaxies within the K2-C6 & K2-C7 fields of view  extending the Kepler Galaxy Legacy Survey, which originated during the prime mission and also collected data during the early campaigns of the K2 mission. This survey is sensitive to both quasi-continuous variability, originating in low-level flickering produced by embedded active galactic nuclei, and random episodic events, particularly supernovae. Our primary objectives are: (a) to quantify the presence of optical photometric variability within galactic systems using Keplers unique blend of high precision and continuous monitoring, (b) define the existence and amplitude of AGN signals in galaxy cores, (c) provide a direct measure of supernovae rates across a range of galaxy types, and, (d) quantify the initial brightening of supernova as the explosion rises to peak luminosity. The proposed observations include a larger range of morphological types than in the prime mission and also benefits from a better informed ancillary dataset for these galaxies, especially redshifts. In this cycle we will focus on optically blue galaxies with modest star formation rates, to maximize the potential signal from Type II supernova. Only systems with known redshifts are included, to provide luminosity information for detected supernova and to scale variability according to stellar mass. Continued monitoring of galactic systems with K2, while limited in long-term temporal coverage compared to the prime mission, will continue to advance our overall understanding of a variety of physical phenomenon, expanding the fundamental temporal baseline for extragalactic investigations with Kepler.

# Targets requested by this program that have been observed (195)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212324759, 203.4678192, -16.8122959, 14.402, GO6031_LC
212336193, 206.579422, -16.4972687, 15.642, GO6031_LC
212337336, 206.6705322, -16.466404, 15.509, GO6031_LC
212341501, 202.0003815, -16.3561287, 13.945, GO6031_LC|GO6077_LC
212342775, 204.8130035, -16.323122, 15.413, GO6031_LC
212344638, 204.0203705, -16.2736168, 15.473, GO6031_LC
212345680, 203.2575226, -16.2448997, 14.309, GO6031_LC|GO6077_LC
212350400, 203.3078918, -16.121357, 13.905, GO6030_LC|GO6031_LC
212351073, 204.0472412, -16.1038322, 15.265, GO6031_LC|GO6077_LC
212351508, 202.1066742, -16.0923119, 13.997, GO6031_LC
212360283, 203.7704315, -15.8677158, 14.446, GO6031_LC
212372741, 201.2744751, -15.559638, 14.746, GO6031_LC
212374288, 202.0306549, -15.5215044, 16.107, GO6031_LC
212388672, 203.6035156, -15.1759357, 14.946, GO6031_LC
212389581, 209.0921021, -15.1542606, 16.101, GO6031_LC
212390369, 203.8557739, -15.1358719, 15.328, GO6031_LC|GO6077_LC
212393121, 204.2950439, -15.0710783, 15.573, GO6031_LC|GO6077_LC
212400583, 204.0227509, -14.9010057, 13.831, GO6031_LC
212411065, 202.4079895, -14.6632061, 15.641, GO6031_LC|GO6077_LC
212411687, 209.1789093, -14.6488199, 15.575, GO6031_LC
212411885, 205.3036804, -14.6445322, 14.277, GO6015_LC|GO6031_LC
212422952, 203.4096832, -14.3978786, 15.283, GO6031_LC
212423268, 204.3302307, -14.3905048, 15.704, GO6031_LC
212425203, 203.9844513, -14.34655, 15.901, GO6031_LC
212426147, 203.4045563, -14.3247204, 15.672, GO6031_LC
212430695, 200.2708588, -14.223567, 14.71, GO6031_LC
212433116, 209.26091, -14.1696539, 16.208, GO6031_LC|GO6077_LC
212436668, 205.1477509, -14.092701, 15.994, GO6031_LC
212444397, 204.5734863, -13.9229107, 16.346, GO6031_LC
212444673, 204.6664124, -13.9172153, 15.648, GO6031_LC
212448873, 203.492569, -13.8259478, 15.44, GO6031_LC
212461116, 204.6346283, -13.5642891, 15.898, GO6031_LC
