# Summary of K2 Program GO6043

Title: A search for exoplanets and close stellar/substellar companions in the local
halo population for K2 campaigns 6-7

PI: Lepine, Sebastien (Georgia State University)
CoIs: Jao, Wei-Chun

We propose to expand the scope of the original Kepler mission by conducting a systematic search for exoplanets orbiting the very old stars of the Galactic halo, a population of stars that was not targeted to any significant degree in the original Kepler mission. Following the recent discovery of exoplanets orbiting Kapteyn's star, a known local halo M subdwarf, and the determination of a very old age (~10Gyr) for the exoplanet bearing star Kepler-10, it is now suspected that stars of the Galactic halo population also harbor exoplanets in significant numbers. However, very little is know about the prevalence and properties of exoplanets orbiting old metal-poor stars because this population has been largely overlooked by most exoplanet surveys. However, our astrometric and photometric analysis of the fields to be observed in campaigns 6-7 of the Kepler K2 mission identifies 2,709 high-velocity subdwarfs that are unambiguous members of the local Galactic halo. We propose to monitor these halo stars with Kepler, to identify and characterize the first generation of exoplanets in our Galaxy. Light curves of the targeted halo stars will be searched for eclipses or transits, following the methodologies developed in the first Kepler mission. Candidates will be targeted for ground-based, follow-up observations to confirm the existence of the transit, and determine if it is from a planet of from a stellar companion. The detection of eclipsing stellar companions would also be of high interest for stellar astrophysics, as it would provide natural calibrators of the mass-radius relationship; while this relationship is critical to constrain models of stellar structure, such calibrators currently do not exist for low-mass, metal-poor stars. Relevance: this program will directly expand on the original goal of Kepler to find exoplanets orbiting main sequence stars in the Galactic disk. The data collected on local Galactic halo stars will be complement existing result from the Kepler mission by providing statistics and/or properties of exoplanets orbiting old, metal-poor stars.

# Targets requested by this program that have been observed (1916)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212269466, 207.4238129, -18.5168133, 18.667, GO6043_LC
212270038, 208.1133728, -18.4960785, 15.946, GO6043_LC|GO6071_LC
212270417, 208.1807098, -18.482235, 17.596, GO6043_LC
212272606, 207.7503967, -18.4040298, 18.301, GO6043_LC
212273346, 207.4377747, -18.3792553, 18.55, GO6043_LC
212273620, 206.6259003, -18.3693428, 15.615, GO6043_LC
212274330, 207.2835236, -18.3437119, 18.166, GO6043_LC
212274894, 205.8134918, -18.3241901, 18.14, GO6043_LC
212275027, 205.7496033, -18.3192482, 16.716, GO6043_LC
212275618, 206.4291229, -18.2982235, 17.343, GO6043_LC
212275862, 207.2523193, -18.2906094, 18.441, GO6043_LC
212277010, 207.8041077, -18.2516365, 17.1, GO6043_LC
212277703, 207.6221008, -18.2278328, 17.286, GO6043_LC
212278132, 205.1912689, -18.2130051, 17.949, GO6043_LC
212278470, 205.6727142, -18.2021427, 17.15, GO6043_LC
212279044, 205.689209, -18.1836567, 17.01, GO6043_LC
212280589, 204.0076599, -18.1316338, 17.967, GO6043_LC
212281495, 206.1227417, -18.0996437, 16.691, GO6043_LC
212281507, 204.1275635, -18.0993023, 17.23, GO6043_LC
212281517, 204.6374664, -18.0990524, 16.624, GO6043_LC
212281862, 206.8077698, -18.0876179, 17.063, GO6043_LC
212281890, 206.4797516, -18.0867825, 17.244, GO6043_LC|GO6071_LC
212282005, 206.9015198, -18.0828266, 18.137, GO6043_LC
212282056, 206.717514, -18.0808277, 18.316, GO6043_LC
212282060, 206.4882202, -18.0807171, 16.802, GO6043_LC|GO6071_LC
