# Summary of K2 Program GO6084

Title: Giants Orbiting Giants: A Search for Transiting Planets around Oscillating Red-Giant Branch Stars with K2

PI: Huber, Daniel (SETI Institute)
CoIs: Pinsonneault, Marc Howard; Johnson, John Asher; Gaidos, Eric; Lopez, Eric David; Mann, Andrew Withycombe; Chaplin, William J; Fortney, Jonathan J

Science Goals and Objectives: While exoplanet transit surveys are increasingly focused on cool dwarfs, transiting planets orbiting red-giant branch (RGB) stars are largely unexplored. Due to their diversity in fundamental properties (masses, luminosities, chemical compositions), RGB stars are ideal targets to tackle two key unsolved questions in exoplanet science: the occurrence rate of gas-giant planets as a function of host star mass, and the role of stellar incident flux on the radius inflation of gas-giant planets. We propose a survey of ~2000 low-luminosity RGB stars (with radii between ~3.5-8 solar radii) using long-cadence data to detect transiting gas-giant planets with K2 and address the above science questions by combining exoplanet transits and asteroseismology.

Methodology: Targets will be selected using colors and reduced proper motions. Planet candidates will be detected using a Box-Fitting Least Squares (BLS) algorithm coupled with a correlated noise model to account for stellar granulation. Since RGB stars oscillate with periods accessible with long-cadence data, we will use asteroseismology to precisely characterize both the host stars and the detected planet candidates. Follow-up ground-based radial velocity observations will be used to confirm the planet candidates. 

Relevance to Solicitation: The proposal addresses two main K2 science goals: exoplanet detection and stellar astrophysics. Due to the low number of K2 short-cadence slots, our survey is the only K2 program allowing a systematic combination of asteroseismology and transits to characterize exoplanets. Kepler was not optimized towards observing bright low-luminosity RGB stars, and hence new K2 observations are required to address the key science questions of this project.

# Targets requested by this program that have been observed (728)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212270340, 207.0595856, -18.4848442, 11.014, GO6028_LC|GO6030_LC|GO6069_LC|GO6084_LC|GO6086_LC|GO6087_LC
212270583, 207.5530243, -18.4762173, 12.565, GO6032_LC|GO6084_LC
212270773, 207.3906708, -18.4694481, 11.217, GO6032_LC|GO6084_LC
212271980, 206.8977661, -18.4263058, 11.264, GO6030_LC|GO6069_LC|GO6084_LC|GO6086_LC|GO6087_LC
212273312, 206.5441284, -18.3801422, 11.399, GO6032_LC|GO6084_LC
212274641, 206.8741302, -18.3333931, 12.926, GO6032_LC|GO6084_LC
212274652, 207.5270386, -18.3329964, 12.605, GO6032_LC|GO6084_LC
212279660, 207.2676239, -18.1626148, 12.433, GO6032_LC|GO6084_LC
212281742, 204.5605774, -18.091423, 12.748, GO6032_LC|GO6084_LC
212282332, 207.6013794, -18.0724907, 12.677, GO6032_LC|GO6084_LC
212285353, 207.8322601, -17.9756985, 13.363, GO6032_LC|GO6084_LC
212285770, 203.3765564, -17.963129, 13.347, GO6032_LC|GO6084_LC
212286256, 207.4237061, -17.9497089, 13.771, GO6032_LC|GO6084_LC
212286784, 207.5558167, -17.9333954, 10.375, GO6032_LC|GO6084_LC
212288070, 207.3641205, -17.8942261, 11.675, GO6030_LC|GO6069_LC|GO6084_LC|GO6087_LC
212290958, 208.105011, -17.8080902, 11.835, GO6032_LC|GO6084_LC
212291970, 207.0588379, -17.7770214, 12.453, GO6030_LC|GO6069_LC|GO6084_LC|GO6086_LC
212292208, 206.9105988, -17.7687702, 12.928, GO6032_LC|GO6084_LC
212293243, 203.2378845, -17.7372608, 9.819, GO6030_LC|GO6069_LC|GO6084_LC|GO6086_LC|GO6087_LC
212294392, 206.3602142, -17.7011013, 12.121, GO6032_LC|GO6084_LC
212294504, 200.8027191, -17.6972694, 12.812, GO6032_LC|GO6084_LC
212294653, 203.3941803, -17.6926823, 13.435, GO6084_LC
212294721, 204.559906, -17.6905632, 11.216, GO6030_LC|GO6069_LC|GO6084_LC
212295064, 201.8641052, -17.6800709, 13.424, GO6016_LC|GO6032_LC|GO6084_LC
212295397, 204.6520386, -17.6705875, 9.916, GO6032_LC|GO6084_LC
212295555, 201.285202, -17.6659279, 11.403, GO6030_LC|GO6069_LC|GO6084_LC|GO6087_LC
212295651, 200.7422028, -17.6631222, 10.703, GO6032_LC|GO6084_LC
212295789, 207.4458771, -17.6587353, 12.058, GO6032_LC|GO6084_LC
212295910, 204.3025208, -17.6550179, 10.775, GO6032_LC|GO6084_LC
212296364, 201.6527252, -17.6408463, 10.474, GO6030_LC|GO6069_LC|GO6084_LC|GO6086_LC
212296445, 201.5308228, -17.6385822, 13.24, GO6032_LC|GO6084_LC
212297049, 204.4476929, -17.6206131, 11.436, GO6029_LC|GO6032_LC|GO6084_LC
212297276, 205.0243225, -17.6135788, 10.881, GO6029_LC|GO6030_LC|GO6084_LC|GO6086_LC
212297620, 204.5237122, -17.6035252, 12.968, GO6032_LC|GO6084_LC
212298399, 201.3979034, -17.5799351, 10.341, GO6030_LC|GO6069_LC|GO6084_LC|GO6087_LC
212298839, 202.9355774, -17.5661545, 10.79, GO6030_LC|GO6069_LC|GO6084_LC|GO6087_LC
212299314, 203.1213074, -17.5516815, 11.818, GO6030_LC|GO6069_LC|GO6084_LC|GO6087_LC
212301092, 205.1249084, -17.4998207, 11.941, GO6032_LC|GO6084_LC
212301192, 204.9780121, -17.4970551, 11.205, GO6032_LC|GO6084_LC
212301559, 207.562851, -17.4856453, 11.698, GO6032_LC|GO6084_LC
212301917, 203.4427185, -17.4747143, 11.791, GO6029_LC|GO6032_LC|GO6084_LC
212301966, 203.1286469, -17.4732723, 12.886, GO6032_LC|GO6084_LC
212302140, 204.6402283, -17.4675369, 10.551, GO6030_LC|GO6069_LC|GO6084_LC
212302366, 204.5732727, -17.4606838, 12.061, GO6032_LC|GO6084_LC
212303202, 200.5482635, -17.4348507, 13.471, GO6032_LC|GO6084_LC
212304514, 207.217804, -17.3936367, 12.772, GO6032_LC|GO6084_LC
212304535, 202.2294922, -17.3930683, 13.649, GO6030_LC|GO6032_LC|GO6084_LC|GO6086_LC
212304745, 203.5344543, -17.3868446, 10.933, GO6030_LC|GO6069_LC|GO6084_LC|GO6086_LC|GO6087_LC
212304866, 204.8998108, -17.3834648, 10.751, GO6030_LC|GO6069_LC|GO6084_LC|GO6086_LC
212306363, 202.3091431, -17.3388233, 11.467, GO6032_LC|GO6069_LC|GO6084_LC
212306655, 200.6550446, -17.3307629, 11.602, GO6030_LC|GO6069_LC|GO6084_LC|GO6086_LC
212307317, 206.5158386, -17.3116474, 12.015, GO6032_LC|GO6084_LC
212307389, 202.0352325, -17.3096447, 12.689, GO6032_LC|GO6084_LC
212307740, 204.9686432, -17.2997589, 13.901, GO6032_LC|GO6084_LC
212307931, 203.0703278, -17.2945709, 10.727, GO6028_LC|GO6030_LC|GO6069_LC|GO6084_LC|GO6086_LC|GO6087_LC
212308208, 200.8013458, -17.2861347, 11.218, GO6030_LC|GO6069_LC|GO6084_LC|GO6086_LC
