# Summary of K2 Program GO7030

Title: The Masses and Prevalence of Small Planets with K2 - Cycle 2

PI: Howard, Andrew William (University of Hawaii)
CoIs: Petigura, Erik; Sanchis Ojeda, Roberto; Crossfield, Ian JM; Stassun, Keivan Guadalupe; Winn, Joshua N.; Pepper, Joshua; Paegert, Martin

Our team is searching for transiting planets orbiting FGK dwarf stars in K2 fields.  The first of our two objectives is to measure variations in the occurrence rate of planets as a function of sky position, sampling different star formation environments and stellar densities. We will learn whether our detailed occurrence measurements from the prime Kepler Mission (Howard et al. 2012, Petigura et al. 2013, Sanchis-Ojeda et al. 2014) can be applied directly to the solar neighborhood. We already see differences between the populations of planets orbiting nearby stars and stars in the prime Kepler Field.  For example, hot Jupiters are 2.5 times less abundant in the Kepler Field (Howard et al. 2012).  We have to wonder if the occurrence of Earth-size planets in the Habitable Zone (Petigura et al. 2013) is similarly reduced relative to nearby stars. With this proposal we will measure the occurrence of detectable, short-period super-Earths and Neptune-size planets (~2-3 Earth-radii). Our second goal is to discover small planets suitable for high-precision Doppler spectroscopy with Keck-HIRES and other instruments.  Measuring the planets masses will significantly refine our knowledge of the variation of planet density, composition, and atmospheric extent with planet size.  This Cycle 2 proposal for the C6 and C7 fields is part of our larger effort covering all K2 fields and is a merger of the Cycle 1 programs by A. Howard/E. Petigura and J. Winn/R. Sanchis-Ojeda.

We select stars from the provisional TESS Dwarf Star Catalog (TDC), which combines 2MASS, Tycho-2, UCAC4, and other catalogs.  Giant stars were cleansed using reduced proper motion cuts. request approximately 5000 stars in a magnitude-limited sample with Kp < 13 and approximately 3000 stars with Kp > 13 but excellent planet detectability (mostly late G and K dwarfs).  This Cycle 2 request for Campaigns 6 and 7 is similar to our previous K2 Guest Observer proposals in C0 (R. Sanchis-Ojeda - 3641/7758 selected), C1 (R. Sanchis-Ojeda - 3755/7000 selected), C2 (E. Petigura - 4115/5311 selected), C3 (E. Petigura; 3859/5875 selected), C4 (A. Howard - 5195 proposed; J. Winn - 16,700 proposed), C5 (A. Howard - 4471 proposed; J. Winn - 15,600 proposed) constitute the primary sample of the bright FGK dwarf stars observed by K2.

We are searching for transit signals in the K2 photometry using the well-vetted TERRA pipeline (Petigura & Marcy 2012, Petigura et al. 2013). We will compute the occurrence rates of small, close-in planets using injection-and-recovery tests to account for the sensitivity of TERRA and will report the field-to-field variability and overall rates of planet occurrence. Assuming a precision of 80 ppm over 6.5 hours, a 2 Earth-radii planet with P = 20-day will be detectable at SNR = 8 during a single 75-day K2 campaign.  Based on the prime mission occurrence statistics, we expect to find 3.1 planets of size 2-3 Earth-radii with P < 20 days per 1,000 stars observed. A sample of 5,000 stars is expected to yield ~15 planets of size 2-3 Earth-radii with orbital periods less than 20 days, providing an occurrence measurement with 25% fractional uncertainty. With 5,000 stars, we will be sensitive to factor-of-two variations in the occurrence rate of 2-3 Earth-radii planets at 4-sigma significance.

In addition, we will identify the planets most amenable to Doppler mass measurements and observe them using Keck-HIRES and other facilities. These mass measurements will focus on detectable small planets -- short-period super-Earths and Neptunes and ultrashort-period Earths. Our team demonstrated technical expertise in all of the above areas during the prime Kepler mission.

This proposal directly addresses two objectives from the prime Kepler mission: measuring planet occurrence rates and characterizing small planets with Doppler mass measurements.

# Targets requested by this program that have been observed (4827)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
213045572, 286.7112122, -31.0373192, 11.881, GO7086_LC|GO7030_LC|GO7087_LC
213051455, 286.5574646, -31.0060787, 11.954, GO7030_LC|GO7016_LC
213062557, 286.1881714, -30.9486485, 8.859, GO7017_LC|GO7078_LC|GO7016_LC|GO7042_LC|GO7030_LC
213063050, 286.1836853, -30.9460068, 11.744, GO7030_LC|GO7017_LC|GO7016_LC
213072346, 286.5629883, -30.8989849, 11.888, GO7030_LC|GO7087_LC
213076986, 287.0383301, -30.8755989, 11.874, GO7030_LC|GO7087_LC
213089249, 286.1154785, -30.8158493, 11.772, GO7030_LC|GO7087_LC
213091707, 286.4685669, -30.8036137, 11.939, GO7030_LC|GO7087_LC|GO7028_LC
213106629, 287.0853271, -30.7327385, 11.882, GO7030_LC|GO7087_LC
213119248, 285.9854126, -30.6752243, 11.914, GO7030_LC|GO7087_LC|GO7028_LC
213123443, 286.1781616, -30.6561871, 11.951, GO7030_LC
213138221, 286.6237488, -30.5897884, 11.961, GO7030_LC
213139103, 286.7336121, -30.5858288, 11.946, GO7030_LC|GO7087_LC
213160885, 288.2096863, -30.4906387, 10.135, GO7086_LC|GO7016_LC|GO7087_LC|GO7028_LC|GO7030_LC
213186324, 287.5527954, -30.3843975, 11.919, GO7030_LC|GO7016_LC
213189631, 287.2791443, -30.3703671, 9.858, GO7086_LC|GO7016_LC|GO7087_LC|GO7030_LC
213193684, 288.4983826, -30.3533211, 11.808, GO7030_LC|GO7087_LC|GO7028_LC
213193917, 286.1733704, -30.3524303, 11.976, GO7086_LC|GO7030_LC|GO7087_LC
213195184, 287.5867004, -30.3472042, 11.932, GO7030_LC|GO7016_LC
213199706, 287.8511353, -30.3287697, 11.986, GO7030_LC|GO7016_LC
213200356, 286.4803162, -30.3260593, 11.953, GO7086_LC|GO7030_LC
213200501, 287.6017456, -30.3254108, 11.801, GO7030_LC|GO7016_LC
213205043, 287.5249329, -30.3065243, 11.943, GO7030_LC|GO7016_LC|GO7087_LC
213217538, 286.5098572, -30.2544861, 10.843, GO7021_LC|GO7030_LC
213223435, 288.4217834, -30.2303276, 11.529, GO7086_LC|GO7030_LC|GO7087_LC
213228420, 288.4612732, -30.2098465, 11.886, GO7086_LC|GO7030_LC|GO7087_LC
213230582, 286.1036987, -30.2008781, 11.009, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
213231546, 285.8511353, -30.1969185, 10.899, GO7086_LC|GO7087_LC|GO7030_LC
213233520, 286.8558044, -30.189045, 11.744, GO7086_LC|GO7030_LC|GO7087_LC
213251240, 288.4921265, -30.1184444, 11.099, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
213251400, 286.8411865, -30.1177845, 9.952, GO7086_LC|GO7087_LC|GO7030_LC
213258586, 286.0062256, -30.0890827, 11.814, GO7030_LC
213273052, 287.1036987, -30.0322952, 11.626, GO7030_LC|GO7040_LC
213279447, 287.6151428, -30.0071163, 6.463, GO7039_LC|GO7078_LC|GO7071_LC|GO7030_LC
213281578, 288.3629456, -29.9986095, 11.277, GO7086_LC|GO7030_LC|GO7087_LC
213281815, 286.7979736, -29.9977131, 10.767, GO7021_LC|GO7030_LC
213291982, 288.5974731, -29.9607925, 11.821, GO7030_LC
213293276, 287.1636353, -29.9558773, 11.953, GO7086_LC|GO7030_LC
213296134, 289.6406555, -29.945406, 11.926, GO7030_LC|GO7087_LC
213301599, 286.5614624, -29.9255428, 11.758, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
213303228, 289.3061829, -29.9198341, 9.948, GO7086_LC|GO7030_LC
213307756, 289.6066589, -29.9036083, 11.798, GO7030_LC|GO7087_LC
213311176, 285.7033997, -29.8911781, 11.813, GO7030_LC|GO7087_LC
213311596, 288.15625, -29.8896503, 11.974, GO7030_LC|GO7087_LC
213319559, 286.852417, -29.8609276, 11.282, GO7086_LC|GO7030_LC|GO7087_LC
213320247, 286.8432007, -29.8584404, 11.423, GO7086_LC|GO7030_LC|GO7087_LC
213325618, 287.6929321, -29.8381824, 11.77, GO7030_LC|GO7087_LC|GO7028_LC
213326827, 288.1663818, -29.8336334, 11.787, GO7030_LC
213327723, 290.223938, -29.8300896, 11.994, GO7030_LC|GO7016_LC|GO7087_LC
213327843, 285.7818909, -29.8296642, 11.795, GO7030_LC
213332010, 287.6742554, -29.8136673, 7.878, GO7039_LC|GO7087_LC|GO7030_LC|GO7039_SC
213332545, 287.8303833, -29.8117123, 11.793, GO7030_LC|GO7016_LC|GO7087_LC
213334103, 287.769928, -29.8058701, 11.405, GO7030_LC|GO7021_LC
213350524, 289.4733276, -29.7439327, 11.86, GO7030_LC|GO7087_LC|GO7028_LC
213352107, 286.5567322, -29.7378387, 11.805, GO7030_LC
213352537, 290.6250916, -29.7362652, 11.799, GO7030_LC|GO7087_LC
213354711, 289.967804, -29.7280102, 11.892, GO7030_LC|GO7087_LC
213354839, 287.4465942, -29.7275734, 11.593, GO7030_LC|GO7040_LC
213355558, 287.2666321, -29.7249031, 11.612, GO7086_LC|GO7030_LC|GO7087_LC
213357998, 286.2130432, -29.7158222, 11.833, GO7030_LC|GO7087_LC
213365915, 286.6702881, -29.6868134, 11.904, GO7030_LC|GO7087_LC|GO7028_LC
213375002, 290.9708557, -29.6534958, 10.485, GO7078_LC|GO7087_LC|GO7028_LC|GO7030_LC
213378158, 288.2297974, -29.6415749, 11.885, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
213385075, 289.2965698, -29.6158772, 11.973, GO7030_LC
213385540, 285.8896484, -29.6140118, 9.352, GO7019_LC|GO7042_LC|GO7030_LC
213387881, 290.414032, -29.6054649, 6.996, GO7039_LC|GO7087_LC|GO7030_LC
213388450, 285.5184021, -29.6030979, 11.973, GO7030_LC
213410372, 290.5160828, -29.5230808, 6.989, GO7039_LC|GO7078_LC|GO7087_LC|GO7030_LC
213415746, 286.9076233, -29.5040226, 11.862, GO7086_LC|GO7030_LC|GO7087_LC
213417254, 285.6416321, -29.4986362, 11.972, GO7030_LC|GO7087_LC
213419637, 286.3742065, -29.4900551, 11.87, GO7030_LC|GO7021_LC|GO7087_LC
213425007, 291.3442688, -29.4706211, 11.878, GO7030_LC
213426549, 290.7659302, -29.4651108, 11.862, GO7030_LC|GO7016_LC
213440541, 290.3234253, -29.4151726, 11.189, GO7021_LC|GO7030_LC
213441771, 290.22995, -29.4109802, 10.049, GO7032_LC|GO7030_LC
213443931, 290.2346191, -29.4032707, 11.92, GO7030_LC|GO7087_LC
213452107, 286.4461365, -29.3745117, 11.498, GO7030_LC|GO7021_LC
213460155, 291.4995422, -29.3460522, 10.96, GO7086_LC|GO7087_LC|GO7030_LC
213461346, 285.5818481, -29.3419209, 8.541, GO7039_LC|GO7030_LC|GO7039_SC
213461850, 286.6528625, -29.3401203, 11.967, GO7030_LC|GO7087_LC|GO7028_LC
213462460, 289.2730713, -29.3380241, 10.048, GO7021_LC|GO7030_LC
213466316, 290.6034851, -29.3245411, 11.991, GO7030_LC
213466397, 286.9355164, -29.3242683, 11.864, GO7086_LC|GO7030_LC
213466811, 286.9365845, -29.3227806, 11.864, GO7030_LC
213468362, 289.9425964, -29.3172951, 11.613, GO7086_LC|GO7030_LC|GO7087_LC
