# Summary of K2 Program GO8012

Title: A search for exoplanets and close stellar/substellar companions in the local halo population for K2 campaigns 8 and 10

PI: Lepine, Sebastien (Georgia State University)
CoIs: Jao, Wei-Chun

We propose to continue the systematic search for exoplanets orbiting the very old stars of the Galactic halo, a population of stars that was not targeted to any significant degree in the original Kepler mission, but which we have now just begun to systematically target beginning in K2 campaigns 4 and 5. Following the recent discovery of exoplanets orbiting Kapteyn's star, a known local halo M subdwarf, and the determination of a very old age (~10Gyr) for the exoplanet bearing star Kepler-10, it is now suspected that stars of the Galactic halo population also harbor exoplanets in significant numbers. However, very little is know about the prevalence and properties of exoplanets orbiting old metal-poor stars because this population has been largely overlooked by most exoplanet surveys. However, our astrometric and photometric analysis of the fields to be observed in campaigns 8 and 10 of the Kepler K2 mission identifies 2,926 high-velocity subdwarfs that are unambiguous members of the local Galactic halo. We propose to monitor these halo stars with Kepler, to identify and characterize the first generation of exoplanets in our Galaxy. Light curves of the targeted halo stars will be searched for eclipses or transits, following the methodologies developed in the first Kepler mission. Candidates will be targeted for ground-based, follow-up observations to confirm the existence of the transit, and determine if it is from a planet of from a stellar companion. The detection of eclipsing stellar companions would also be of high interest for stellar astrophysics, as it would provide natural calibrators of the mass-radius relationship; while this relationship is critical to constrain models of stellar structure, such calibrators currently do not exist for low-mass, metal-poor stars. Relevance: this program will directly expand on the original goal of Kepler to find exoplanets orbiting main sequence stars in the Galactic disk. The data collected on local Galactic halo stars will be complement existing result from the Kepler mission by providing statistics and/or properties of exoplanets orbiting old, metal-poor stars.


# Targets requested by this program that have been observed (1357)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220131668, 17.0400124, -2.654249, 15.947, GO8012_LC|GO8042_LC|GO8031_LC
220137654, 16.9712448, -2.3835521, 18.43, GO8012_LC
220137860, 16.9827785, -2.3753719, 15.278, GO8012_LC
220138553, 17.4983253, -2.3454249, 17.386, GO8012_LC
220140752, 16.9895382, -2.2576101, 14.12, GO8012_LC|GO8042_LC
220141027, 17.2774601, -2.246788, 19.284, GO8012_LC
220141649, 17.6855774, -2.220696, 16.701, GO8012_LC
220143169, 17.3319988, -2.1542721, 15.779, GO8012_LC|GO8042_LC
220143340, 16.9145374, -2.14627, 17.482, GO8012_LC
220143601, 16.9142303, -2.1349199, 17.859, GO8012_LC
220144551, 16.9023628, -2.0959361, 14.729, GO8012_LC|GO8042_LC
220145226, 17.4840794, -2.0694549, 16.806, GO8012_LC|GO8042_LC
220146433, 17.1254215, -2.024497, 18.866, GO8012_LC
220146547, 16.6411152, -2.0212231, 16.752, GO8012_LC
220146804, 16.6165981, -2.0116529, 14.052, GO8012_LC|GO8059_LC|GO8042_LC
220147844, 17.3132534, -1.970894, 18.824, GO8012_LC
220147984, 17.3839722, -1.965783, 18.558, GO8012_LC
220148325, 17.8543701, -1.9531339, 16.029, GO8012_LC
220151380, 17.6223602, -1.846101, 18.705, GO8012_LC
220151571, 13.1769981, -1.838619, 17.398, GO8012_LC
220151747, 17.9448891, -1.83296, 15.968, GO8012_LC|GO8031_LC
220153217, 13.2068472, -1.77809, 17.192, GO8012_LC
220153602, 16.5009327, -1.763165, 17.335, GO8012_LC
220153631, 13.4963484, -1.761669, 14.196, GO8012_LC|GO8042_LC
220154198, 16.6277943, -1.741582, 15.318, GO8012_LC|GO8032_LC
220154854, 17.2486553, -1.717955, 16.229, GO8012_LC
220154915, 18.1351643, -1.715288, 18.381, GO8012_LC
220155449, 18.0448875, -1.6959471, 16.0, GO8012_LC
220155455, 17.7337036, -1.6958081, 15.127, GO8012_LC
220155517, 16.9235783, -1.693379, 18.756, GO8012_LC
220155521, 17.4916782, -1.693179, 14.659, GO8012_LC|GO8042_LC
220155613, 17.6064415, -1.690374, 15.945, GO8012_LC|GO8042_LC
220155775, 16.9330692, -1.684606, 18.692, GO8012_LC
220156026, 13.3120375, -1.676291, 17.77, GO8012_LC
220156115, 18.2862167, -1.673117, 14.778, GO8056_LC|GO8012_LC|GO8032_LC
