# Summary of K2 Program GO8026

Title: Flaring Properties and Sunspots among Old Halo G and K Dwarfs

PI: Peterson, Ruth (SETI Institute)
CoIs: 

Goals

This proposal is to characterize the flaring properties of old G and K dwarfs over the long term. The primary goal is to evaluate whether the Sun itself might undergo a powerful flare in the future. The secondary goal is to characterize the degree to which an old G or K dwarf flares as a function of its temperature, and to establish whether G and K dwarfs generally have sunspot cycles like that of the Sun. 

To this end we request Kepler light curves for the ~1200 on-silicon stars with 17.0 < Kp < 18.6 likely to be remote G or K dwarfs in the subregion of the field of C8 that is contained in Stripe 82, a region observed many times with SDSS, both in photometry and spectroscopy. By itself this yields for each star an indication of its flaring activity over about a decade, but at a cadence ill-suited to determining the characteristics of each individual flare.

Methods and results

The proposed Kepler 2 light curves at long cadence will allow the true frequency and energy of individual superflares to be detected and determined for each star over a 75+ day interval. These will be compared to the historical SDSS record of flaring, established through photometric variations. We also show that the temperature of each G or K dwarf can be established to about 100K from its (g-r)o color alone, for a characterization of flaring as a function of stellar temperature.

K2 light curves also will provide measurements of the rotation period for all stars with significant sunspots, through semi-periodic variations of the amplitude of one to a few percent over periods of one to several dozen days. This too will be correlated against flaring properties, both from K2 and from SDSS. 

As our value-added community resource contribution, we will publish a complete flaring history for each star, combining our results from both the SDSS photometry and the K2 LC light curves. From this work we can determine, as a function of stellar temperature and mass, what fraction of old G and K dwarfs experience strong flaring, whether such stars undergo cycles of activity resembling the 11/22-year solar sunspot cycle, and to what extent flaring occurs as a function of sunspot activity. Since in these old stars the global dynamo has spun down, this will help to characterize the role of global versus local dynamos in strong flaring, and provide a better estimate of whether the Sun might undergo flaring in the future.



Relevance to the K2 solicitation and need for new K2 observations

Kepler 2 is the only means currently available that is capable of obtaining light curves of sufficient sensitivity, 1% or better, on large numbers of faint dwarfs. We target faint dwarfs in the halo field C8 because these are located at least 850pc above the Galactic plane, and therefore are old stars like the Sun. M dwarfs flare extensively, but the flaring mechanism may differ from that of the Sun due to their extremely deep convective envelopes. Flaring studies based on Kepler observations have detected energetic flares in G dwarfs, but due to the line of sight near the Galactic plane of the Kepler field, these Kp ~14.5 mag stars lie only 250pc above the plane, and may be young stars. Other halo K2 fields have very few faint dwarf observations. Equally important is the existence in C8 of dwarfs with Stripe 82 observations, providing an intermittent history over more than a decade of photometric and spectroscopic indications of flaring.

For these reasons, that K2 is unique in its capability and that C8 Stripe 82 offers an unprecedented prior record of flaring, new K2 observations are required. Thus this proposed work is responsive to the K2 call for Campaign 8.


# Targets requested by this program that have been observed (1200)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220170413, 13.5743046, -1.19133, 18.817, GO8026_LC
220170875, 13.6929541, -1.168831, 18.522, GO8027_LC|GO8026_LC
220172030, 16.1433659, -1.117112, 17.857, GO8026_LC
220172854, 16.2633762, -1.079921, 17.902, GO8026_LC
220173309, 13.677721, -1.059687, 18.356, GO8026_LC
220173394, 14.1148243, -1.055585, 17.747, GO8026_LC
220173826, 13.9422226, -1.037727, 17.827, GO8026_LC
220174376, 12.4379339, -1.015247, 17.682, GO8026_LC
220174423, 13.8726759, -1.013584, 17.827, GO8026_LC
220174752, 16.3229389, -0.998396, 18.115, GO8026_LC
220174928, 16.110384, -0.991171, 18.128, GO8026_LC
220174973, 15.9708881, -0.989064, 18.058, GO8027_LC|GO8026_LC
220175027, 14.246398, -0.986985, 17.573, GO8026_LC
220175151, 14.1581678, -0.982213, 17.832, GO8026_LC
220175275, 16.4418278, -0.975922, 17.849, GO8026_LC
220175428, 13.4975863, -0.969329, 18.346, GO8026_LC
220175696, 16.2669373, -0.958646, 17.965, GO8026_LC
220175702, 14.4871197, -0.958363, 18.11, GO8026_LC
220175767, 13.8895388, -0.955966, 18.352, GO8026_LC
220176497, 19.5122166, -0.927155, 17.807, GO8026_LC
220176505, 13.4745893, -0.926873, 17.79, GO8026_LC
220176576, 15.9500151, -0.923934, 17.595, GO8026_LC
220176685, 14.2919502, -0.919488, 17.681, GO8026_LC
220177055, 18.1414642, -0.905511, 17.763, GO8026_LC
220177161, 12.4575672, -0.901892, 18.463, GO8026_LC
220177323, 16.0041485, -0.894978, 17.952, GO8026_LC
220177341, 19.3766479, -0.89423, 17.762, GO8026_LC
220177453, 19.3298512, -0.889618, 18.168, GO8027_LC|GO8026_LC
220177511, 16.3708992, -0.887231, 17.039, GO8026_LC
220177529, 16.1876125, -0.886651, 17.403, GO8026_LC
220177599, 15.7510777, -0.883433, 16.942, GO8026_LC
220177716, 16.4308338, -0.878188, 17.737, GO8026_LC
220177749, 19.4387417, -0.877027, 18.178, GO8026_LC
220177847, 16.2997875, -0.872746, 17.875, GO8026_LC
220178023, 19.3697987, -0.865869, 18.389, GO8026_LC
220178056, 14.5985422, -0.864825, 18.011, GO8026_LC
220178134, 15.9281511, -0.861989, 18.004, GO8026_LC
220178152, 16.5192184, -0.861392, 18.441, GO8026_LC
220178290, 14.7084799, -0.855641, 18.173, GO8026_LC
220178326, 18.4423828, -0.854217, 17.908, GO8026_LC
220178504, 19.2233486, -0.847039, 17.38, GO8026_LC
220179064, 18.4590549, -0.82577, 17.998, GO8026_LC
220179605, 13.8815517, -0.803611, 17.559, GO8026_LC
220179717, 17.4342823, -0.7995, 18.476, GO8026_LC
220179872, 19.2852573, -0.793844, 17.249, GO8027_LC|GO8026_LC
220179903, 18.444809, -0.793012, 18.529, GO8026_LC
220179945, 17.477951, -0.791709, 17.647, GO8026_LC
220180018, 18.3434391, -0.78845, 19.023, GO8026_LC
220180083, 14.3654919, -0.786381, 17.449, GO8026_LC
220180108, 14.0249987, -0.785197, 17.436, GO8026_LC
220180141, 14.0447922, -0.783835, 18.337, GO8026_LC
