# Summary of K2 Program GO8032

Title: Discovery and Vetting of K2 Exoplanets

PI: Mullally, Fergal (SETI Institute/NASA Ames)
CoIs: Rowe, Jason Frank; Quintana, Elisa Victoria; Coughlin, Jeffrey Langer; Caldwell, Douglas A.; Thompson, Susan E

We seek to create a catalog of well-vetted exoplanets discovered by the K2 mission, suitable for follow-up by JWST and other facilities. We propose the observation of approx. 6,000 bright, dwarf stars, over campaigns 8 and 10, which is expected to yield at least 100 transiting exoplanets. We will thoroughly vet these planets to eliminate many different types of false positives, utilizing our group's deep experience in vetting exoplanets discovered by the main Kepler mission. We will create a publicly available catalog of all planet candidates for use in exoplanet occurrence rate and other studies. This proposal utilizes the unique capabilities of the K2 mission, including its extreme photometric precision and continuous 75-day observing range. This proposal directly contributes towards NASA's Astrophysics Divisions science goal to "Discover and study planets around other stars, and explore whether they could harbor life. It also contributes to the K2 solicitation goal of addressing compelling scientific questions in the field of stellar astrophysics.


# Targets requested by this program that have been observed (3896)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220133206, 16.9701023, -2.58373, 15.212, GO8056_LC|GO8032_LC
220141540, 17.11689, -2.2254231, 14.946, GO8032_LC
220141787, 17.6208038, -2.213804, 11.88, GO8068_LC|GO8032_LC|GO8077_LC
220142506, 17.0383759, -2.183166, 12.401, GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220142862, 16.6982384, -2.167515, 13.224, GO8032_LC|GO8077_LC|GO8042_LC
220142943, 17.2140694, -2.1638999, 11.187, GO8068_LC|GO8032_LC|GO8077_LC
220143498, 16.6852818, -2.138875, 13.863, GO8032_LC|GO8042_LC
220144271, 17.7817402, -2.1070919, 12.935, GO8068_LC|GO8032_LC|GO8042_LC
220145371, 16.7022152, -2.063529, 14.844, GO8032_LC
220145762, 17.3567562, -2.0489221, 12.774, GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220146202, 17.7754345, -2.032536, 12.255, GO8068_LC|GO8032_LC|GO8077_LC
220146494, 17.7500687, -2.0226159, 12.785, GO8068_LC|GO8032_LC|GO8077_LC
220147299, 13.1929665, -1.9919879, 11.418, GO8032_LC|GO8077_LC
220147333, 16.7488003, -1.9905699, 11.324, GO8032_LC|GO8077_LC
220147388, 17.8170242, -1.988471, 8.82, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220147993, 17.0467186, -1.965294, 12.527, GO8068_LC|GO8032_LC|GO8077_LC
220148496, 16.7096767, -1.9457951, 11.803, GO8068_LC|GO8032_LC|GO8077_LC
220148737, 17.6642818, -1.937636, 12.426, GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220149551, 16.5226822, -1.908518, 11.961, GO8068_LC|GO8032_LC|GO8077_LC
220150121, 13.327527, -1.889565, 9.812, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220150657, 13.1386251, -1.8710099, 12.914, GO8056_LC|GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220151591, 17.9490032, -1.837944, 11.49, GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220151612, 17.1014767, -1.837203, 15.432, GO8032_LC
220152078, 16.8925114, -1.821432, 14.945, GO8032_LC
220152166, 16.7598686, -1.818374, 12.761, GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220152332, 12.990427, -1.812467, 15.024, GO8032_LC
220152340, 17.5936069, -1.812121, 11.621, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220152490, 17.6565685, -1.805639, 11.187, GO8068_LC|GO8032_LC|GO8077_LC
220152532, 12.9586248, -1.8038189, 15.302, GO8032_LC
220152847, 17.7306099, -1.791934, 13.199, GO8032_LC|GO8077_LC|GO8042_LC
220153996, 16.8970127, -1.748444, 13.165, GO8032_LC|GO8077_LC|GO8042_LC
220154152, 13.5380669, -1.742883, 13.818, GO8032_LC|GO8077_LC|GO8042_LC
