# Summary of K2 Program GO9911

Title: Precision Pulsation Properties of Bulge RR Lyrae Stars

PI: Kunder, Andrea (Leibniz Institut für Astrophysik (AIP) Potsdam)
CoIs: 



# Targets requested by this program that have been observed (86)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
221938867, 272.518121, -28.237023, 15.251, GO9911_LC|GO9916_LC
248368662, , , , GO9911_LC
248368663, , , , GO9911_LC
248368664, , , , GO9911_LC
248368665, , , , GO9911_LC
248368666, , , , GO9911_LC
248368667, , , , GO9911_LC
248368668, , , , GO9911_LC
248368669, , , , GO9911_LC
248368670, , , , GO9911_LC
248368671, , , , GO9911_LC
248368672, , , , GO9911_LC
248368673, , , , GO9911_LC
248368674, , , , GO9911_LC
248368675, , , , GO9911_LC
248368676, , , , GO9911_LC
248368677, , , , GO9911_LC
248368678, , , , GO9911_LC
248368679, , , , GO9911_LC
248368680, , , , GO9911_LC
248368681, , , , GO9911_LC
248368682, , , , GO9911_LC
248368683, , , , GO9911_LC
248368684, , , , GO9911_LC
248368685, , , , GO9911_LC
248368686, , , , GO9911_LC
248368687, , , , GO9911_LC
248368688, , , , GO9911_LC
248368689, , , , GO9911_LC
248368690, , , , GO9911_LC
248368691, , , , GO9911_LC
248368692, , , , GO9911_LC
248368693, , , , GO9911_LC
248368694, , , , GO9911_LC
248368695, , , , GO9911_LC
248368696, , , , GO9911_LC
248368697, , , , GO9911_LC
248368698, , , , GO9911_LC
248368699, , , , GO9911_LC
248368700, , , , GO9911_LC
248368701, , , , GO9911_LC
248368702, , , , GO9911_LC
248368703, , , , GO9911_LC
248368704, , , , GO9911_LC
248368706, , , , GO9911_LC
248368707, , , , GO9911_LC
248368708, , , , GO9911_LC
248368709, , , , GO9911_LC
248368710, , , , GO9911_LC
248368711, , , , GO9911_LC
248368712, , , , GO9911_LC
248368713, , , , GO9911_LC
248368714, , , , GO9911_LC
248368715, , , , GO9911_LC
248368716, , , , GO9911_LC
248368717, , , , GO9911_LC
248368718, , , , GO9911_LC
248368719, , , , GO9911_LC
248368720, , , , GO9911_LC
248368721, , , , GO9911_LC
248368722, , , , GO9911_LC
248368723, , , , GO9911_LC
248368724, , , , GO9911_LC
248368725, , , , GO9911_LC
248368726, , , , GO9911_LC
248368727, , , , GO9911_LC
248368728, , , , GO9911_LC
248368729, , , , GO9911_LC
248368730, , , , GO9911_LC
248368731, , , , GO9911_LC
248368732, , , , GO9911_LC
248368733, , , , GO9911_LC
248368734, , , , GO9911_LC
248368735, , , , GO9911_LC
248368736, , , , GO9911_LC
248368737, , , , GO9911_LC
248368738, , , , GO9911_LC
248368740, , , , GO9911_LC
248368741, , , , GO9911_LC
248368742, , , , GO9911_LC
248368743, , , , GO9911_LC
248368745, , , , GO9911_LC
248368746, , , , GO9911_LC
248368747, , , , GO9911_LC
248368748, , , , GO9911_LC
248368749, , , , GO9911_LC
