# Summary of K2 Program GO9921

Title: K2 Campaign 9: Monitoring Massive Young Stars in the Lagoon Nebula

PI: Cody, Ann Marie (NASA Ames)
CoIs: 



# Targets requested by this program that have been observed (139)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
224290871, 270.951053, -24.510863, 14.709, GO9921_LC
224297601, 271.09806, -24.498673, 16.125, GO9921_LC
224305947, 271.110369, -24.483445, 14.198, GO9921_LC
224308209, 271.127976, -24.479347, 13.879, GO9921_LC
224308921, 271.093979, -24.478019, 14.885, GO9921_LC
224311432, 271.164379, -24.473396, 13.854, GO9921_LC
224311447, 271.199117, -24.473376, 11.297, GO9921_LC
224312151, 271.084869, -24.472063, 14.293, GO9921_LC
224313065, 271.170978, -24.470499, 13.819, GO9921_LC
224314197, 270.858105, -24.468383, 15.34, GO9921_LC
224314265, 271.143375, -24.468224, 11.98, GO9921_LC
224314764, 271.086584, -24.46735, 13.948, GO9921_LC
224316080, 271.086376, -24.464941, 13.948, GO9921_LC
224316091, 271.189716, -24.464914, 15.441, GO9921_LC
224316568, 271.169314, -24.464034, 15.819, GO9921_LC
224317352, 271.104252, -24.462568, 11.487, GO9921_LC
224317366, 271.088874, -24.462525, 15.046, GO9921_LC
224319473, 271.222697, -24.458635, 13.602, GO9921_LC
224319597, 271.147224, -24.45841, 14.281, GO9921_LC
224319871, 271.078357, -24.457926, 14.781, GO9921_LC
224320688, 271.245928, -24.456474, 10.871, GO9921_LC
224321303, 271.191304, -24.455346, 14.262, GO9921_LC
224321306, 271.186142, -24.455342, 15.757, GO9921_LC
224321494, 271.138415, -24.454953, 14.064, GO9921_LC
224322753, 271.140372, -24.452698, 13.822, GO9921_LC
224326168, 271.204994, -24.446557, 15.518, GO9921_LC
224327080, 271.168572, -24.444908, 16.289, GO9921_LC
224327278, 271.202119, -24.444556, 13.957, GO9921_LC
224328040, 271.202567, -24.443194, 13.03, GO9921_LC
224328215, 271.12865, -24.442844, 13.957, GO9921_LC
224328571, 271.121544, -24.44218, 16.086, GO9921_LC
224330659, 271.174683, -24.438466, 14.119, GO9921_LC
224330915, 271.096782, -24.437976, 9.174, GO9921_LC
224332620, 270.84413, -24.434881, 11.858, GO9921_LC
224336179, 271.210843, -24.428362, 11.922, GO9906_LC|GO9921_LC
224340256, 271.214998, -24.421069, 14.316, GO9921_LC
224341656, 270.844367, -24.418556, 14.39, GO9921_LC
224343392, 271.085671, -24.415416, 12.771, GO9921_LC|GO9921_SC
224345928, 270.779004, -24.410833, 12.893, GO9921_LC
224351290, 271.234398, -24.401008, 11.74, GO9921_LC
224352275, 271.184338, -24.399298, 14.539, GO9921_LC
224352677, 270.783286, -24.3986, 13.481, GO9921_LC
224353581, 271.199924, -24.396974, 14.394, GO9921_LC
224356395, 271.199368, -24.391831, 14.853, GO9921_LC
224359310, 271.256597, -24.386744, 14.203, GO9921_LC
224359694, 271.229003, -24.386053, 15.913, GO9921_LC
224362997, 271.17597, -24.379919, 15.328, GO9921_LC
224364733, 270.830957, -24.376851, 14.472, GO9921_LC
224365014, 270.858208, -24.376351, 12.901, GO9921_LC
224367988, 270.838781, -24.370897, 13.376, GO9921_LC
224369616, 270.844127, -24.368011, 10.262, GO9921_LC
224379078, 270.89987, -24.351033, 14.371, GO9921_LC
224379847, 271.17365, -24.349646, 9.788, GO9906_LC|GO9921_LC
224379865, 271.188419, -24.349623, 15.594, GO9921_LC
224380202, 270.726208, -24.349039, 14.336, GO9921_LC
224380390, 271.17351, -24.348697, 10.046, GO9921_LC
224381393, 271.238921, -24.346821, 10.502, GO9921_LC
224382041, 271.210652, -24.345636, 15.713, GO9921_LC
224386438, 270.985643, -24.337912, 14.541, GO9921_LC
224386961, 270.961226, -24.336971, 14.339, GO9921_LC
224387008, 270.738584, -24.336881, 14.577, GO9921_LC
224387244, 270.724801, -24.336447, 15.243, GO9921_LC
224389138, 270.935578, -24.333025, 13.886, GO9921_LC
224389484, 270.911254, -24.332455, 14.527, GO9921_LC
224390120, 270.722347, -24.331253, 13.982, GO9921_LC
224392069, 271.183453, -24.327661, 14.248, GO9921_LC
224392324, 270.925772, -24.327197, 14.231, GO9921_LC
224393028, 270.911309, -24.325932, 14.821, GO9921_LC
224394253, 271.162356, -24.323793, 11.435, GO9921_LC
224394353, 270.916103, -24.323624, 13.848, GO9921_LC
224396425, 271.000308, -24.319986, 15.014, GO9921_LC
224399118, 271.172673, -24.315246, 14.162, GO9921_LC
224400629, 270.986846, -24.312531, 8.148, GO9913_LC|GO9921_LC
224400745, 270.718573, -24.312338, 14.075, GO9921_LC
224402329, 271.178225, -24.309459, 10.62, GO9921_LC
224403700, 271.054818, -24.306956, 13.828, GO9921_LC
224407235, 271.175814, -24.300873, 13.736, GO9921_LC|GO9921_SC
224407525, 271.197662, -24.300391, 12.684, GO9921_LC
224408806, 271.219647, -24.297953, 11.357, GO9921_LC
224409162, 271.106623, -24.297236, 14.727, GO9921_LC
224409672, 271.074477, -24.296344, 15.739, GO9921_LC
224410960, 271.069232, -24.294097, 15.536, GO9921_LC
224412309, 271.024754, -24.29174, 14.666, GO9921_LC
224412458, 271.098669, -24.29146, 15.892, GO9921_LC
224413935, 270.794647, -24.288903, 14.292, GO9921_LC
224415423, 271.170332, -24.286351, 16.339, GO9921_LC
224417043, 270.980265, -24.283324, 14.115, GO9921_LC
224417127, 270.880575, -24.283181, 15.141, GO9921_LC
224418655, 270.992736, -24.280359, 14.584, GO9921_LC
224419164, 270.945337, -24.279437, 10.907, GO9921_LC
224419741, 271.021253, -24.278379, 16.171, GO9921_LC
224419990, 271.059597, -24.277979, 12.571, GO9921_LC
224420233, 270.87988, -24.277546, 15.98, GO9921_LC
224420667, 271.186406, -24.276778, 17.166, GO9921_LC
224420797, 271.067159, -24.27658, 12.495, GO9921_LC
224422316, 271.090974, -24.273916, 15.781, GO9921_LC
224424757, 271.165137, -24.269697, 14.623, GO9921_LC
224426643, 271.376387, -24.26629, 14.188, GO9921_LC
224427407, 270.850764, -24.264987, 13.911, GO9921_LC
224428514, 271.090341, -24.263061, 13.419, GO9921_LC
224430588, 271.059979, -24.259299, 14.913, GO9921_LC
224430834, 270.633593, -24.25887, 14.523, GO9921_LC
224431765, 270.848798, -24.257152, 13.869, GO9921_LC
224432562, 270.721276, -24.255837, 14.397, GO9921_LC
224433249, 271.10139, -24.254654, 12.044, GO9921_LC
224433745, 271.05569, -24.253746, 16.052, GO9921_LC
224436629, 271.065555, -24.248715, 12.653, GO9921_LC
224436688, 271.024017, -24.248615, 16.018, GO9921_LC
224437099, 271.08645, -24.247858, 13.437, GO9921_LC
224438171, 271.120046, -24.245878, 14.876, GO9921_LC
224439122, 271.183802, -24.244185, 16.072, GO9921_LC
224439430, 271.060391, -24.243688, 9.298, GO9921_LC
224439742, 271.081378, -24.243156, 12.202, GO9921_LC
224440447, 271.074123, -24.241968, 13.397, GO9921_LC
224444697, 271.090887, -24.234486, 13.673, GO9921_LC
224444934, 271.12028, -24.234043, 12.047, GO9921_LC
224446184, 271.085662, -24.231886, 10.196, GO9921_LC
224450496, 271.057787, -24.224476, 12.226, GO9921_LC
224450714, 271.251829, -24.22412, 14.054, GO9921_LC
224451295, 271.006279, -24.223179, 16.157, GO9921_LC
224451806, 271.072836, -24.222301, 15.869, GO9921_LC
224453162, 271.187467, -24.219835, 16.181, GO9921_LC
224457138, 270.861336, -24.212683, 11.907, GO9921_LC
224460976, 271.040811, -24.205888, 13.312, GO9921_LC
224461008, 270.922602, -24.205822, 14.595, GO9921_LC
224463623, 270.702246, -24.201097, 16.107, GO9921_LC
224467724, 271.091044, -24.193742, 14.034, GO9921_LC
224493585, 270.599026, -24.147018, 14.55, GO9921_LC
248368905, , , , GO9921_LC
248368906, , , , GO9921_LC
248368907, , , , GO9921_LC
248368908, , , , GO9921_LC
248368909, , , , GO9921_LC
248368910, , , , GO9921_LC
248368911, , , , GO9921_LC
248368912, , , , GO9921_LC
248368913, , , , GO9921_LC
248368914, , , , GO9921_LC
248368915, , , , GO9921_LC
