EPIC,rafloat,decfloat,Kp,InvestigationIDs
200252206,,,,GO19028|100475-LC-SSO_TILE
200252207,,,,GO19028|100475-LC-SSO_TILE
200252208,,,,GO19028|100475-LC-SSO_TILE
200252209,,,,GO19028|100475-LC-SSO_TILE
200252210,,,,GO19028|100475-LC-SSO_TILE
200252211,,,,GO19028|100475-LC-SSO_TILE
200252212,,,,GO19028|100475-LC-SSO_TILE
200252213,,,,GO19028|100475-LC-SSO_TILE
200252214,,,,GO19028|100475-LC-SSO_TILE
200252215,,,,GO19028|100475-LC-SSO_TILE
200252216,,,,GO19028|100475-LC-SSO_TILE
200252217,,,,GO19028|100475-LC-SSO_TILE
200252218,,,,GO19028|100475-LC-SSO_TILE
200252219,,,,GO19028|100475-LC-SSO_TILE
200252220,,,,GO19028|100475-LC-SSO_TILE
200252221,,,,GO19028|100475-LC-SSO_TILE
200252222,,,,GO19028|100475-LC-SSO_TILE
200252223,,,,GO19028|100475-LC-SSO_TILE
200252224,,,,GO19028|100475-LC-SSO_TILE
200252225,,,,GO19028|100475-LC-SSO_TILE
200252226,,,,GO19028|100475-LC-SSO_TILE
200252227,,,,GO19028|100475-LC-SSO_TILE
200252228,,,,GO19028|100475-LC-SSO_TILE
200252229,,,,GO19028|100475-LC-SSO_TILE
200252230,,,,GO19028|100475-LC-SSO_TILE
200252231,,,,GO19028|100475-LC-SSO_TILE
200252232,,,,GO19028|100475-LC-SSO_TILE
200252233,,,,GO19028|100475-LC-SSO_TILE
200252234,,,,GO19028|100475-LC-SSO_TILE
200252235,,,,GO19028|100475-LC-SSO_TILE
200252236,,,,GO19028|100475-LC-SSO_TILE
200252237,,,,GO19028|100475-LC-SSO_TILE
200252238,,,,GO19028|100475-LC-SSO_TILE
200252239,,,,GO19028|100475-LC-SSO_TILE
200252240,,,,GO19028|100475-LC-SSO_TILE
200252241,,,,GO19028|100475-LC-SSO_TILE
200252242,,,,GO19028|100475-LC-SSO_TILE
200252243,,,,GO19028|100475-LC-SSO_TILE
200252244,,,,GO19028|100475-LC-SSO_TILE
200252245,,,,GO19028|100475-LC-SSO_TILE
200252246,,,,GO19028|100475-LC-SSO_TILE
200252247,,,,GO19028|100475-LC-SSO_TILE
200252248,,,,GO19028|100475-LC-SSO_TILE
200252249,,,,GO19028|100475-LC-SSO_TILE
200252250,,,,GO19028|100475-LC-SSO_TILE
200252251,,,,GO19028|100475-LC-SSO_TILE
200252252,,,,GO19028|100475-LC-SSO_TILE
200252253,,,,GO19028|100475-LC-SSO_TILE
200252254,,,,GO19028|100475-LC-SSO_TILE
200252255,,,,GO19028|100475-LC-SSO_TILE
200252256,,,,GO19028|100475-LC-SSO_TILE
200252257,,,,GO19028|100475-LC-SSO_TILE
200252258,,,,GO19028|100475-LC-SSO_TILE
200252259,,,,GO19028|100475-LC-SSO_TILE
200252260,,,,GO19028|100475-LC-SSO_TILE
200252261,,,,GO19028|100475-LC-SSO_TILE
200252262,,,,GO19028|100475-LC-SSO_TILE
200252263,,,,GO19028|100475-LC-SSO_TILE
200252264,,,,GO19028|100475-LC-SSO_TILE
200252265,,,,GO19028|100475-LC-SSO_TILE
200252266,,,,GO19028|100475-LC-SSO_TILE
200252267,,,,GO19028|100475-LC-SSO_TILE
200252268,,,,GO19028|100475-LC-SSO_TILE
200252269,,,,GO19028|100475-LC-SSO_TILE
200252270,,,,GO19028|100475-LC-SSO_TILE
200252271,,,,GO19028|100475-LC-SSO_TILE
200252272,,,,GO19028|100475-LC-SSO_TILE
