EPIC,RA,Dec,Kp,InvestigationIDs
200262844, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262845, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262846, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262847, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262848, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262849, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262850, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262851, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262852, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262853, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262854, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262855, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262856, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262857, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262858, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262859, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262860, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262861, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262862, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262863, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262864, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262865, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262866, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262867, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262868, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262869, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262870, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262871, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262872, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262873, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262874, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262875, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262876, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262877, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262878, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262879, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262880, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
200262881, , , , GO20019_LC|1996_TS66-LC-SSO_TILE
