# KID, Season, Target Table Number
757450,Q12M1,53
757450,Q12M2,54
757450,Q12M3,55
1025986,Q3M2,27
1160867,Q1,20
1161345,Q10M1,47
1161345,Q10M2,48
1161345,Q10M3,49
1161345,Q11M1,50
1161345,Q11M2,51
1161345,Q11M3,52
1161345,Q12M1,53
1161345,Q12M2,54
1161345,Q12M3,55
1161345,Q15M1,62
1161345,Q15M2,63
1161345,Q15M3,64
1161345,Q16M1,65
1161345,Q16M2,66
1161345,Q16M3,67
1162150,Q4M3,31
1292798,Q3M1,26
1293814,Q4M2,30
1294756,Q12M1,53
1294756,Q12M2,54
1294756,Q12M3,55
1430163,Q2M1,23
1430163,Q5M1,32
1430163,Q5M2,33
1430163,Q5M3,34
1432149,Q2M1,23
1432214,Q9M2,45
1433534,Q2M1,23
1435467,Q2M3,25
1435467,Q5M1,32
1435467,Q5M2,33
1435467,Q5M3,34
1435467,Q6M1,35
1435467,Q6M2,36
1435467,Q6M3,37
1435467,Q7M1,38
1435467,Q7M2,39
1435467,Q7M3,40
1435467,Q8M1,41
1435467,Q8M2,42
1435467,Q8M3,43
1435467,Q9M1,44
1435467,Q9M2,45
1435467,Q9M3,46
1435467,Q10M1,47
1435467,Q10M2,48
1435467,Q10M3,49
1435467,Q11M1,50
1435467,Q11M2,51
1435467,Q11M3,52
1435467,Q12M1,53
1435467,Q12M2,54
1435467,Q12M3,55
1435467,Q13M1,56
1435467,Q13M2,57
1435467,Q13M3,58
1435467,Q14M1,59
1435467,Q14M2,60
1435467,Q14M3,61
1435467,Q15M1,62
1435467,Q15M2,63
1435467,Q15M3,64
1435467,Q16M1,65
1435467,Q16M2,66
1435467,Q16M3,67
1435467,Q17M1,68
1435467,Q17M2,69
1435467,Q17M3,70
1570713,Q2M2,24
1571152,Q2M1,23
1571717,Q4M3,31
1572201,Q3M2,27
1577143,Q3M2,27
1718222,Q2M1,23
1718828,Q2M2,24
1724041,Q4M3,31
1724355,Q2M2,24
1725815,Q2M3,25
1849587,Q4M3,31
1864124,Q2M3,25
1868918,Q2M2,24
1870057,Q4M3,31
1871056,Q10M1,47
1871056,Q10M2,48
1871056,Q10M3,49
1871056,Q11M1,50
1871056,Q11M2,51
1871056,Q11M3,52
1871056,Q14M1,59
1871056,Q14M2,60
1871056,Q14M3,61
1871056,Q15M1,62
1871056,Q15M2,63
1871056,Q15M3,64
1872948,Q3M2,27
1996456,Q2M1,23
2010607,Q4M2,30
2010835,Q4M3,31
2014684,Q4M3,31
2014991,Q11M1,50
2014991,Q11M2,51
2014991,Q11M3,52
2020175,Q3M1,26
2158190,Q2M2,24
2158850,Q2M1,23
2159700,Q1,20
2162283,Q2M1,23
2162635,Q9M1,44
2162635,Q9M2,45
2162635,Q9M3,46
2162635,Q10M1,47
2162635,Q10M2,48
2162635,Q10M3,49
2162635,Q11M1,50
2162635,Q13M1,56
2162635,Q13M2,57
2162635,Q13M3,58
2162635,Q14M1,59
2162635,Q14M2,60
2162635,Q14M3,61
2162635,Q17M1,68
2162635,Q17M2,69
2162635,Q17M3,70
2166218,Q2M3,25
2168333,Q5M1,32
2168333,Q5M2,33
2168333,Q5M3,34
2300165,Q1,20
2301163,Q2M1,23
2301163,Q13M1,56
2301163,Q13M2,57
2301163,Q13M3,58
2302548,Q11M1,50
2302548,Q11M2,51
2302548,Q11M3,52
2302548,Q12M1,53
2302548,Q12M2,54
2302548,Q12M3,55
2302548,Q15M1,62
2302548,Q15M2,63
2302548,Q15M3,64
2304943,Q3M3,28
2306756,Q6M1,35
2306756,Q6M2,36
2306756,Q6M3,37
2306756,Q13M1,56
2306756,Q13M2,57
2306756,Q13M3,58
2306756,Q14M2,60
2307199,Q3M1,26
2307199,Q3M2,27
2307199,Q3M3,28
2307199,Q6M1,35
2307199,Q6M2,36
2307199,Q6M3,37
2307199,Q7M1,38
2309719,Q9M1,44
2309719,Q9M2,45
2309719,Q9M3,46
2309719,Q10M1,47
2309719,Q10M2,48
2309719,Q10M3,49
2309719,Q11M1,50
2309719,Q11M2,51
2309719,Q11M3,52
2309719,Q13M1,56
2309719,Q13M2,57
2309719,Q13M3,58
2309719,Q14M1,59
2309719,Q14M2,60
2309719,Q14M3,61
2309719,Q15M1,62
2309719,Q15M2,63
2309719,Q15M3,64
2424191,Q11M1,50
2424191,Q11M2,51
2424191,Q11M3,52
2436450,Q10M1,47
2436450,Q10M2,48
2436450,Q10M3,49
2436450,Q14M1,59
2436450,Q14M2,60
