# Summary of K2 Program GO0017

Title: MASSIVE: MASSIVE STAR ASTEROSEISMOLOGY, VARIABILITY, AND EVOLUTION WITH K2: SINGLE B-TYPE STARS IN FIELD 0

PI: Papics,  ()
CoIs: 



# Targets requested by this program that have been observed (175)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
202059406, 101.81356, 24.8365, 9.6, GO0003_LC|GO0017_LC|GO0049_LC
202060162, 92.086, 22.208, 9.1, GO0017_LC|GO0044_LC|GO0049_LC
202060164, 103.275, 16.15, 9.1, GO0017_LC
202060168, 96.29629, 14.8732, 9.3, GO0017_LC|GO0044_LC|GO0049_LC
202060169, 92.30121, 23.89009, 9.3, GO0017_LC|GO0036_LC|GO0044_LC|GO0102_LC
202060170, 100.04787, 23.83982, 9.5, GO0017_LC|GO0044_LC|GO0049_LC
202060171, 94.9622, 23.82577, 9.6, GO0017_LC|GO0036_LC|GO0044_LC|GO0049_LC|GO0082_LC
202060174, 93.092, 18.016, 9.8, GO0017_LC|GO0036_LC|GO0044_LC|GO0047_LC|GO0093_LC
202060176, 94.99949, 23.83561, 9.7, GO0017_LC|GO0036_LC|GO0044_LC|GO0082_LC|GO0100_LC
202060178, 98.45709, 24.17006, 9.9, GO0017_LC|GO0036_LC|GO0044_LC|GO0049_LC
202060179, 92.86768, 19.69977, 10.0, GO0017_LC|GO0044_LC|GO0049_LC
202060184, 92.92671, 21.63298, 10.2, GO0017_LC|GO0036_LC|GO0044_LC|GO0049_LC|GO0111_LC
202060187, 91.274, 23.394, 10.2, GO0017_LC|GO0036_LC|GO0044_LC|GO0111_LC
202060189, 95.01327, 24.22928, 10.3, GO0017_LC|GO0036_LC|GO0044_LC|GO0111_LC
202060191, 91.06076, 21.09462, 10.4, GO0017_LC|GO0049_LC|GO0111_LC
202060193, 93.50645, 18.29596, 10.5, GO0017_LC|GO0036_LC|GO0049_LC|GO0111_LC
202060194, 92.41831, 23.07291, 10.5, GO0017_LC|GO0036_LC|GO0044_LC|GO0045_LC|GO0111_LC
202060196, 93.184, 17.987, 10.8, GO0017_LC|GO0036_LC|GO0044_LC|GO0093_LC|GO0111_LC
202060198, 92.98965, 20.67244, 10.9, GO0017_LC|GO0036_LC|GO0044_LC
202060207, 91.2708, 23.67591, 11.1, GO0017_LC|GO0036_LC|GO0044_LC
202060210, 91.20417, 24.065, 11.6, GO0017_LC
202060369, 96.20446, 15.81745, 9.0, GO0017_LC|GO0049_LC|GO0100_LC
202060377, 99.07033, 22.14941, 9.1, GO0017_LC|GO0049_LC
