# Summary of K2 Program GO0031

Title: OBSERVATIONS OF VERY LOW-MASS DWARFS WITH KEPLER-2

PI: Martin,  ()
CoIs: 



# Targets requested by this program that have been observed (21)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
202061743, 92.65969, 20.01601, 18.8, GO0031_LC
202061771, 94.19767, 16.84965, 18.2, GO0031_LC
202061772, 94.25511, 17.13808, 19.0, GO0031_LC
202061773, 94.52012, 19.08261, 18.7, GO0031_LC|GO0120_LC
202061774, 94.75402, 17.90643, 17.2, GO0031_LC
202061775, 94.7648, 18.96313, 18.8, GO0031_LC
202061786, 95.04592, 17.45487, 18.8, GO0031_LC|GO0120_LC
202061789, 95.32624, 19.2466, 18.0, GO0031_LC
202061790, 95.45076, 18.39953, 18.8, GO0031_LC
202061791, 95.63464, 17.96826, 18.1, GO0031_LC
202061794, 96.14681, 21.49511, 18.4, GO0031_LC|GO0120_LC
202061795, 96.27189, 21.28571, 18.9, GO0031_LC
202061796, 96.52615, 17.52935, 18.4, GO0031_LC
202061797, 96.85691, 22.2101, 18.9, GO0031_LC
202061798, 96.66153, 18.19306, 18.4, GO0031_LC|GO0120_LC
202061799, 97.02211, 18.84709, 18.7, GO0031_LC
202061800, 97.04539, 17.63498, 18.1, GO0031_LC
202061801, 96.82719, 19.39346, 17.7, GO0031_LC
202061804, 97.58099, 18.80084, 18.5, GO0031_LC
202061806, 98.02622, 20.46586, 16.6, GO0031_LC|GO0120_LC
202061807, 98.66085, 18.8998, 18.1, GO0031_LC
