# Summary of K2 Program GO0076

Title: INVESTIGATING KOPOSOV 62

PI: Revalski,  ()
CoIs: 



# Targets requested by this program that have been observed (251)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
202065748, 94.30661, 24.64463, 9.3, GO0076_LC|GO0100_LC
202065755, 94.62295, 24.80355, 10.2, GO0076_LC|GO0100_LC
202065757, 94.26828, 24.71399, 12.0, GO0076_LC|GO0118_LC|GO0119_LC
202065775, 94.49309, 24.84831, 11.0, GO0076_LC|GO0119_LC
202065799, 94.49403, 24.816, 11.5, GO0076_LC|GO0119_LC
202065800, 94.34393, 24.61978, 11.5, GO0076_LC
202065801, 94.7245, 24.69136, 11.5, GO0076_LC
202065802, 94.6682, 24.88376, 11.5, GO0076_LC
202065805, 94.58542, 24.52659, 11.6, GO0076_LC
202065807, 94.70555, 24.82935, 11.7, GO0076_LC
202065808, 94.61128, 24.57325, 11.7, GO0076_LC
202065809, 94.37627, 24.67894, 11.7, GO0076_LC
202065810, 94.37731, 24.7288, 11.7, GO0076_LC
202065811, 94.25979, 24.67139, 11.7, GO0076_LC
202065812, 94.31975, 24.862, 11.8, GO0076_LC
202065813, 94.57056, 24.85345, 11.8, GO0076_LC
202065814, 94.72932, 24.62887, 11.8, GO0076_LC
202065815, 94.50496, 24.7889, 11.8, GO0076_LC
202065816, 94.66705, 24.60448, 11.9, GO0076_LC
202065818, 94.56996, 24.52789, 11.9, GO0076_LC
202065819, 94.53534, 24.83398, 11.9, GO0076_LC
202065820, 94.57431, 24.70606, 11.9, GO0076_LC
202065823, 94.75008, 24.75897, 12.0, GO0076_LC
202065824, 94.31187, 24.62532, 12.0, GO0076_LC
202065826, 94.67884, 24.83934, 12.1, GO0076_LC
202065827, 94.37063, 24.51393, 12.1, GO0076_LC
202065828, 94.37181, 24.62049, 12.1, GO0076_LC|GO0111_LC
202065829, 94.67208, 24.7696, 12.1, GO0076_LC|GO0111_LC
202065830, 94.7292, 24.82219, 12.1, GO0076_LC
202065831, 94.60785, 24.52435, 12.1, GO0076_LC
202065832, 94.52886, 24.78659, 12.1, GO0076_LC
202065834, 94.59203, 24.89925, 12.2, GO0076_LC
202065835, 94.56639, 24.82803, 12.2, GO0076_LC
202065836, 94.40617, 24.52992, 12.2, GO0076_LC|GO0111_LC
202065837, 94.54712, 24.91849, 12.2, GO0076_LC
202065838, 94.35707, 24.78901, 12.2, GO0076_LC
202065840, 94.70513, 24.75304, 12.2, GO0076_LC|GO0111_LC
202065841, 94.53435, 24.72368, 12.2, GO0076_LC
202065842, 94.71421, 24.64009, 12.2, GO0076_LC
202065845, 94.55704, 24.69614, 12.3, GO0076_LC|GO0118_LC
202065846, 94.34816, 24.82392, 12.3, GO0076_LC
202065849, 94.53337, 24.81317, 12.4, GO0076_LC
202065850, 94.36256, 24.58102, 12.4, GO0076_LC
202065852, 94.3895, 24.62797, 12.4, GO0076_LC
