EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,cadence [min],Investigation IDs
202060098,96.249167,26.822046999999998,15.18,30,GO0015_LC|GO0047_LC|GO0069_LC|GO0078_LC
202066174,96.8947,25.28955,14.3,30,GO0078_LC
202066175,96.03234,26.698659999999997,14.3,30,GO0078_LC
202066180,92.32624,23.22927,14.4,30,GO0078_LC
202066184,97.45923,25.35656,14.2,30,GO0078_LC
202066185,95.25883,26.379109999999997,13.8,30,GO0078_LC
202066186,92.75194,23.1214,14.1,30,GO0078_LC
202066190,94.19925,26.18917,14.1,30,GO0078_LC
202066192,95.24745,26.12538,14.8,30,GO0078_LC
202066193,92.56127,23.62811,14.0,30,GO0078_LC
202066194,98.9471,28.1432,14.9,30,GO0078_LC
202066196,97.30558,25.4582,14.0,30,GO0078_LC
202066199,92.5531,23.74117,14.2,30,GO0078_LC
202066207,96.3261,26.924970000000002,14.6,30,GO0078_LC
202066208,99.02918000000001,28.232020000000002,14.8,30,GO0078_LC
202066209,92.39708,23.66936,14.0,30,GO0078_LC
202066211,96.07978,26.69383,14.5,30,GO0078_LC
202066212,100.93236,26.84317,14.5,30,GO0078_LC
202066227,100.88766,28.046290000000003,13.7,30,GO0078_LC
202066228,97.57174,27.59692,14.9,30,GO0078_LC
202066233,92.24887,23.81469,14.2,30,GO0078_LC
202066239,98.57365,26.53697,14.3,30,GO0078_LC
202066241,102.52564,15.81049,14.3,30,GO0078_LC
202066242,94.1365,25.83258,14.0,30,GO0078_LC
202066246,91.93964,23.77216,14.5,30,GO0078_LC
202066257,95.13597,26.08229,14.9,30,GO0078_LC
202066258,97.10866999999999,25.36299,14.9,30,GO0078_LC
202066259,100.16409,26.54672,15.0,30,GO0078_LC
202066263,96.6749,26.066999999999997,14.3,30,GO0078_LC
202066264,103.2235,17.7041,15.1,30,GO0078_LC
202066266,92.8651,23.34771,14.2,30,GO0078_LC
202066270,92.43257,23.00554,13.9,30,GO0078_LC
202066275,96.91167,26.01418,14.1,30,GO0078_LC
202066286,92.30336,23.81436,14.6,30,GO0078_LC
202066290,92.55008000000001,23.52489,14.7,30,GO0078_LC
202066309,104.35288,18.58455,14.0,30,GO0078_LC
