# Summary of K2 Program GO0082

Title: KEPLER CAMPAIGN 0: POTENTIAL TARGETS IN YOUNG CLUSTERS AND ASSOCIATIONS

PI: Aigrain,  ()
CoIs: 



# Targets requested by this program that have been observed (175)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
202059586, 92.36892, 23.97958, 14.6, GO0012_LC|GO0082_LC|GO0102_LC
202059600, 92.25988, 23.92136, 15.2, GO0012_LC|GO0082_LC|GO0102_LC
202059606, 92.44196, 24.00558, 15.5, GO0012_LC|GO0034_LC|GO0082_LC|GO0102_LC
202059635, 92.00221, 23.91978, 14.9, GO0012_LC|GO0034_LC|GO0082_LC|GO0102_LC
202059638, 92.34446, 23.969, 15.7, GO0012_LC|GO0034_LC|GO0082_LC|GO0102_LC
202059645, 92.48478, 23.99308, 15.9, GO0012_LC|GO0034_LC|GO0082_LC|GO0102_LC
202059653, 92.51708, 23.98517, 15.7, GO0012_LC|GO0034_LC|GO0082_LC|GO0102_LC
202059697, 91.85875, 24.43994, 14.6, GO0012_LC|GO0034_LC|GO0082_LC|GO0102_LC
202059720, 91.87813, 24.40822, 15.4, GO0012_LC|GO0034_LC|GO0082_LC|GO0102_LC
202059766, 91.90175, 24.47028, 15.0, GO0012_LC|GO0082_LC|GO0102_LC
202060093, 94.92353, 23.28895, 9.3, GO0015_LC|GO0019_LC|GO0036_LC|GO0047_LC|GO0082_LC|GO0100_LC
202060124, 94.60708, 23.57194, 9.0, GO0016_LC|GO0036_LC|GO0044_LC|GO0082_LC|GO0101_LC|GO0111_LC|GO0112_LC
202060132, 95.13568, 23.31732, 10.2, GO0016_LC|GO0036_LC|GO0044_LC|GO0049_LC|GO0082_LC|GO0101_LC|GO0111_LC
202060171, 94.9622, 23.82577, 9.6, GO0017_LC|GO0036_LC|GO0044_LC|GO0049_LC|GO0082_LC
202060176, 94.99949, 23.83561, 9.7, GO0017_LC|GO0036_LC|GO0044_LC|GO0082_LC|GO0100_LC
202060461, 94.60544, 22.95952, 10.2, GO0017_LC|GO0036_LC|GO0049_LC|GO0082_LC|GO0111_LC
202060488, 90.30996, 23.30247, 12.2, GO0017_LC|GO0044_LC|GO0049_LC|GO0082_LC
202060496, 90.32402, 23.30202, 12.8, GO0017_LC|GO0082_LC|GO0111_LC
202060505, 90.28958, 23.39437, 13.5, GO0017_LC|GO0082_LC
202060523, 94.98682, 23.73928, 10.0, GO0017_LC|GO0036_LC|GO0049_LC|GO0082_LC
202060545, 95.09692, 23.26477, 10.2, GO0017_LC|GO0036_LC|GO0049_LC|GO0082_LC|GO0111_LC
202060688, 95.0553, 23.86264, 11.0, GO0017_LC|GO0036_LC|GO0049_LC|GO0082_LC
202061048, 90.29908, 23.39547, 12.8, GO0017_LC|GO0082_LC
202061129, 90.33196, 23.32033, 14.1, GO0017_LC|GO0082_LC
202061131, 90.31175, 23.2754, 14.2, GO0017_LC|GO0082_LC
202061132, 90.32942, 23.38881, 14.3, GO0017_LC|GO0082_LC
202061137, 90.30008, 23.30473, 14.9, GO0017_LC|GO0082_LC
202061144, 90.29713, 23.32124, 15.3, GO0017_LC|GO0082_LC
202061199, 94.97378, 23.26512, 9.2, GO0018_LC|GO0019_LC|GO0036_LC|GO0044_LC|GO0048_LC|GO0082_LC
202062095, 95.24811, 23.8007, 12.0, GO0036_LC|GO0082_LC
202062100, 94.73708, 23.10639, 10.1, GO0036_LC|GO0082_LC|GO0101_LC|GO0111_LC|GO0114_LC
202062106, 94.62287, 22.99217, 11.8, GO0036_LC|GO0081_LC|GO0082_LC|GO0111_LC
202068684, 95.1532, 23.48904, 12.3, GO0081_LC|GO0082_LC
202068685, 94.43422, 23.31085, 12.2, GO0081_LC|GO0082_LC
202068686, 94.37093, 23.19523, 12.2, GO0081_LC|GO0082_LC
202068687, 94.46968, 23.20349, 12.1, GO0081_LC|GO0082_LC|GO0111_LC
202068688, 94.52393, 22.96171, 11.9, GO0081_LC|GO0082_LC
202068689, 95.09499, 23.27015, 12.0, GO0081_LC|GO0082_LC
202068690, 94.87791, 23.22862, 11.7, GO0081_LC|GO0082_LC|GO0111_LC
202068691, 94.7956, 22.93715, 12.1, GO0081_LC|GO0082_LC|GO0111_LC
202068692, 94.59636, 23.40019, 12.0, GO0081_LC|GO0082_LC
202068693, 94.57773, 23.61746, 11.9, GO0081_LC|GO0082_LC
202068694, 94.23516, 23.62386, 12.1, GO0082_LC
202068695, 94.25029, 22.97769, 10.4, GO0082_LC|GO0111_LC
