# Summary of K2 Program GO0102

Title: TARGETING STARS IN THE MASSIVE YOUNG OPEN CLUSTER M35

PI: Sandquist,  ()
CoIs: 



# Targets requested by this program that have been observed (28)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
202059586, 92.36892, 23.97958, 14.6, GO0012_LC|GO0082_LC|GO0102_LC
202059600, 92.25988, 23.92136, 15.2, GO0012_LC|GO0082_LC|GO0102_LC
202059606, 92.44196, 24.00558, 15.5, GO0012_LC|GO0034_LC|GO0082_LC|GO0102_LC
202059635, 92.00221, 23.91978, 14.9, GO0012_LC|GO0034_LC|GO0082_LC|GO0102_LC
202059638, 92.34446, 23.969, 15.7, GO0012_LC|GO0034_LC|GO0082_LC|GO0102_LC
202059645, 92.48478, 23.99308, 15.9, GO0012_LC|GO0034_LC|GO0082_LC|GO0102_LC
202059653, 92.51708, 23.98517, 15.7, GO0012_LC|GO0034_LC|GO0082_LC|GO0102_LC
202059697, 91.85875, 24.43994, 14.6, GO0012_LC|GO0034_LC|GO0082_LC|GO0102_LC
202059720, 91.87813, 24.40822, 15.4, GO0012_LC|GO0034_LC|GO0082_LC|GO0102_LC
202059766, 91.90175, 24.47028, 15.0, GO0012_LC|GO0082_LC|GO0102_LC
202060169, 92.30121, 23.89009, 9.3, GO0017_LC|GO0036_LC|GO0044_LC|GO0102_LC
202060437, 92.11621, 23.92755, 9.6, GO0017_LC|GO0049_LC|GO0102_LC
202060476, 92.50575, 23.89725, 10.0, GO0017_LC|GO0049_LC|GO0102_LC
202060527, 92.09626, 23.92016, 10.0, GO0017_LC|GO0049_LC|GO0100_LC|GO0102_LC
202060532, 92.40719, 23.87169, 10.1, GO0017_LC|GO0049_LC|GO0102_LC
202061814, 91.76614, 24.22437, 13.3, GO0034_LC|GO0101_LC|GO0102_LC|GO0111_LC
202061819, 92.43829, 23.97867, 15.6, GO0034_LC|GO0101_LC|GO0102_LC
202062495, 92.60098, 23.97961, 11.4, GO0047_LC|GO0102_LC
202064247, 92.57267, 23.95672, 12.3, GO0050_LC|GO0102_LC
202073441, 92.30091, 23.88384, 12.7, GO0101_LC|GO0102_LC|GO0118_LC
202073442, 92.53765, 23.9361, 13.6, GO0101_LC|GO0102_LC|GO0111_LC
202073443, 92.38893, 23.93326, 13.8, GO0101_LC|GO0102_LC|GO0111_LC
202073445, 92.42748, 23.96816, 14.4, GO0101_LC|GO0102_LC|GO0111_LC
202073446, 92.19592, 23.94958, 15.7, GO0101_LC|GO0102_LC
202073447, 92.01013, 23.91647, 14.9, GO0101_LC|GO0102_LC
202073469, 91.76825, 24.30092, 15.4, GO0101_LC|GO0102_LC
202073479, 91.78096, 24.47186, 13.9, GO0101_LC|GO0102_LC
202073528, 92.50429, 24.0103, 11.5, GO0102_LC|GO0111_LC
