# Summary of K2 Program GO0103

Title: THE KEPLER EXTRA-GALACTIC SURVEY (KEGS): SUPERNOVAE, AGN, QSOS AND BL LACS

PI: Olling,  ()
CoIs: 



# Targets requested by this program that have been observed (106)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
202059522, 102.69333, 25.04986, 15.82, GO0009_LC|GO0035_LC|GO0061_LC|GO0074_LC|GO0103_LC|GO0106_LC
202060054, 96.48849, 17.79098, 12.5, GO0013_LC|GO0063_LC|GO0075_LC|GO0077_LC|GO0103_LC
202062048, 104.27365, 24.39872, 19.3, GO0035_LC|GO0103_LC|GO0106_LC
202074356, 98.41208, 17.9925, 19.1, GO0103_LC|GO0106_LC
202074357, 101.35042, 21.36422, 19.0, GO0103_LC|GO0106_LC
202074358, 102.47496, 16.7754, 20.4, GO0103_LC
202074359, 103.23041, 16.87228, 18.4, GO0103_LC
202074361, 104.91821, 24.29331, 17.0, GO0103_LC
202074363, 105.14238, 24.98903, 18.5, GO0103_LC
202074372, 100.78542, 22.87361, 16.0, GO0103_LC
202074373, 95.22083, 20.14139, 15.5, GO0103_LC
202074375, 97.4925, 23.57444, 15.4, GO0103_LC
202074377, 96.5875, 24.65556, 15.4, GO0103_LC
202074378, 97.40417, 21.85917, 15.4, GO0103_LC
202074382, 95.52917, 20.33028, 15.4, GO0103_LC
202074385, 95.275, 20.17111, 15.4, GO0103_LC
202074397, 96.82208, 18.80972, 14.8, GO0103_LC|GO0106_LC
202074400, 92.4125, 21.01889, 15.4, GO0103_LC
202074401, 102.65125, 16.35556, 16.0, GO0103_LC
202074402, 102.65667, 16.34278, 15.4, GO0103_LC
202074405, 102.99208, 16.29494, 14.6, GO0103_LC|GO0106_LC
202074407, 98.4125, 26.48472, 15.3, GO0103_LC
202074408, 98.83463, 14.97878, 14.0, GO0103_LC|GO0106_LC
202074413, 97.66792, 18.31111, 15.3, GO0103_LC
202074414, 96.19625, 15.97917, 15.3, GO0103_LC
202074418, 96.19375, 15.96833, 15.3, GO0103_LC
202074419, 97.12763, 21.54986, 14.0, GO0103_LC|GO0106_LC
202074421, 98.79708, 20.66306, 15.2, GO0103_LC
202074423, 98.07808, 19.20703, 14.5, GO0103_LC|GO0106_LC
202074427, 94.17917, 20.31833, 15.2, GO0103_LC
202074430, 101.4225, 22.42944, 16.0, GO0103_LC
202074433, 102.904, 15.37981, 14.7, GO0103_LC|GO0106_LC
202074437, 91.82917, 19.60306, 15.2, GO0103_LC
202074440, 95.28792, 22.92667, 15.2, GO0103_LC
202074443, 103.80996, 24.26331, 15.3, GO0103_LC|GO0106_LC
202074444, 102.98971, 25.84976, 15.0, GO0103_LC|GO0106_LC
202074451, 95.45333, 21.71139, 15.2, GO0103_LC
202074474, 100.927, 28.45464, 14.2, GO0103_LC|GO0106_LC
202074478, 104.29888, 20.43736, 13.8, GO0103_LC|GO0106_LC
202074481, 105.28333, 19.625, 14.9, GO0103_LC
202074484, 101.80875, 24.62306, 15.2, GO0103_LC
202074508, 95.75417, 16.30556, 15.2, GO0103_LC
202074515, 99.23608, 19.32231, 15.0, GO0103_LC|GO0106_LC
202074516, 96.12558, 17.82642, 14.2, GO0103_LC|GO0106_LC
202074517, 96.12125, 17.82889, 15.2, GO0103_LC
202074520, 95.79708, 14.72028, 15.2, GO0103_LC
202074523, 100.82417, 21.00556, 15.3, GO0103_LC
202074525, 100.51542, 21.14306, 15.2, GO0103_LC
202074534, 94.85938, 18.4195, 14.0, GO0103_LC|GO0106_LC
202074538, 95.49083, 19.12889, 15.8, GO0103_LC
202074543, 91.36083, 19.49222, 15.1, GO0103_LC
202074545, 91.36042, 19.45833, 15.1, GO0103_LC
202074547, 93.63833, 23.06444, 15.1, GO0103_LC
202074551, 103.79773, 24.22917, 13.5, GO0103_LC|GO0106_LC
202074558, 104.74408, 25.02575, 13.8, GO0103_LC|GO0106_LC
202074574, 105.89396, 18.95653, 14.0, GO0103_LC|GO0106_LC
202074589, 92.33682, 20.64593, 14.4, GO0103_LC
202074599, 104.67715, 25.19666, 14.3, GO0103_LC|GO0106_LC
202074600, 100.96288, 25.84247, 14.1, GO0103_LC|GO0106_LC
202074603, 98.76431, 22.52111, 14.5, GO0103_LC
202074606, 94.65215, 27.78819, 14.6, GO0103_LC
202074616, 101.07263, 25.93486, 14.6, GO0103_LC|GO0106_LC
202074620, 99.65887, 26.50617, 14.7, GO0103_LC
202074632, 98.10738, 27.99558, 14.6, GO0103_LC|GO0106_LC
202074636, 101.60417, 25.18553, 14.6, GO0103_LC|GO0106_LC
202074640, 97.09782, 23.62486, 14.9, GO0103_LC
202074642, 100.18708, 27.60567, 14.8, GO0103_LC|GO0106_LC
202074651, 101.37602, 25.83054, 15.0, GO0103_LC
202074658, 100.26792, 25.36911, 14.6, GO0103_LC|GO0106_LC
202074659, 96.24145, 14.97693, 15.0, GO0103_LC
202074661, 99.85577, 16.57318, 15.0, GO0103_LC
202074665, 96.66233, 16.01856, 15.1, GO0103_LC
202074668, 92.34988, 20.65454, 15.1, GO0103_LC
202074669, 97.43294, 20.69596, 15.1, GO0103_LC
202074674, 104.31525, 25.03325, 14.1, GO0103_LC|GO0106_LC
202074688, 101.05646, 16.48271, 15.2, GO0103_LC
202074697, 98.54105, 21.53237, 15.2, GO0103_LC
202074704, 101.82067, 25.96569, 14.8, GO0103_LC|GO0106_LC
202074705, 102.2441, 16.99275, 15.2, GO0103_LC
202074719, 99.53986, 27.85447, 15.3, GO0103_LC
202074729, 92.55374, 17.88453, 15.3, GO0103_LC
202074741, 100.94272, 21.38738, 15.3, GO0103_LC|GO0119_LC
202074742, 94.93866, 17.74033, 15.3, GO0103_LC
202074751, 100.32129, 20.85309, 15.4, GO0103_LC
202074752, 103.10095, 17.61165, 15.4, GO0103_LC
202074756, 92.13033, 20.6497, 15.4, GO0103_LC
