# Summary of K2 Program GO0106

Title: NO TITLE PROVIDED (GALAXIES)

PI: Fanelli,  ()
CoIs: 



# Targets requested by this program that have been observed (41)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
202059522, 102.69333, 25.04986, 15.82, GO0009_LC|GO0035_LC|GO0061_LC|GO0074_LC|GO0103_LC|GO0106_LC
202059532, 93.4589, 26.0769, 16.1, GO0009_LC|GO0106_LC
202062048, 104.27365, 24.39872, 19.3, GO0035_LC|GO0103_LC|GO0106_LC
202074356, 98.41208, 17.9925, 19.1, GO0103_LC|GO0106_LC
202074357, 101.35042, 21.36422, 19.0, GO0103_LC|GO0106_LC
202074397, 96.82208, 18.80972, 14.8, GO0103_LC|GO0106_LC
202074405, 102.99208, 16.29494, 14.6, GO0103_LC|GO0106_LC
202074408, 98.83463, 14.97878, 14.0, GO0103_LC|GO0106_LC
202074419, 97.12763, 21.54986, 14.0, GO0103_LC|GO0106_LC
202074423, 98.07808, 19.20703, 14.5, GO0103_LC|GO0106_LC
202074433, 102.904, 15.37981, 14.7, GO0103_LC|GO0106_LC
202074443, 103.80996, 24.26331, 15.3, GO0103_LC|GO0106_LC
202074444, 102.98971, 25.84976, 15.0, GO0103_LC|GO0106_LC
202074474, 100.927, 28.45464, 14.2, GO0103_LC|GO0106_LC
202074478, 104.29888, 20.43736, 13.8, GO0103_LC|GO0106_LC
202074515, 99.23608, 19.32231, 15.0, GO0103_LC|GO0106_LC
202074516, 96.12558, 17.82642, 14.2, GO0103_LC|GO0106_LC
202074534, 94.85938, 18.4195, 14.0, GO0103_LC|GO0106_LC
202074551, 103.79773, 24.22917, 13.5, GO0103_LC|GO0106_LC
202074558, 104.74408, 25.02575, 13.8, GO0103_LC|GO0106_LC
202074574, 105.89396, 18.95653, 14.0, GO0103_LC|GO0106_LC
202074599, 104.67715, 25.19666, 14.3, GO0103_LC|GO0106_LC
202074600, 100.96288, 25.84247, 14.1, GO0103_LC|GO0106_LC
202074616, 101.07263, 25.93486, 14.6, GO0103_LC|GO0106_LC
202074632, 98.10738, 27.99558, 14.6, GO0103_LC|GO0106_LC
202074636, 101.60417, 25.18553, 14.6, GO0103_LC|GO0106_LC
202074642, 100.18708, 27.60567, 14.8, GO0103_LC|GO0106_LC
202074658, 100.26792, 25.36911, 14.6, GO0103_LC|GO0106_LC
202074674, 104.31525, 25.03325, 14.1, GO0103_LC|GO0106_LC
202074704, 101.82067, 25.96569, 14.8, GO0103_LC|GO0106_LC
202074757, 105.60858, 19.97017, 14.6, GO0103_LC|GO0106_LC
202074807, 104.86771, 25.57053, 15.1, GO0103_LC|GO0106_LC
202074833, 97.20088, 24.54275, 14.9, GO0103_LC|GO0106_LC
202074917, 103.3345, 25.29736, 15.1, GO0103_LC|GO0106_LC
202074960, 97.96238, 25.01167, 14.4, GO0103_LC|GO0106_LC
202081038, 95.70775, 24.65072, 13.9, GO0106_LC
202081039, 97.16021, 24.69664, 14.1, GO0106_LC
202081040, 97.27383, 24.53397, 14.0, GO0106_LC
202081042, 98.73492, 24.67992, 14.9, GO0106_LC
202081049, 103.39694, 24.74525, 14.5, GO0106_LC
202081050, 104.16613, 25.22323, 14.4, GO0106_LC
