# Summary of K2 Program GO0114

Title: PHOTOMETRIC OBSERVATIONS OF KNOWN VARIABLE SOURCES FROM AAVSO

PI: Ragozzine,  ()
CoIs: 



# Targets requested by this program that have been observed (49)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
202059333, 94.00058, 23.78326, 9.1, GO0003_LC|GO0016_LC|GO0049_LC|GO0100_LC|GO0101_LC|GO0109_LC|GO0114_LC
202060447, 95.87912, 14.19938, 10.1, GO0017_LC|GO0049_LC|GO0100_LC|GO0101_LC|GO0113_LC|GO0114_LC
202061293, 94.72083, 21.31667, 11.0, GO0020_LC|GO0049_LC|GO0114_LC
202061317, 98.05417, 25.60625, 12.4, GO0025_LC|GO0032_LC|GO0040_LC|GO0095_LC|GO0114_LC
202061318, 99.68384, 18.26999, 14.7, GO0025_LC|GO0032_LC|GO0040_LC|GO0112_LC|GO0114_LC
202062100, 94.73708, 23.10639, 10.1, GO0036_LC|GO0082_LC|GO0101_LC|GO0111_LC|GO0114_LC
202062191, 92.14625, 22.61639, 8.5, GO0036_LC|GO0101_LC|GO0113_LC|GO0114_LC|GO0123_LC
202062457, 93.5001, 27.70341, 10.2, GO0043_LC|GO0083_LC|GO0114_LC
202062472, 101.00437, 22.74214, 12.3, GO0046_LC|GO0114_LC
202064447, 98.82917, 21.29667, 11.3, GO0051_LC|GO0053_LC|GO0111_LC|GO0114_LC|GO0053_SC
202064451, 93.85833, 18.05167, 10.9, GO0051_LC|GO0114_LC
202064452, 100.01238, 28.42621, 11.5, GO0051_LC|GO0097_LC|GO0114_LC|GO0123_LC
202064463, 94.87083, 20.03667, 9.9, GO0051_LC|GO0114_LC
202064472, 99.85, 26.55167, 11.1, GO0051_LC|GO0114_LC|GO0118_LC
202064526, 97.338, 22.18381, 14.5, GO0055_LC|GO0114_LC
202064532, 104.2287, 24.7503, 10.2, GO0055_LC|GO0101_LC|GO0113_LC|GO0114_LC
202064534, 104.4375, 25.20833, 11.2, GO0055_LC|GO0114_LC
202064535, 97.6959, 27.47333, 11.3, GO0055_LC|GO0114_LC
202064539, 92.6667, 20.42333, 13.3, GO0055_LC|GO0114_LC
202064541, 95.68333, 18.53147, 12.1, GO0055_LC|GO0114_LC
202070268, 93.90937, 21.83542, 13.5, GO0083_LC|GO0114_LC
202070273, 101.38831, 16.86303, 11.4, GO0083_LC|GO0114_LC
202071278, 96.0125, 22.89342, 10.2, GO0097_LC|GO0111_LC|GO0114_LC
202071279, 96.00417, 20.47, 10.2, GO0097_LC|GO0101_LC|GO0111_LC|GO0113_LC|GO0114_LC
202072451, 99.40013, 17.79239, 11.1, GO0100_LC|GO0101_LC|GO0109_LC|GO0114_LC
202072929, 97.98417, 19.67111, 10.5, GO0101_LC|GO0109_LC|GO0113_LC|GO0114_LC
202072941, 96.66667, 18.70389, 14.8, GO0101_LC|GO0109_LC|GO0112_LC|GO0114_LC
202073035, 103.9375, 20.50333, 12.2, GO0101_LC|GO0113_LC|GO0114_LC
202073043, 99.925, 17.19278, 13.7, GO0101_LC|GO0109_LC|GO0114_LC
202073117, 93.13792, 19.53694, 12.7, GO0101_LC|GO0113_LC|GO0114_LC
202073135, 98.67958, 15.58167, 11.9, GO0101_LC|GO0109_LC|GO0114_LC
202073145, 94.72917, 20.59861, 11.3, GO0101_LC|GO0111_LC|GO0113_LC|GO0114_LC
202073160, 97.65458, 19.64111, 13.2, GO0101_LC|GO0109_LC|GO0114_LC
202073203, 101.18333, 21.59333, 12.9, GO0101_LC|GO0113_LC|GO0114_LC
202073218, 100.55833, 21.73083, 13.0, GO0101_LC|GO0113_LC|GO0114_LC
202073232, 98.53, 15.28111, 12.3, GO0101_LC|GO0111_LC|GO0113_LC|GO0114_LC
202073248, 101.92542, 23.93667, 12.8, GO0101_LC|GO0109_LC|GO0112_LC|GO0114_LC
202073255, 101.60833, 25.40333, 12.6, GO0101_LC|GO0113_LC|GO0114_LC
202073270, 92.855, 18.54972, 10.5, GO0101_LC|GO0109_LC|GO0113_LC|GO0114_LC
202073294, 95.2375, 20.50833, 12.4, GO0101_LC|GO0113_LC|GO0114_LC
202073297, 95.83417, 20.83278, 15.4, GO0101_LC|GO0109_LC|GO0112_LC|GO0114_LC
202073309, 97.1675, 16.49444, 11.4, GO0101_LC|GO0113_LC|GO0114_LC
202073323, 100.0125, 19.27333, 13.0, GO0101_LC|GO0113_LC|GO0114_LC
202073371, 100.19458, 28.07833, 10.7, GO0101_LC|GO0113_LC|GO0114_LC
202073374, 101.8375, 23.29167, 13.8, GO0101_LC|GO0113_LC|GO0114_LC
202073397, 103.95875, 19.00417, 12.6, GO0101_LC|GO0114_LC
202073398, 92.5125, 20.985, 13.5, GO0101_LC|GO0114_LC
202073402, 93.99292, 23.39778, 10.8, GO0101_LC|GO0111_LC|GO0114_LC
202073438, 99.66333, 19.89417, 15.0, GO0101_LC|GO0109_LC|GO0114_LC
