# Summary of K2 Program GO10001

Title: AGN Variability Studies with Kepler K2 Campaigns 8 and 10

PI: Edelson, Rick (University of Maryland, College Park)
CoIs: Horne, Keith; Stern, Daniel K; Vaughan, Simon; Malkan, Matthew A; McHardy, Ian

Kepler's unprecedented precision, sampling, and duty cycle is revolutionizing the study of AGN optical variability, providing the first observation of a break in the optical PSD of a Seyfert 1 galaxy and clarification of the nature of microvariability in blazars.  Campaign 10 includes two important AGN.  We propose to combine simultaneous SC and X-ray monitoring of the blazar 3C 273 to measure the interband correlation and test the standard synchrotron self-Compton model.  We will use simultaneous LC and Swift UVOT monitoring of the Seyfert 1 galaxy NGC 4593 to perform reverberation mapping of the accretion disk.  We also propose LC monitoring of 201 other AGN/AGN candidates in Campaigns 8 and 10 as part of our program to observe hundreds of AGN throughout the K2 mission.  This will vastly improve the statistical leverage for characterizing AGN optical variability.

# Targets requested by this program that have been observed (114)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
201079736, 181.069432, -7.169162, 16.305, GO10001_LC|GO10005_LC|GO10057_LC
201101375, 183.172801, -6.552753, 16.801, GO10001_LC|GO10005_LC
201110172, 182.435127, -6.307258, 17.533, GO10001_LC
201123420, 183.152808, -5.948963, 17.635, GO10001_LC
201141392, 183.477411, -5.505411, 15.477, GO10070_LC|GO10065_LC|GO10001_LC|GO10005_LC
201142899, 180.642611, -5.467366, 17.026, GO10001_LC|GO10005_LC|GO10057_LC
201149624, 181.221051, -5.303726, 16.256, GO10001_LC|GO10005_LC
201196324, 181.95778, -4.188857, 17.967, GO10001_LC
201218966, 180.309797, -3.678031, 14.973, GO10001_LC|GO10005_LC
201232875, 182.010512, -3.468203, 17.217, GO10001_LC
201247917, 184.940458, -3.239975, 17.091, GO10065_LC|GO10001_LC|GO10005_LC
201281861, 183.201104, -2.724625, 15.73, GO10001_LC
201282310, 184.013575, -2.717968, 17.347, GO10065_LC|GO10001_LC|GO10005_LC
201304783, 182.393722, -2.379218, 17.978, GO10001_LC|GO10005_LC|GO10052_LC
201327005, 185.313894, -2.04819, 17.954, GO10065_LC|GO10001_LC|GO10005_LC|GO10052_LC
201334320, 181.250289, -1.93993, 17.747, GO10001_LC|GO10005_LC|GO10052_LC
201336803, 180.897289, -1.903667, 17.976, GO10001_LC|GO10005_LC|GO10052_LC
201337630, 180.457338, -1.890982, 16.5, GO10001_LC|GO10005_LC|GO10042_LC
201343269, 184.786411, -1.808064, 16.559, GO10070_LC|GO10065_LC|GO10001_LC|GO10005_LC
