# Summary of K2 Program GO10005

Title: Characterizing the Optical Emission from 3C273 and other quasars

PI: Wehrle, Ann E. (Space Science Institute)
CoIs: Carini, Michael Thomas; Wiita, Paul J

We propose to measure the  long and short cadence light curves of the archetypal quasar 3C273 and to measure the long cadence light curves of a large statistically complete sample of 185 quasars drawn from the Sloan Digital Sky Survey
and of 65 bright quasars drawn from other surveys in Fields 8 and 10. The first goal is to characterize the variability of 3C 273 on timescales from minutes to months using continuous observations for 75 days, which has never been done before. Our  second goal is to determine the origin of optical emission in the quasars at the time of K2 observations. The three candidate origins are: 1) a single dominant synchrotron-emitting region in a jet; 2) multiple synchrotron-emitting regions in a jet; and 3) an accretion disk (AD) with one or more thermal emitting regions. Our third  goal is to see how the optical variability amplitude and power spectral densities (PSDs) of the three main classes of quasars --blazars, radio-loud quasars, and radio-quiet quasars --differ on minute-to-months timescales. The candidate origins for optical emission from radio-loud quasars are the same as those for blazars, but without enhanced relativistic beaming in the jet. Optical variations in radio-quiet quasars may originate in an AD with multiple thermal emission regions. We will measure the PSDs of the light curves and determine the PSD slopes which are related to the underlying variability processes, such as turbulence in the relativistic jets or stochastic fluctuations in thermal emission from segments of the AD.

# Targets requested by this program that have been observed (151)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
201079736, 181.069432, -7.169162, 16.305, GO10001_LC|GO10005_LC|GO10057_LC
201101375, 183.172801, -6.552753, 16.801, GO10001_LC|GO10005_LC
201141392, 183.477411, -5.505411, 15.477, GO10070_LC|GO10065_LC|GO10001_LC|GO10005_LC
201142899, 180.642611, -5.467366, 17.026, GO10001_LC|GO10005_LC|GO10057_LC
201149624, 181.221051, -5.303726, 16.256, GO10001_LC|GO10005_LC
201218966, 180.309797, -3.678031, 14.973, GO10001_LC|GO10005_LC
201222309, 184.730801, -3.625306, 18.881, GO10065_LC|GO10005_LC|GO10052_LC
201232877, 182.010512, -3.468153, 16.765, GO10005_LC
201234761, 181.220376, -3.440546, 18.066, GO10005_LC|GO10052_LC
201247917, 184.940458, -3.239975, 17.091, GO10065_LC|GO10001_LC|GO10005_LC
201253776, 182.861739, -3.150743, 16.589, GO10070_LC|GO10005_LC
201277001, 184.324206, -2.798278, 18.57, GO10065_LC|GO10005_LC|GO10052_LC
201282310, 184.013575, -2.717968, 17.347, GO10065_LC|GO10001_LC|GO10005_LC
201296279, 181.85738, -2.50685, 18.175, GO10018_LC|GO10005_LC|GO10048_LC|GO10052_LC|GO10048_SC
201304783, 182.393722, -2.379218, 17.978, GO10001_LC|GO10005_LC|GO10052_LC
