# Summary of K2 Program GO10012

Title: A search for exoplanets and close stellar/substellar companions in the local halo population for K2 campaigns 8 and 10

PI: Lepine, Sebastien (Georgia State University)
CoIs: Jao, Wei-Chun

We propose to continue the systematic search for exoplanets orbiting the very old stars of the Galactic halo, a population of stars that was not targeted to any significant degree in the original Kepler mission, but which we have now just begun to systematically target beginning in K2 campaigns 4 and 5. Following the recent discovery of exoplanets orbiting Kapteyn's star, a known local halo M subdwarf, and the determination of a very old age (~10Gyr) for the exoplanet bearing star Kepler-10, it is now suspected that stars of the Galactic halo population also harbor exoplanets in significant numbers. However, very little is know about the prevalence and properties of exoplanets orbiting old metal-poor stars because this population has been largely overlooked by most exoplanet surveys. However, our astrometric and photometric analysis of the fields to be observed in campaigns 8 and 10 of the Kepler K2 mission identifies 2,926 high-velocity subdwarfs that are unambiguous members of the local Galactic halo. We propose to monitor these halo stars with Kepler, to identify and characterize the first generation of exoplanets in our Galaxy. Light curves of the targeted halo stars will be searched for eclipses or transits, following the methodologies developed in the first Kepler mission. Candidates will be targeted for ground-based, follow-up observations to confirm the existence of the transit, and determine if it is from a planet of from a stellar companion. The detection of eclipsing stellar companions would also be of high interest for stellar astrophysics, as it would provide natural calibrators of the mass-radius relationship; while this relationship is critical to constrain models of stellar structure, such calibrators currently do not exist for low-mass, metal-poor stars. Relevance: this program will directly expand on the original goal of Kepler to find exoplanets orbiting main sequence stars in the Galactic disk. The data collected on local Galactic halo stars will be complement existing result from the Kepler mission by providing statistics and/or properties of exoplanets orbiting old, metal-poor stars.

# Targets requested by this program that have been observed (1550)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
201077887, 182.401001, -7.221985, 13.167, GO10012_LC|GO10077_LC
201079159, 182.644706, -7.185072, 17.779, GO10012_LC
201081635, 182.925967, -7.113535, 17.973, GO10012_LC
201083632, 182.379319, -7.055918, 14.455, GO10012_LC|GO10042_LC
201086199, 179.993025, -6.984145, 18.566, GO10012_LC
201086761, 183.197079, -6.967253, 17.574, GO10012_LC
201087792, 181.098391, -6.938621, 17.886, GO10012_LC
201088156, 179.989311, -6.927859, 14.934, GO10012_LC
201089722, 181.462342, -6.884879, 17.689, GO10012_LC
201090651, 179.545638, -6.859885, 18.439, GO10012_LC
201090813, 179.932105, -6.855063, 11.397, GO10051_LC|GO10012_LC|GO10032_LC|GO10031_LC
201092183, 179.702245, -6.816791, 17.618, GO10012_LC
201092378, 180.220652, -6.8116, 15.174, GO10012_LC|GO10042_LC
201092479, 183.30588, -6.808456, 17.438, GO10012_LC
201092502, 179.733581, -6.807811, 18.039, GO10012_LC
201092644, 181.25676, -6.804472, 18.706, GO10012_LC
201093712, 182.317562, -6.773318, 15.233, GO10012_LC
201094014, 182.244673, -6.765659, 17.731, GO10012_LC
201094399, 183.44807, -6.754465, 17.819, GO10012_LC
201094461, 180.913474, -6.752819, 14.302, GO10012_LC
201095317, 181.207315, -6.72818, 17.072, GO10012_LC
201098430, 180.366341, -6.639077, 18.463, GO10012_LC
201098553, 181.557778, -6.635074, 18.809, GO10012_LC
201099256, 180.592933, -6.614204, 18.286, GO10012_LC
201099373, 182.504195, -6.61093, 16.991, GO10012_LC
201099396, 180.7072, -6.610396, 17.755, GO10012_LC
201100395, 179.599482, -6.580763, 16.309, GO10012_LC
201100941, 183.191465, -6.56546, 14.256, GO10012_LC
201101799, 183.598783, -6.540491, 14.959, GO10012_LC
201104283, 181.682999, -6.469839, 18.177, GO10012_LC
201104995, 182.892741, -6.449977, 18.027, GO10012_LC
201105170, 179.938692, -6.445439, 17.059, GO10012_LC
201105200, 181.179552, -6.444487, 17.854, GO10012_LC
201107331, 181.342488, -6.38455, 18.208, GO10012_LC
201108131, 180.666171, -6.36258, 17.334, GO10012_LC
201108149, 181.125832, -6.362254, 15.76, GO10012_LC
201108671, 181.206407, -6.348718, 14.839, GO10012_LC
201108908, 183.686067, -6.342173, 15.953, GO10012_LC
201109575, 181.281514, -6.323887, 14.69, GO10012_LC
201109803, 179.834134, -6.318105, 16.363, GO10012_LC
201110357, 179.798414, -6.301465, 17.995, GO10012_LC
201110539, 179.525584, -6.296185, 17.271, GO10012_LC
201111107, 179.544448, -6.279822, 16.123, GO10012_LC
201111194, 183.196704, -6.277343, 15.237, GO10012_LC
201111929, 183.799018, -6.256926, 16.079, GO10012_LC
201112693, 183.294954, -6.236157, 16.611, GO10012_LC
201112758, 183.146285, -6.234231, 13.658, GO10012_LC|GO10077_LC
201113407, 183.190771, -6.216708, 17.933, GO10012_LC
201115193, 179.75951, -6.16953, 16.655, GO10012_LC
201115883, 183.765347, -6.150996, 15.498, GO10012_LC
201116110, 181.081549, -6.144789, 17.379, GO10012_LC
201117117, 183.983663, -6.115756, 17.261, GO10012_LC
201117332, 181.419932, -6.109458, 15.01, GO10012_LC|GO10042_LC
201117404, 180.39695, -6.107238, 15.937, GO10012_LC
201117646, 182.620511, -6.10178, 15.823, GO10012_LC
201122411, 183.082108, -5.974866, 10.48, GO10068_LC|GO10012_LC|GO10032_LC|GO10077_LC
201122433, 184.101078, -5.974106, 17.784, GO10012_LC
201122571, 183.52843, -5.970579, 17.77, GO10012_LC
201123164, 179.625532, -5.955078, 18.619, GO10012_LC
201124087, 179.975526, -5.933376, 17.0, GO10012_LC
201125074, 181.54452, -5.908922, 16.77, GO10012_LC
201129383, 180.915324, -5.802438, 16.083, GO10012_LC
201129522, 183.256111, -5.799545, 15.853, GO10012_LC
201129637, 179.489521, -5.796552, 16.125, GO10012_LC
201131722, 182.37843, -5.744607, 18.279, GO10012_LC
201132194, 181.812805, -5.733781, 10.081, GO10051_LC|GO10012_LC|GO10032_LC|GO10077_LC|GO10028_LC
201133661, 182.957292, -5.698104, 15.138, GO10012_LC
201134678, 179.548613, -5.672579, 16.303, GO10012_LC
201134986, 180.154605, -5.66487, 13.876, GO10012_LC|GO10077_LC
201135326, 183.085511, -5.65543, 17.404, GO10012_LC
201137194, 179.765217, -5.6081, 17.767, GO10012_LC
201137787, 184.385672, -5.593288, 18.318, GO10012_LC
201138090, 180.066415, -5.58629, 16.752, GO10012_LC
201139443, 182.586813, -5.55289, 17.59, GO10012_LC
201140582, 182.395501, -5.524171, 16.01, GO10012_LC|GO10042_LC
201140599, 183.228947, -5.523803, 15.814, GO10012_LC|GO10042_LC
201141127, 182.905644, -5.511394, 17.958, GO10012_LC
201141452, 179.890645, -5.504001, 16.675, GO10012_LC
201143377, 181.624036, -5.455254, 16.169, GO10012_LC
201144217, 181.100139, -5.434525, 14.219, GO10012_LC
201145850, 179.824683, -5.394079, 17.883, GO10012_LC
