# Summary of K2 Program GO10036

Title: Giants Orbiting Giants: A Search for Transiting Planets around Oscillating Red-Giant Branch Stars with K2

PI: Huber, Daniel (SETI Institute)
CoIs: Lopez, Eric David; Mann, Andrew Withycombe; Chaplin, William J; Fortney, Jonathan J; Gaidos, Eric; Pinsonneault, Marc Howard; Johnson, John Asher

While exoplanet transit surveys are increasingly focused on cool dwarfs, transiting planets orbiting red-giant branch (RGB) stars are largely unexplored. Due to their diversity in fundamental properties (masses, luminosities, chemical compositions), RGB stars are ideal targets to tackle two key unsolved questions in exoplanet science: the occurrence rate of gas-giant planets as a function of host star mass, and the role of stellar incident flux on the radius inflation of gas-giant planets. We propose to continue our survey of low-luminosity RGB stars (with radii between ~3.5-8 solar radii) to detect transiting gas-giant planets with K2 and address the above science questions by combining exoplanet transits and asteroseismology.

We have selected ~1400 targets for long-cadence observations using colors, reduced proper motions, and publicly available spectroscopic surveys. Planet candidates will be detected using a Box-Fitting Least Squares (BLS) algorithm coupled with a correlated noise model to account for stellar granulation. Since RGB stars oscillate with periods accessible with long-cadence data, we will use asteroseismology to precisely characterize both the host stars and the detected planet candidates. Follow-up ground-based radial velocity observations will be used to confirm the planet candidates.

The proposal addresses two main K2 science goals: exoplanet detection and stellar astrophysics. Due to the low number of K2 short-cadence slots, our survey is the only K2 program allowing a systematic combination of asteroseismology and transits to characterize exoplanets. Kepler was not optimized towards observing bright low-luminosity RGB stars, and hence new K2 observations are required to address the key science questions of this project.

# Targets requested by this program that have been observed (880)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
201050511, 181.969689, -8.093125, 11.056, GO10068_LC|GO10032_LC|GO10077_LC|GO10036_LC
201074673, 182.58372, -7.316859, 13.388, GO10042_LC|GO10036_LC
201078156, 182.714574, -7.214707, 13.766, GO10077_LC|GO10042_LC|GO10036_LC
201078691, 182.150002, -7.198336, 14.174, GO10077_LC|GO10042_LC|GO10036_LC
201079541, 181.247634, -7.174651, 11.446, GO10042_LC|GO10036_LC
201079852, 182.182136, -7.16571, 13.85, GO10042_LC|GO10036_LC
201081526, 182.352271, -7.116555, 10.302, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10036_LC
201082152, 181.594572, -7.098511, 11.004, GO10036_LC
201082692, 180.733774, -7.082625, 12.683, GO10068_LC|GO10077_LC|GO10042_LC|GO10036_LC
201087484, 182.498846, -6.947301, 11.647, GO10066_LC|GO10042_LC|GO10036_LC
201088726, 182.58119, -6.911566, 11.466, GO10032_LC|GO10042_LC|GO10036_LC
201089316, 181.045101, -6.895709, 12.507, GO10042_LC|GO10036_LC
201089632, 183.004732, -6.886997, 10.007, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10036_LC
201091253, 180.762159, -6.842036, 12.33, GO10042_LC|GO10036_LC
201091790, 182.463746, -6.827726, 11.08, GO10068_LC|GO10077_LC|GO10042_LC|GO10036_LC
201092039, 181.03433, -6.820523, 12.006, GO10042_LC|GO10036_LC
201092727, 181.415923, -6.802351, 11.294, GO10068_LC|GO10077_LC|GO10040_LC|GO10066_LC|GO10042_LC|GO10036_LC
