 EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
201158097, 173.162263, -5.102446, 10.359, GO1054_LC|GO1005_LC
201159953, 173.985667, -5.057719, 9.477, GO1054_LC|GO1005_LC|GO1073_LC
201162929, 176.960792, -4.986242, 9.897, GO1059_LC|GO1005_LC
201170396, 176.017025, -4.807251, 8.159, GO1027_LC|GO1054_LC|GO1005_LC|GO1073_LC
201175045, 170.919342, -4.696386, 9.761, GO1005_LC|GO1073_LC
201182789, 176.173081, -4.510843, 7.72, GO1054_LC|GO1005_LC|GO1027_LC|GO1038_SC
201202322, 170.768416, -4.049778, 9.241, GO1005_LC
201228539, 173.030068, -3.533193, 9.679, GO1005_LC|GO1073_LC
201266994, 177.954574, -2.949727, 10.687, GO1054_LC|GO1005_LC
201304346, 174.051035, -2.385881, 10.488, GO1005_LC
201304357, 174.051296, -2.385707, 10.01, GO1005_LC
201357016, 167.329365, -1.59994, 10.047, GO1059_LC|GO1005_LC
201366465, 167.165407, -1.463207, 9.578, GO1027_LC|GO1054_LC|GO1005_LC
201432080, 174.56409, -0.478337, 10.086, GO1005_LC
201451021, 177.463951, -0.20427, 10.309, GO1054_LC|GO1059_LC|GO1005_LC
201770476, 174.308841, 4.839332, 10.561, GO1054_LC|GO1005_LC
201862715, 175.90838, 6.563726, 10.247, GO1054_LC|GO1059_LC|GO1005_LC|GO1041_SC|GO1032_SC
201885585, 170.87433, 7.025042, 9.839, GO1002_LC|GO1052_LC|GO1036_LC|GO1062_LC|GO1070_LC|GO1068_LC|GO1059_LC|GO1005_LC
201935402, 171.62825, 8.094721, 9.29, GO1054_LC|GO1005_LC|GO1073_LC
