# Summary of K2 Program GO10066

Title: Catch K2-Twos: Finding the Best Planets for Ground-Based Follow Up Spectrophotometry

PI: Mandell, Avi M (NASA GSFC)
CoIs: Morris, Brett M; Huitson, Catherine; Angerhausen, Daniel

Studying extrasolar planets is one of the major frontiers of astronomy today.  The field has transformed from simple identification to comprehensive categorization and characterization of exoplanets and exoplanetary systems. Analyses of data provided by the NASA's Kepler mission has revolutionized this field by compiling a statistically significant number of transiting planets and planetary candidates, providing  time series data for a large sample of systems that can be utilized in consistent comparative studies (e.g. Angerhausen et al., 2015).

One promising new way to further characterize some of these transiting systems are methods using ground-based multi-object spectrographs for transit and eclipse spectrophotometry such as GMOS in the optical (e.g. Stevenson et al., 2014; Huitson et al., 2015, in prep.) or MOSFIRE in the infrared (e.g. Crossfield et al., 2013; Morris et al, 2015, subm.).  These emerging ground-based methods allow access to larger apertures and better time-sampling of transit lightcurves than equivalent HST methods. They therefore have the potential to observe transits at the precisions achievable from space but at a fraction of the cost and with the possibility of repeated measurements in wavelength bands not available from space until the start of JWST. 

However, most of the planets found by the Kepler telescope have host stars that are too faint to be followed up with spectrophotometric techniques even with space based platforms such as Hubble or Spitzer. The ground-based methods are even further constrained by the need for similarly bright comparison stars in close neighborhood to the observed host star of the transiting system. In order to reduce instrumental systematics and optimize the time-sampling needed for transit atmosphere observations, the comparison stars must be bright, of similar magnitude to the exoplanet host star and be within a few arcmin.

To identify ideal candidates for ground-based characterization studies, we therefore we propose to use the single, visible wavelength instrument on board of K2 to obtain high-precision long cadence photometry on of the best suited 500 pairs of similarly bright stars (mag < 12, separation < 5 arcmin). Assuming an occurrence of well-vetted planet candidates with P d 30 d of about ~2%, we expect to find ~20 systems that will be accessible for spectrophotometric follow up from the ground.

The goal of high precision time resolved photometry is to reduce or in the best case remove all noise to achieve photon-noise limited photometry. After years of experience with these data a number of best practices for their handling have emerged: For the reduction and preparation of K2 data as well as for the planet search in the reduced data, we have access to a number of standard procedures that are already widely used in the community (e.g. the PyKe tools,  Barclay & Still 2012;  K2 specific best practices, Foreman-Mackey et al. 2015; or SIP, Angus et al. 2015).  

Finding these extremely valuable targets will enable us to do exactly the kind of basic research that advances our knowledge by characterization of planets and planetary systems outside of our Solar System in order to determine their compositions, dynamics, energetics, and chemical behaviors. The proposed study will directly support NASAs goal to Discover and study planets around other stars, in order to understand the underlying physical processes of exoplanets and to improve understanding of their origins.

# Targets requested by this program that have been observed (488)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
201084880, 182.419444, -7.021149, 9.727, GO10066_LC|GO10042_LC
201085616, 183.061915, -7.001064, 8.603, GO10066_LC
201087168, 183.092594, -6.955544, 10.371, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201087484, 182.498846, -6.947301, 11.647, GO10066_LC|GO10042_LC|GO10036_LC
201087710, 182.421755, -6.941015, 11.463, GO10068_LC|GO10032_LC|GO10077_LC|GO10040_LC|GO10066_LC
201088178, 182.829254, -6.927216, 11.392, GO10066_LC|GO10042_LC
201090041, 182.864493, -6.876558, 11.2, GO10066_LC|GO10042_LC
201092727, 181.415923, -6.802351, 11.294, GO10068_LC|GO10077_LC|GO10040_LC|GO10066_LC|GO10042_LC|GO10036_LC
201094853, 181.358761, -6.74211, 10.067, GO10066_LC|GO10042_LC|GO10036_LC
201100954, 181.463812, -6.565101, 11.005, GO10066_LC|GO10042_LC
201101802, 181.462899, -6.540369, 8.597, GO10066_LC|GO10031_LC
201101818, 181.440523, -6.540018, 11.198, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201102104, 181.428061, -6.53134, 10.687, GO10066_LC|GO10042_LC
201104421, 182.591467, -6.466232, 10.572, GO10901_LC|GO10068_LC|GO10013_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201104475, 182.585097, -6.464845, 10.659, GO10013_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10036_LC
201105824, 180.913462, -6.426731, 10.324, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201107186, 180.913366, -6.388321, 10.658, GO10068_LC|GO10051_LC|GO10077_LC|GO10040_LC|GO10066_LC
201109198, 182.446836, -6.334286, 9.738, GO10066_LC
201110785, 182.438554, -6.288706, 10.454, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201112672, 179.632954, -6.23655, 11.408, GO10066_LC|GO10042_LC|GO10036_LC
201115468, 179.667804, -6.161817, 10.167, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC|GO10042_LC|GO10036_LC
201116874, 179.636688, -6.122119, 11.371, GO10077_LC|GO10066_LC
201119550, 182.768287, -6.049471, 11.038, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC
201121982, 182.749962, -5.985149, 11.103, GO10068_LC|GO10066_LC|GO10042_LC
201125876, 183.752314, -5.888677, 11.625, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
201127676, 183.767223, -5.844066, 10.0, GO10066_LC|GO10042_LC
201127882, 180.57898, -5.83778, 9.755, GO10051_LC|GO10077_LC|GO10066_LC
201129445, 180.572334, -5.801113, 10.735, GO10068_LC|GO10077_LC|GO10066_LC|GO10042_LC|GO10036_LC
201129979, 180.591325, -5.788, 9.849, GO10066_LC|GO10042_LC
201130547, 181.187089, -5.773235, 8.711, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10031_LC
201131505, 181.110064, -5.749937, 10.439, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10040_LC|GO10066_LC|GO10042_LC
201133876, 184.115459, -5.693373, 10.131, GO10077_LC|GO10066_LC
201134908, 184.066491, -5.667038, 10.27, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
201137706, 183.39235, -5.595406, 10.648, GO10032_LC|GO10077_LC|GO10066_LC
201139929, 183.368817, -5.540407, 10.778, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
201155712, 182.767632, -5.159491, 11.191, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201156130, 181.22361, -5.149282, 10.481, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201157066, 181.155717, -5.12721, 10.994, GO10032_LC|GO10077_LC|GO10066_LC
201158054, 182.819259, -5.103322, 10.499, GO10066_LC|GO10042_LC
201162465, 180.024551, -4.998034, 11.614, GO10077_LC|GO10066_LC
201162894, 180.022873, -4.987157, 10.855, GO10066_LC|GO10042_LC
201164368, 180.068935, -4.95296, 11.612, GO10066_LC|GO10042_LC
201165665, 181.097433, -4.922465, 9.592, GO10066_LC|GO10042_LC
201166680, 181.121405, -4.899185, 10.897, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201175016, 179.802829, -4.697235, 11.116, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10036_LC
201176307, 179.810301, -4.664644, 11.602, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
201193341, 183.109309, -4.258144, 10.061, GO10066_LC|GO10042_LC
201194761, 183.184053, -4.223607, 11.546, GO10066_LC|GO10042_LC|GO10036_LC
201209947, 181.201068, -3.869587, 11.103, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201212359, 181.230836, -3.811666, 10.523, GO10901_LC|GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201215767, 184.081526, -3.734415, 10.268, GO10077_LC|GO10066_LC|GO10028_LC
201218013, 184.089629, -3.694901, 10.979, GO10032_LC|GO10077_LC|GO10066_LC
201223630, 180.614472, -3.605102, 11.573, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
201224464, 183.004106, -3.592341, 11.436, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201225119, 183.295602, -3.582855, 10.546, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201225286, 180.540899, -3.580723, 11.729, GO10068_LC|GO10077_LC|GO10066_LC
201225292, 181.560048, -3.580657, 11.32, GO10066_LC|GO10042_LC|GO10036_LC
201226362, 183.073752, -3.565042, 10.805, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201226392, 183.3365, -3.56465, 11.068, GO10066_LC|GO10042_LC|GO10036_LC
201226471, 181.592278, -3.563464, 10.5, GO10051_LC|GO10066_LC|GO10042_LC
201240283, 184.838919, -3.356499, 11.473, GO10068_LC|GO10077_LC|GO10066_LC
201244088, 184.82163, -3.298965, 10.015, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201263681, 185.080758, -3.000518, 10.309, GO10066_LC|GO10042_LC
201267653, 180.180781, -2.94056, 11.407, GO10906_LC|GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201268743, 185.090898, -2.9239, 11.26, GO10068_LC|GO10032_LC|GO10066_LC|GO10042_LC|GO10033_LC
201270035, 180.239366, -2.904702, 11.646, GO10068_LC|GO10077_LC|GO10066_LC|GO10042_LC
201273712, 183.918801, -2.848649, 11.467, GO10077_LC|GO10066_LC
201277354, 183.897646, -2.792898, 9.696, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201285127, 180.659507, -2.675545, 11.286, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC
201288952, 180.650376, -2.615608, 9.876, GO10066_LC|GO10042_LC
201294760, 181.442909, -2.528715, 10.078, GO10051_LC|GO10066_LC|GO10042_LC
201299177, 181.477711, -2.463261, 8.852, GO10077_LC|GO10066_LC|GO10028_LC
201303324, 183.968814, -2.401451, 11.286, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC|GO10033_LC
201305323, 182.037372, -2.370929, 11.408, GO10051_LC|GO10066_LC|GO10042_LC
201305553, 182.115827, -2.367449, 11.578, GO10032_LC|GO10077_LC|GO10066_LC
201306684, 183.991756, -2.349945, 11.674, GO10068_LC|GO10077_LC|GO10066_LC
201324383, 180.675315, -2.087332, 11.153, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201327341, 185.334542, -2.042839, 11.713, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
201328370, 180.757707, -2.027642, 11.423, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201328851, 180.69661, -2.02065, 10.499, GO10066_LC|GO10028_LC
201329887, 185.271276, -2.005415, 10.85, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
201332176, 180.452465, -1.973377, 11.278, GO10068_LC|GO10077_LC|GO10066_LC
201335555, 180.485264, -1.922521, 10.338, GO10066_LC|GO10042_LC
201378090, 183.585864, -1.292123, 11.366, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
201380891, 183.538465, -1.249156, 10.697, GO10051_LC|GO10032_LC|GO10066_LC|GO10033_LC|GO10028_LC
201382898, 184.59614, -1.219017, 11.809, GO10066_LC|GO10036_LC
201386192, 183.559079, -1.16871, 9.726, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC|GO10028_LC
201386279, 184.538968, -1.167299, 10.173, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC|GO10028_LC
201397123, 183.244264, -1.00524, 10.359, GO10066_LC|GO10042_LC
201402332, 183.239546, -0.925439, 10.324, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC|GO10028_LC
201412179, 182.412658, -0.773648, 9.538, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
201413152, 182.357685, -0.758544, 8.285, GO10051_LC|GO10077_LC|GO10066_LC|GO10028_LC
201415722, 180.456031, -0.719287, 11.219, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10036_LC
201416151, 184.319649, -0.712878, 10.624, GO10056_LC|GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC|GO10008_LC
201416741, 184.253017, -0.704164, 10.799, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201418304, 180.385745, -0.679819, 10.84, GO10066_LC|GO10042_LC
201419619, 181.986305, -0.66045, 10.052, GO10041_LC|GO10066_LC|GO10042_LC
201422009, 182.060107, -0.624772, 11.739, GO10068_LC|GO10013_LC|GO10032_LC|GO10077_LC|GO10059_LC|GO10066_LC|GO10042_LC|GO10033_LC
201431499, 182.145266, -0.48673, 10.178, GO10066_LC|GO10042_LC|GO10036_LC
201431768, 182.092517, -0.48263, 10.618, GO10056_LC|GO10021_LC|GO10032_LC|GO10066_LC|GO10042_LC|GO10033_LC|GO10008_LC|GO10049_LC
201433531, 182.146132, -0.456759, 10.334, GO10032_LC|GO10037_LC|GO10077_LC|GO10066_LC|GO10033_LC|GO10028_LC|GO10037_SC
201445669, 181.163952, -0.280815, 10.248, GO10068_LC|GO10032_LC|GO10077_LC|GO10059_LC|GO10066_LC|GO10033_LC
201449415, 181.199375, -0.22672, 10.448, GO10032_LC|GO10066_LC|GO10033_LC
201460700, 185.630615, -0.064636, 11.04, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
201460855, 184.375811, -0.062316, 11.051, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
