# Summary of K2 Program GO10901

Title: Searching For Planets In Binary Stars

PI: Wang, Ji (Caltech)
CoIs: 



# Targets requested by this program that have been observed (72)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
201084254, 183.215928, -7.038535, 10.459, GO10901_LC|GO10056_LC|GO10068_LC|GO10013_LC|GO10032_LC
201104421, 182.591467, -6.466232, 10.572, GO10901_LC|GO10068_LC|GO10013_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201115532, 183.969867, -6.160412, 7.344, GO10901_LC|GO10063_LC|GO10031_LC|GO10036_LC
201198228, 181.321883, -4.143668, 15.992, GO10901_LC|GO10059_LC
201212359, 181.230836, -3.811666, 10.523, GO10901_LC|GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201231473, 184.544688, -3.489385, 15.31, GO10901_LC|GO10031_LC
201246963, 179.950642, -3.254692, 14.319, GO10901_LC|GO10906_LC|GO10013_LC|GO10032_LC|GO10059_LC
201281133, 181.951801, -2.735993, 16.317, GO10901_LC|GO10056_LC
201289094, 180.263987, -2.613576, 18.779, GO10901_LC
201300237, 180.882372, -2.446927, 8.59, GO10901_LC|GO10077_LC|GO10028_LC
201334501, 185.951172, -1.93744, 15.389, GO10901_LC|GO10013_LC|GO10059_LC
201349821, 183.76884, -1.708828, 17.739, GO10901_LC
201352819, 185.112937, -1.663305, 17.467, GO10901_LC
201375835, 183.750079, -1.326593, 7.303, GO10901_LC|GO10063_LC|GO10031_LC
201406921, 183.735442, -0.854026, 11.247, GO10901_LC|GO10032_LC|GO10042_LC|GO10036_LC|GO10033_LC
201424216, 180.761165, -0.591594, 13.961, GO10901_LC|GO10013_LC|GO10077_LC|GO10042_LC|GO10033_LC
201439222, 183.837496, -0.372798, 17.644, GO10901_LC
201441367, 182.688624, -0.342011, 14.03, GO10901_LC|GO10032_LC|GO10033_LC
201441859, 184.252456, -0.33473, 16.925, GO10901_LC
201469695, 180.732879, 0.068081, 13.87, GO10901_LC|GO10013_LC|GO10032_LC|GO10077_LC|GO10042_LC|GO10033_LC
201471014, 184.965611, 0.087298, 14.615, GO10901_LC|GO10013_LC|GO10032_LC|GO10059_LC
201490587, 184.98735, 0.381441, 16.93, GO10901_LC
201506182, 182.596769, 0.61663, 13.724, GO10901_LC|GO10013_LC|GO10032_LC|GO10077_LC|GO10059_LC|GO10042_LC
201524098, 185.635791, 0.893961, 16.292, GO10901_LC
201578486, 184.281802, 1.712521, 9.273, GO10901_LC|GO10003_LC|GO10028_LC
201624633, 186.176008, 2.423281, 9.039, GO10901_LC|GO10013_LC|GO10051_LC|GO10036_LC
201647148, 185.695614, 2.771722, 12.487, GO10901_LC|GO10068_LC|GO10013_LC|GO10032_LC|GO10077_LC|GO10059_LC|GO10042_LC
228711071, 185.832171, -10.80476, 12.839, GO10901_LC|GO10059_LC|GO10042_LC|GO10031_LC
228712138, 186.883349, -10.74994, 10.473, GO10901_LC|GO10066_LC
228712145, 186.883265, -10.749628, 10.473, GO10901_LC|GO10068_LC|GO10077_LC
228726254, 189.443098, -10.046678, 10.916, GO10901_LC|GO10068_LC|GO10013_LC|GO10032_LC|GO10077_LC|GO10059_LC
228727658, 182.525206, -9.978394, 12.903, GO10901_LC|GO10068_LC|GO10077_LC|GO10059_LC
228734867, 185.171411, -9.626305, 10.158, GO10901_LC|GO10068_LC|GO10051_LC|GO10077_LC
228742013, 186.063522, -9.287319, 13.776, GO10901_LC|GO10013_LC|GO10077_LC
228744258, 188.815605, -9.182746, 10.842, GO10901_LC|GO10068_LC|GO10013_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10059_LC
228776043, 191.085453, -7.789482, 18.566, GO10901_LC
228783524, 184.026037, -7.465775, 9.043, GO10901_LC|GO10068_LC|GO10077_LC
228834801, 189.684432, -5.327676, 8.733, GO10901_LC|GO10013_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10031_LC
228847962, 190.746056, -4.778455, 17.473, GO10901_LC
228852829, 190.005453, -4.57298, 14.69, GO10901_LC|GO10056_LC|GO10013_LC|GO10032_LC|GO10059_LC|GO10033_LC
228853773, 190.216815, -4.532567, 17.859, GO10901_LC
228859428, 190.359135, -4.292554, 10.641, GO10901_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10036_LC|GO10033_LC
228884975, 186.753236, -3.534916, 8.563, GO10901_LC|GO10013_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10002_LC|GO10033_LC|GO10002_SC
228936359, 189.854137, -2.636596, 14.62, GO10901_LC
228938737, 192.586376, -2.592997, 13.022, GO10901_LC|GO10013_LC|GO10077_LC|GO10059_LC
228949821, 190.571977, -2.396218, 16.155, GO10901_LC|GO10012_LC
228956839, 193.089412, -2.270652, 17.185, GO10901_LC|GO10013_LC
228957413, 192.173521, -2.260756, 18.49, GO10901_LC|GO10012_LC
228960598, 193.863628, -2.204871, 14.855, GO10901_LC|GO10059_LC
228962655, 186.638533, -2.16827, 13.403, GO10901_LC|GO10013_LC|GO10059_LC|GO10042_LC|GO10031_LC
228973160, 188.198035, -1.974698, 18.432, GO10901_LC
228977696, 188.088008, -1.8926, 11.553, GO10901_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10031_LC
228977940, 186.619849, -1.887939, 9.429, GO10901_LC|GO10068_LC|GO10066_LC
228977953, 186.619604, -1.887669, 9.429, GO10901_LC|GO10077_LC|GO10028_LC
228982349, 190.433909, -1.807997, 14.435, GO10901_LC
228992752, 193.658936, -1.622409, 15.224, GO10901_LC|GO10031_LC
229003673, 192.021324, -1.426246, 14.772, GO10901_LC|GO10013_LC|GO10032_LC
229003914, 189.372332, -1.421562, 15.547, GO10901_LC|GO10059_LC|GO10031_LC
229004311, 188.98369, -1.414609, 8.573, GO10901_LC
229009621, 191.119897, -1.319161, 13.969, GO10901_LC
229043433, 187.164161, -0.580161, 11.629, GO10901_LC|GO10013_LC|GO10059_LC|GO10042_LC
229043516, 187.862993, -0.578578, 17.135, GO10901_LC|GO10013_LC
229080429, 189.561307, 0.282104, 15.563, GO10901_LC|GO10013_LC|GO10032_LC|GO10059_LC
229103039, 188.566576, 0.85829, 15.769, GO10901_LC|GO10056_LC|GO10013_LC|GO10059_LC
229107115, 187.442569, 0.959932, 13.91, GO10901_LC|GO10077_LC
229111948, 188.774197, 1.08748, 18.862, GO10901_LC
229121547, 187.810894, 1.326958, 7.627, GO10901_LC|GO10077_LC|GO10031_LC|GO10028_LC
229142862, 189.696719, 1.82768, 13.073, GO10901_LC|GO10013_LC|GO10077_LC
229154173, 187.762816, 2.109203, 9.287, GO10901_LC|GO10077_LC|GO10028_LC
229154176, 187.762442, 2.109298, 9.287, GO10901_LC
229164119, 187.645504, 2.376411, 14.907, GO10901_LC|GO10013_LC
229170973, 187.842666, 2.564887, 17.754, GO10901_LC
