# Summary of K2 Program GO11024

Title: Planets Around Low-Metallicity Stars (K2 GO4)

PI: Cochran, William D. (The University of Texas at Austin)
CoIs: Paetzold, Martin; Rauer, Heike; Lee, Byeong-Cheol; Yong, David; Endl, Michael; Fridlund, Malcolm Carl Wilhelm

Objectives:
A major result from surveys for extrasolar planets that has dramatically shaped our thinking about the formation of planetary systems is the very strong tendency for gas-giant planets to be found around metal-rich stars.  This trend is not seen, however, around super-Earth and Earth-size planets (Buchhave et al 2014).  We propose to search a large sample of sub-solar metallicity ([Fe/H] < 0.0) stars in the fields of K2 GO Cycle 4 Campaigns 11, 12, and 13 for transiting planets of all sizes.  Stars in this metallicity range fall into three populations: a) the thin-disk (which also extends into super-solar metallicity), b) the thick-disk, and c) the halo (which extends to extremely metal poor stars). These three populations differ both kinematically and chemically.  Thick disk stars exhibit a larger vertical scale height in the galactic orbits, and they also show alpha-capture element abundances enhanced by about a factor of two over thin-disk stars.  Halo stars show even more extreme kinematics and also exhibit significant enhancement of alpha-capture elements.  The discovery of the Kepler-444 system (Campante et al 2015), which comprises five sub-Earth size planets orbiting an ancient (11.2 Gy age) thick-disk star with significantly sub-solar metallicity ([Fe=H]=-0.69 +/- 0.09 dex) shows that planet formation started very early in the history of the galaxy.  We will compute planet occurrence rates for stars as a function of stellar metallicity, stellar population and of planet radius.  For stellar metallicity, we will consider not just the standard [Fe/H] abundance, but also the abundance of the very important alpha-capture elements.  The goal of our program is to determine the characteristics of the first stars in our Galaxy to form potentially habitable planetary systems.

Methodology:
We have assembled a large, diverse and highly experienced international team for this investigation.  The DLR group (led by Dr. H. Rauer) will extract the K2 photometry and model the light curves.  The Cologne group (led by Dr. M.  Paetzold)  will search the light curves for planetary transit signatures.  The groups at Texas (led by proposal PI Dr. W.  Cochran), the European KEST consortium (represented in this proposal by Dr. M. Fridlund),  and at KASI (led by Dr.  B.-C. Lee) will conduct extensive followup observations including ground-based photometry, high precision RV measurement, high resolution optical and near-IR spectroscopy in order to confirm the planetary candidates and Doppler tomographic analysis of any rapidly rotating planetary candidates.  The group at Australian National University (led by Dr. D. Yong) will perform detailed spectral analysis of our follow-up data in order to derive stellar parameters and chemical abundances.  and will perform Doppler tomographic analysis of any rapidly rotating planetary candidates.

Targets:
We will propose a large sample of approximately 3000 targets.  They range in V magnitude from about 5 to 13, with most of the targets in the range 10 < V < 12.  Thus, according to Aigrain et al (2015, MNRAS, 247, 2880) we expect to obtain a 6.5 hour CDPP of about 80 ppm or better.

Relevance:
We are searching for new exoplanetary systems. These results will provide important new constraints on the physics and chemistry of planetary system formation, as well as provide constraints for the computation of planet occurrence rates. We will address the Kepler mission goals of obtaining an inventory of the diversity of planetary systems around sun-like stars. We will also obtain data very complementary to the goals of the TESS program, and help guide planetary system science for JWST studies.

# Targets requested by this program that have been observed (1011)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
203000293, 253.488092, -27.606595, 9.293, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
203121094, 253.589936, -27.186708, 11.189, GO11071_LC|GO11122_LC|GO11065_LC|GO11024_LC
203193926, 253.432804, -26.938041, 10.836, GO11071_LC|GO11122_LC|GO11024_LC
203194719, 253.744816, -26.935308, 9.973, GO11071_LC|GO11122_LC|GO11024_LC
203228143, 253.554007, -26.824536, 9.598, GO11071_LC|GO11122_LC|GO11024_LC
203248167, 253.490726, -26.757839, 10.266, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
203249051, 253.464461, -26.754892, 10.845, GO11122_LC|GO11098_LC|GO11065_LC|GO11024_LC
203253315, 253.556876, -26.740392, 9.526, GO11122_LC|GO11024_LC
203263779, 253.346366, -26.705943, 9.743, GO11024_LC
203315962, 253.863709, -26.539299, 8.761, GO11024_LC
203466391, 253.531911, -26.043953, 11.143, GO11122_LC|GO11024_LC
203478471, 254.039525, -26.004346, 8.959, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
203482029, 253.810309, -25.992351, 11.387, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
203482153, 254.010544, -25.991959, 11.554, GO11071_LC|GO11122_LC|GO11024_LC
203484711, 254.138015, -25.983585, 11.341, GO11071_LC|GO11122_LC|GO11024_LC
203494953, 253.793281, -25.94907, 10.651, GO11122_LC|GO11098_LC|GO11024_LC
203530127, 253.586065, -25.82938, 7.111, GO11012_LC|GO11071_LC|GO11122_LC|GO11024_LC|GO11039_LC|GO11019_LC|GO11902_LC|GO11012_SC
203569446, 253.299698, -25.69338, 10.273, GO11071_LC|GO11122_LC|GO11024_LC|GO11019_LC|GO11902_LC
203570042, 254.486483, -25.691364, 10.218, GO11122_LC|GO11024_LC|GO11019_LC
203575532, 253.770859, -25.672539, 11.513, GO11065_LC|GO11024_LC|GO11019_LC|GO11902_LC
203620060, 254.487262, -25.519163, 9.516, GO11071_LC|GO11122_LC|GO11024_LC|GO11019_LC
203676598, 253.522271, -25.322482, 10.676, GO11122_LC|GO11024_LC|GO11019_LC|GO11902_LC
203690511, 254.106965, -25.274198, 10.805, GO11071_LC|GO11122_LC|GO11024_LC|GO11019_LC
203692177, 253.285513, -25.268595, 8.401, GO11012_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC|GO11902_LC|GO11012_SC
203694395, 253.182671, -25.260875, 10.558, GO11122_LC|GO11098_LC|GO11024_LC|GO11019_LC|GO11902_LC
203703448, 253.666, -25.229719, 9.784, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC|GO11902_LC
203704762, 253.26983, -25.225294, 10.657, GO11071_LC|GO11024_LC|GO11019_LC
203708152, 252.977131, -25.213321, 11.294, GO11071_LC|GO11122_LC|GO11024_LC|GO11019_LC|GO11902_LC
