# Summary of K2 Program GO11038

Title: Probing the Planetary Population of High-Mass Stars (K2-GO4)

PI: Cochran, William D. (The University of Texas at Austin)
CoIs: Shporer, Avi; Johnson, Marshall C

Objectives: To date most planet searches have been confined to stars of spectral type F and later, as hotter stars have fewer spectral lines and tend to be rapidly rotating, making precise radial velocity (RV) observations difficult. By observing a sample of A and early F stars, K2 can expand the number of known planets around stars with M~1.5-2.5 M_sun. This population has been probed largely through RV surveys of subgiant stars in this mass range [1], but the masses of these subgiants have been debated [2]. During its primary mission, Kepler discovered a handful of planets around A-type stars, most notably Kepler-13 Ab [3], plus ~60 planet candidates that are awaiting validation. K2 observations of main sequence A and F stars will complement subgiant RV observations, as K2 is sensitive to smaller planets, and close-in planets that have already been engulfed by the subgiants. K2 can thus be used to expand the sample of known transiting planets around these stars. There are currently only ~10 such confirmed planets; this population is currently almost totally unexplored. We thus propose to search for planets around such stars with K2.

Targets: We plan to request approximately 400 long cadence targets, ~3/4 of which will be in Field 11. The sample will consist of A and early F-type dwarfs with 8<V<12.5, allowing for high quality photometry and spectroscopy while not requiring many K2 detector pixels.

Methodology: Our colleagues at the DLR and University of Cologne (Germany) will prepare lightcurves and search for transit signals. We will conduct reconnaissance spectroscopy of planet candidate hosts using the 2.7m Harlan J. Smith Telescope at McDonald Observatory and the forthcoming NRES spectrographs on the Las Cumbres Observatory Global Telescope Network (LCOGT); we will leverage our group's experience with similar observations of Kepler prime mission targets. For long-period targets where the K2 observations are insufficient to constrain the transit emphemeris, we will conduct follow-up photometric observations with LCOGT. Any planet candidates in our sample will (by design) not be amenable to confirmation using standard RV techniques. Instead, we will validate our candidates using other techniques. We will be able to confirm massive, short-period planets using photometry alone by searching for beaming and ellipsoidal variations caused by the planetary orbit, which gives the planetary mass and can find non-transiting planets [4]. A stars are typically photometrically quiet, making them prime targets for this technique. We will also use Doppler tomography (which uses the Rossiter-McLaughlin effect on rapidly rotating stars, where the spectral line distortion during transit is spectroscopically resolved) to validate planet candidates, and to measure the alignment between the stellar spin and planetary orbit. This will continue our program to validate Kepler prime mission candidates using Doppler tomography [5]; we will use the same methodology for K2 candidates.

Relevance: Our program will not only discover and characterize new planets around massive stars but also provide insight into the planetary population and planet formation and migration around these stars. It will thus address two of the science goals of NASA's Astrophysics program, namely, "Explore the origin and evolution of the galaxies, stars, and planets that make up our universe" and "Discover and study planets around other stars." We require new K2 observations in order to expand the sample of massive stars that has been surveyed for planets, building on the sample from Kepler and our earlier K2 programs.

References: [1] Johnson, J. A., Clanton, C., Howard, A. W., et al. 2011, ApJS, 197, 26 [2] Lloyd, J. P. 2011, ApJL, 739, L49 [3] Mislis, D., & Hodgkin, S. 2012, MNRAS, 422, 1512 [4] Shporer, A., Jenkins, J. M., Rowe, J. F., et al. 2011, AJ, 142, 195 [5] Johnson, M. C., Cochran, W. D., Albrecht, S., et al. 2014, ApJ, 790, 30

# Targets requested by this program that have been observed (282)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
203202979, 253.499025, -26.907693, 11.335, GO11038_LC
203536608, 253.869006, -25.807332, 10.495, GO11122_LC|GO11098_LC|GO11038_LC|GO11019_LC|GO11902_LC
203599872, 254.423787, -25.588802, 11.15, GO11122_LC|GO11038_LC|GO11019_LC
203660654, 253.650301, -25.377677, 11.034, GO11122_LC|GO11038_LC|GO11019_LC|GO11902_LC
203735223, 253.395035, -25.119172, 10.343, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC|GO11902_LC
203735686, 253.860611, -25.117575, 11.221, GO11122_LC|GO11038_LC|GO11052_LC|GO11902_LC
203754637, 254.026327, -25.049482, 11.369, GO11122_LC|GO11038_LC|GO11052_LC
203790908, 253.060619, -24.918006, 11.763, GO11038_LC|GO11019_LC
203856431, 253.877257, -24.670819, 11.733, GO11122_LC|GO11038_LC|GO11902_LC
203904299, 253.542306, -24.477326, 9.259, GO11122_LC|GO11038_LC|GO11052_LC|GO11902_LC
203934197, 254.585816, -24.352419, 10.502, GO11122_LC|GO11038_LC|GO11052_LC
204048121, 254.654251, -23.875265, 10.782, GO11122_LC|GO11038_LC|GO11052_LC
204063021, 254.192178, -23.816217, 10.693, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
204246005, 254.076983, -23.091496, 11.247, GO11122_LC|GO11038_LC|GO11052_LC
204630013, 252.989063, -21.543704, 10.794, GO11122_LC|GO11038_LC|GO11052_LC
204654166, 252.514746, -21.441262, 11.794, GO11122_LC|GO11038_LC
204776100, 254.193721, -20.91339, 11.583, GO11122_LC|GO11038_LC
221434459, 265.491289, -29.092659, 9.104, GO11122_LC|GO11038_LC|GO11024_LC|GO11052_LC|GO11019_LC
221645700, 265.981421, -28.704963, 11.305, GO11122_LC|GO11038_LC|GO11052_LC
221780098, 264.519165, -28.481264, 12.165, GO11122_LC|GO11038_LC|GO11019_LC
221812915, 265.054122, -28.429286, 10.478, GO11122_LC|GO11101_LC|GO11038_LC|GO11024_LC|GO11052_LC|GO11019_LC
222012749, 265.689876, -28.12606, 11.529, GO11122_LC|GO11038_LC|GO11052_LC
222902284, 266.715508, -26.814435, 11.527, GO11122_LC|GO11038_LC|GO11052_LC
222966355, 267.282135, -26.718733, 12.142, GO11122_LC|GO11038_LC
223025528, 267.521136, -26.628744, 9.08, GO11122_LC|GO11002_LC|GO11101_LC|GO11056_LC|GO11038_LC|GO11052_LC|GO11019_LC|GO11127_LC
223047648, 267.879631, -26.595146, 11.203, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
223083675, 267.309982, -26.540007, 11.608, GO11122_LC|GO11038_LC|GO11052_LC
223200332, 266.168412, -26.358852, 10.154, GO11122_LC|GO11038_LC|GO11052_LC
223207465, 266.891314, -26.347528, 9.115, GO11113_LC|GO11122_LC|GO11101_LC|GO11038_LC|GO11052_LC|GO11019_LC|GO11127_LC
223245308, 268.094539, -26.287313, 11.42, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
223248219, 267.983294, -26.28271, 10.071, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
223274819, 267.827537, -26.239725, 10.006, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
223397267, 266.567173, -26.040229, 11.297, GO11122_LC|GO11038_LC|GO11052_LC
223440977, 268.490603, -25.968126, 11.141, GO11038_LC|GO11052_LC|GO11019_LC
223506370, 266.942078, -25.860258, 12.128, GO11122_LC|GO11038_LC|GO11019_LC
223513504, 268.505839, -25.848386, 12.226, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
223570159, 266.679389, -25.754905, 9.143, GO11107_LC|GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
223586301, 266.966625, -25.728529, 10.453, GO11122_LC|GO11038_LC|GO11019_LC
223711688, 266.754688, -25.517435, 10.711, GO11122_LC|GO11038_LC|GO11052_LC
223869987, 268.34838, -25.249481, 11.377, GO11038_LC|GO11052_LC
223869999, 268.348338, -25.249466, 11.522, GO11038_LC|GO11052_LC
