# Summary of K2 Program GO11048

Title: Giants Orbiting Giants: A Search for Transiting Planets around Oscillating Evolved Stars with K2

PI: Huber, Daniel (SETI Institute)
CoIs: Fortney, Jonathan J; Pinsonneault, Marc Howard; Grunblatt, Samuel K; Mann, Andrew Withycombe; Johnson, John Asher; Chaplin, William J; Howard, Andrew William; Gaidos, Eric; Lopez, Eric David

While most exoplanet transit surveys are focused on cool dwarfs, transiting planets orbiting evolved stars are largely unexplored. Due to their diversity in fundamental properties (masses, luminosities, chemical compositions), low-luminosity red-giant branch (LLRGB) stars are ideal targets to tackle two key unsolved questions in exoplanet science: the occurrence rate of gas-giant planets as a function of host star mass, and the role of stellar incident flux on the radius inflation of gas-giant planets. An initial analysis of LLRGB stars observed for our C4-C5 program has already yielded the discovery of the first potentially re-inflated warm Jupiter around an oscillating evolved star, and we propose to continue our survey by observing ~5400 targets in C11-C13 to build up a statistically significant planet sample. 

We have selected targets using spectroscopic surveys such as APOGEE, RAVE and LAMOST, as well as colors and reduced proper motions. Planet candidates will be detected with K2 long-cadence data using a Box-Fitting Least Squares (BLS) algorithm coupled with a correlated noise model to account for stellar granulation. Since LLRGB stars oscillate with periods accessible with long-cadence data, we will use asteroseismology to precisely characterize both the host stars and the detected planet candidates. Follow-up ground-based radial velocity observations will be used to confirm the planets.

The proposal addresses two main K2 science goals: exoplanet detection and stellar astrophysics. Due to the low number of K2 short-cadence slots, our survey is the only K2 program allowing a systematic combination of asteroseismology and transits to characterize exoplanets. Kepler was not optimized towards observing LLRGB stars, and hence new K2 observations are required to address the key science questions of this project.

# Targets requested by this program that have been observed (967)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
202989913, 253.333936, -27.642929, 13.188, GO11048_LC
203008242, 253.246164, -27.57861, 11.712, GO11048_LC
203018189, 253.416399, -27.543606, 12.487, GO11048_LC
203049398, 253.35248, -27.434129, 13.3, GO11048_LC
203057891, 253.436414, -27.403958, 12.629, GO11048_LC
203062489, 253.395731, -27.3883, 12.318, GO11048_LC
203066668, 253.253259, -27.373822, 13.212, GO11048_LC
203072491, 253.340035, -27.353666, 13.049, GO11048_LC
203094314, 253.705016, -27.279151, 12.927, GO11123_LC|GO11048_LC
203096296, 253.72264, -27.272386, 13.275, GO11123_LC|GO11048_LC
203101909, 253.588976, -27.25303, 12.374, GO11123_LC|GO11048_LC
203103048, 253.365154, -27.248954, 12.688, GO11048_LC
203105967, 253.407617, -27.238728, 12.5, GO11048_LC
203108421, 253.322592, -27.230349, 13.321, GO11048_LC
203108850, 253.227524, -27.22889, 13.103, GO11048_LC
203117292, 253.233444, -27.199529, 12.417, GO11048_LC
203129856, 253.667877, -27.15655, 12.589, GO11123_LC|GO11048_LC
203130596, 253.524749, -27.154081, 13.361, GO11048_LC
203139809, 253.395636, -27.122418, 11.843, GO11048_LC
203152545, 253.712235, -27.078693, 12.467, GO11123_LC|GO11048_LC
203153068, 253.810611, -27.076786, 13.379, GO11123_LC|GO11048_LC
203167148, 253.553706, -27.028309, 13.29, GO11048_LC
203174962, 253.754419, -27.001617, 12.808, GO11123_LC|GO11048_LC
203176277, 253.460685, -26.997203, 13.061, GO11048_LC
203195139, 253.828177, -26.933924, 12.53, GO11123_LC|GO11048_LC
203210281, 253.626735, -26.88312, 12.408, GO11048_LC
203214125, 253.474957, -26.870704, 12.299, GO11048_LC
203221302, 253.938153, -26.847046, 11.829, GO11123_LC|GO11048_LC
203226249, 253.296281, -26.830911, 12.828, GO11048_LC
203229935, 253.513286, -26.818671, 12.056, GO11048_LC
203231370, 253.96855, -26.813593, 12.579, GO11048_LC
203246134, 253.848346, -26.764649, 13.149, GO11048_LC
203263116, 253.454231, -26.708224, 13.215, GO11048_LC
203265413, 253.429777, -26.700537, 13.222, GO11048_LC
203267603, 253.895274, -26.693129, 12.412, GO11048_LC
203270630, 253.712626, -26.683316, 12.91, GO11048_LC
203273219, 254.017042, -26.67489, 12.19, GO11048_LC
203278402, 253.532237, -26.658169, 12.637, GO11048_LC
203281597, 253.565302, -26.647262, 13.092, GO11048_LC
203286034, 254.089021, -26.63292, 13.795, GO11048_LC|GO11084_LC
203302043, 253.951151, -26.58178, 12.894, GO11048_LC
203308360, 254.047696, -26.562277, 13.333, GO11048_LC
203449042, 253.527542, -26.10237, 13.168, GO11048_LC
203459869, 253.907455, -26.065751, 12.966, GO11048_LC
203474724, 253.564959, -26.016564, 13.253, GO11048_LC
203500185, 254.016578, -25.931231, 13.349, GO11048_LC
203517861, 253.977479, -25.87129, 12.406, GO11048_LC
203530272, 253.427981, -25.828866, 12.862, GO11048_LC
203532495, 253.831007, -25.821363, 13.05, GO11048_LC
203547193, 253.81282, -25.770426, 13.381, GO11048_LC
203555171, 254.23066, -25.742925, 12.074, GO11123_LC|GO11048_LC
203566926, 253.891798, -25.702236, 12.928, GO11123_LC|GO11048_LC
203575013, 253.758435, -25.674344, 12.885, GO11123_LC|GO11048_LC
203593496, 254.190901, -25.611148, 12.622, GO11123_LC|GO11048_LC
203610409, 253.044489, -25.552681, 11.528, GO11048_LC
203611124, 254.033812, -25.550238, 12.728, GO11123_LC|GO11048_LC|GO11019_LC
