# Summary of K2 Program GO11050

Title: K2 Exoplanet Ecliptic Survey - KEES

PI: Burke, Christopher J (SETI Institute)
CoIs: Huber, Daniel; Mullally, Fergal

Science Goals:
For billions of years the Earth's shadow against the Sun has swept a path through space revealing our existence to the stellar neighbors that have passed within 0.26 degrees of the ecliptic.  We propose to survey all GKM dwarf stars within 1.0 degree of the ecliptic using the K2 spacecraft in order to identify transiting planetary systems that can mutually discover Earth via transit observations performed by another civilization in the last ~100,000 yrs.  This survey will significantly expand the number of ecliptic aligned planets known from the two Jupiter-class planets with 0.26 degrees of the current ecliptic (the hot-Jupiter, WASP-47b and the direct imaging, 5 Myr old 1RXS-J160929b) into the regime of Super-Earth size planets.

Methodology:
We will employ our extensive background in the analysis of Kepler data in order to search and provide a catalog of planet candidates from the K2 data within the ecliptic using tools and techniques developed for Kepler.  The primary goal is to generate a catalog of planet candidates for prioritization of SETI searches.  Secondary goals are to provide a well vetted sample of planet candidates to the community to follow up for asteroseismic or spectroscopic stellar characterization and radial velocity confirmation.   Future follow up with SETI resources of KEES planet candidates will provide the first constraints on the fraction of stars hosting at least one inner planet, that can discover Earth transit, and that contain intelligent life detectable to the SETI detection limits.

Relevance:
This study is proposing science targets for the K2 Campaign 11, 12, and 13 fields.  Detection and characterization for transiting planets on the ecliptic cannot be accomplished with existing Kepler data as Kepler did not observe the ecliptic.  More than 1000 targets targets will be proposed placing this proposal in the large proposal category.

# Targets requested by this program that have been observed (536)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
204247785, 253.644469, -23.084343, 12.955, GO11049_LC|GO11050_LC
204248636, 252.909613, -23.080856, 13.356, GO11049_LC|GO11050_LC
204256992, 254.18101, -23.04791, 12.417, GO11049_LC|GO11122_LC|GO11050_LC
204260828, 254.959387, -23.032447, 12.864, GO11049_LC|GO11050_LC
204261416, 254.919757, -23.029982, 13.464, GO11049_LC|GO11050_LC
204263077, 253.547076, -23.023475, 10.566, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
204263730, 253.845497, -23.021055, 13.569, GO11049_LC|GO11018_LC|GO11050_LC
204268498, 254.906278, -23.00237, 13.531, GO11049_LC|GO11050_LC
204270123, 254.558683, -22.996195, 13.494, GO11049_LC|GO11050_LC
204273720, 253.688751, -22.982535, 12.221, GO11049_LC|GO11123_LC|GO11122_LC|GO11050_LC
204278106, 254.176615, -22.966022, 13.008, GO11049_LC|GO11050_LC
204283356, 252.739694, -22.945558, 12.615, GO11049_LC|GO11018_LC|GO11050_LC
204286800, 254.344384, -22.932484, 11.442, GO11071_LC|GO11122_LC|GO11050_LC
204288218, 254.135606, -22.926908, 12.943, GO11049_LC|GO11123_LC|GO11050_LC
204290741, 254.710368, -22.916845, 13.526, GO11049_LC|GO11050_LC
204293530, 254.563918, -22.905583, 13.401, GO11049_LC|GO11050_LC
204295072, 254.793409, -22.899414, 12.97, GO11049_LC|GO11050_LC
204298341, 253.710976, -22.88687, 13.057, GO11049_LC|GO11050_LC
204299714, 254.465282, -22.881117, 11.444, GO11071_LC|GO11122_LC|GO11050_LC
204308476, 254.500447, -22.845897, 13.431, GO11049_LC|GO11050_LC
204311397, 253.325796, -22.834396, 13.5, GO11049_LC|GO11123_LC|GO11050_LC
204315566, 252.707026, -22.817466, 13.628, GO11049_LC|GO11050_LC
204323875, 252.676102, -22.784491, 13.683, GO11049_LC|GO11050_LC
204324489, 253.077466, -22.781916, 13.04, GO11049_LC|GO11050_LC
204326689, 253.476964, -22.772988, 13.214, GO11049_LC|GO11123_LC|GO11050_LC
204328844, 254.724028, -22.764657, 13.647, GO11049_LC|GO11050_LC
204336842, 253.966487, -22.73293, 11.591, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC
204340240, 252.699678, -22.719357, 11.827, GO11071_LC|GO11050_LC
204345345, 254.522376, -22.698846, 10.611, GO11049_LC|GO11123_LC|GO11050_LC
204346962, 254.564016, -22.692561, 13.328, GO11050_LC
204347633, 253.825534, -22.68989, 10.657, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
204360961, 254.736771, -22.637808, 13.008, GO11049_LC|GO11050_LC
204362535, 253.954917, -22.631758, 13.746, GO11050_LC
204364658, 252.79686, -22.623447, 11.368, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC
204364899, 253.701992, -22.622496, 11.868, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC
204366040, 254.843379, -22.618115, 12.181, GO11049_LC|GO11122_LC|GO11050_LC
204367400, 254.354338, -22.61289, 11.844, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC
204367648, 253.955124, -22.611875, 13.36, GO11050_LC
204373728, 252.953283, -22.588314, 13.408, GO11049_LC|GO11123_LC|GO11050_LC
204379009, 253.80317, -22.567398, 11.516, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC
204380462, 252.62357, -22.561968, 11.529, GO11071_LC|GO11122_LC|GO11050_LC
204383702, 253.649374, -22.549048, 12.433, GO11049_LC|GO11123_LC|GO11122_LC|GO11050_LC
204385419, 253.686312, -22.542298, 12.498, GO11049_LC|GO11122_LC|GO11050_LC
204385860, 254.700607, -22.540493, 11.684, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC
204387910, 254.737447, -22.53255, 13.331, GO11049_LC|GO11050_LC
204389127, 253.669347, -22.527732, 13.33, GO11049_LC|GO11050_LC
204390823, 254.212667, -22.521199, 13.765, GO11123_LC|GO11050_LC
204394283, 254.808578, -22.507508, 13.352, GO11049_LC|GO11050_LC
204395039, 254.068263, -22.504565, 11.032, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
204395545, 254.675319, -22.502662, 13.107, GO11049_LC|GO11123_LC|GO11050_LC
204401211, 254.035264, -22.480216, 13.591, GO11049_LC|GO11050_LC
204403554, 253.958953, -22.471114, 13.22, GO11049_LC|GO11123_LC|GO11050_LC
204406783, 254.354748, -22.458542, 13.472, GO11049_LC|GO11050_LC
204408615, 252.711689, -22.451508, 12.313, GO11049_LC|GO11122_LC|GO11050_LC
204420328, 254.512581, -22.405518, 12.696, GO11049_LC|GO11122_LC|GO11050_LC
204423958, 253.432669, -22.391514, 13.351, GO11049_LC|GO11123_LC|GO11050_LC
204426008, 255.014697, -22.383483, 13.139, GO11049_LC|GO11050_LC
