# Summary of K2 Program GO11052

Title: The heat is on: exoplanets that orbit hot stars

PI: Quarles, Billy L (SETI Institute)
CoIs: Rowe, Jason Frank; Antoci, Victoria

Science Goals Objectives: The Kepler Mission has discovered a few thousand planet candidates, which has allowed for a statistical determination of planet size and orbital characterization.   In particular, multi-planet systems, where more than one planet is seen transiting a star have provided a wealth of information covering statistical confirmations, eccentricity distributions, mutual inclinations and dynamical stability.  We have learned that not only are planets plentiful, but are found in relatively flat and circular orbits.  However, this knowledge of the architecture exoplanetary systems is only currently valid for cooler G, K and M-dwarf stars, which were the prime targets from the original Kepler Mission.  From the Kepler Q1-Q17 catalogue there are only 254 planet-candidate systems where the host star has an effective temperature greater than 6500 K.  In stars with temperatures hotter than ~6500 K the stellar envelope structure and evolution on the main sequence is dominated by radiative transfer, opposed to cooler stars where convection plays an important role.   Misalignments between the planets orbital plane and stellar spin axis have been predominately found for stars with radiative atmospheres, whereas stars with convective envelopes typically show close alignment.  This observation is likely linked to the coupling of convective atmospheres and tidal forces.  As such, we wish to continue making observations with K2 to determine the occurrence rate and orbital properties of multi-planet systems around hot stars.

Methodology: The Kepler Mission was a planet finding machine!  Our team has extensive knowledge and experience with Kepler photometric data for both transit finding and analysis as well as performing asteroseismic analysis of stars with temperatures greater than 6500 K.  We have 236 targets selected for observation in C8 and will investigate a much larger list of target stars over C11, C12, and C13.  One of the problems of searching for planets around hotter stars is that many are known to pulsate (e.g. dSct and gDor type).  Fortunately, the pulsations can be identified and accounted for from photometric light curves to allow searches for planets to reach low-noise levels.  Our plan is to use detrended photometric data and apply asteroseismic tools to remove stellar phenomena that may affect the data and to then search for transiting planets.  We will then study the properties of the planet-candidates using transit-depths, transit-durations and impact parameter to estimate the distributions of orbital properties.  We will also estimate our planet search completeness and compare our measured properties to the properties of planetary systems found around cooler stars.

Relevance to Kepler-GO Program: Using space-based astronomical observations of star fields with K2, we will search for and characterize new planets around hot stars. Our research has the potential to determine whether the properties of the host star, convective or radiative atmospheres, play a role in the formation and evolution of planetary systems.  Our proposed investigation is part of a multiple observing campaign search for which we have 236 stars selected for observation in a previous proposal.  Through our continued search of stars on the ecliptic, we will collect observations to make sure we find ample planetary systems around hot-stars to meet our research goals.

# Targets requested by this program that have been observed (1163)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
203000293, 253.488092, -27.606595, 9.293, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
203131339, 253.371937, -27.151558, 10.085, GO11107_LC|GO11101_LC|GO11052_LC|GO11127_LC
203475809, 253.098459, -26.012911, 10.438, GO11122_LC|GO11052_LC|GO11019_LC
203478471, 254.039525, -26.004346, 8.959, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
203534822, 253.634795, -25.813392, 8.252, GO11122_LC|GO11052_LC|GO11019_LC|GO11902_LC
203596445, 253.066973, -25.600607, 7.012, GO11122_LC|GO11002_LC|GO11052_LC|GO11019_LC|GO11902_LC
203615859, 253.934898, -25.533911, 7.706, GO11122_LC|GO11052_LC|GO11019_LC|GO11127_LC|GO11902_LC
203692177, 253.285513, -25.268595, 8.401, GO11012_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC|GO11902_LC|GO11012_SC
203703448, 253.666, -25.229719, 9.784, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC|GO11902_LC
203703889, 253.416978, -25.22822, 11.032, GO11071_LC|GO11122_LC|GO11052_LC|GO11019_LC|GO11902_LC
203731143, 253.356969, -25.133134, 10.687, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC|GO11902_LC
