# Summary of K2 Program GO11107

Title: Probing the Internal Mixing Processes and Angular Momentum Transport in Pulsating B-type Stars on the Main Sequence

PI: Papics, Peter I (Instituut voor Sterrenkunde)
CoIs: Buysschaert, Bram D; Moravveji, Ehsan; Aerts, Conny Clara

The lifetime of massive stars is strongly influenced by internal mixing processes such as core overshooting, diffusion, and rotation. Our knowledge of these processes is very limited, and this lack of understanding results in large uncertainties on current stellar structure and evolution models of massive stars. As these models are important cornerstones for several fields of modern astrophysics (e.g., chemical enrichment of galaxies, stellar life cycles and their effects on star and planetary system formation, dynamics of stellar clusers, etc.), these shortcomings need to be resolved.

Asteroseismology is one of the few tools that allow us to study the interiors of stars by the interpretation of their pulsation signal. The last decade brought an immense revolution to the field thanks to the succes of space telescopes such as CoRoT and Kepler, and thanks to vast improvements of asteroseismological techniques. The frequency spectra of the pulsating beta Cep and slowly pulsating B (SPB) stars are strongly influenced by the mentioned mixing processes (e.g., Miglio et al. 2008, MNRAS, 386, 1487), which makes them ideal asteroseismic probes.

Even in the era of space-based telescopes, observations of OB stars are a rarity, not only because of their relatively low number compared to Solar-like and KM dwarves, but also because they are preferably avoided by missions driven by exoplanet detections. While the nominal Kepler mission delivered a revolution in stellar physics for Solar-like stars and red giants, it only added a few stars to the still less than two dozens of OB dwarves where in-depth studies managed to put at least some constraints on the extent of the overshoot region around the core, or on the internal rotation profile (Aerts 2015, IAUS, 307, 154A). Even more striking is that there is only one star where a full actual seismic modelling was carried out based on gravity modes, resulting in stringent constraints on the core overshoot (Papics et al. 2014, A&A, 570, A8) and the diffusive mixing (Moravveji et al. 2015, A&A, 580, A27), culminating in an inversion of the internal rotation profile (Triana et al. 2015, ApJ, 810, 16). The few available observational studies have demonstrated that the richness of variable behaviour among these stars is so large that the details in their internal physics must be different. This means that we need to map the whole extent of the instability strip with in-depth seismic modelling efforts to find the connection between the fundamental parameters and the internal mixing properties of these stars. This is the only way we can calibrate the stellar structure and evolution models of massive stars.

We propose the observation of 35 potential B-type pulsators, that have been selected based on spectral type and brightness. We propose stars where we can conduct simultaneous and follow-up observations with the high-resolution HERMES spectrograph and the 3-channel MAIA CCD camera installed on the 1.2 meter Mercator Telescope on La Palma (operated by the host institute of the PI).

Our methodology is as follows: we do frequency analysis on the detrended K2 data, then we attempt mode identification using period- and frequency-spacing patterns, or  if this is not possible  using multicolour photometry or time-resolved high-resolution high signal-to-noise spectroscopy. This is followed by forward modelling of the zonal modes. We iterate over theoretical frequency sets calculated using different input physics to fine-tune the equilibrium models until we reach the best fit. This will result in a new generation of stellar structure models. There might be stars that are found to be non pulsating, but these non-detections coupled with precise spectroscopy will be also very useful to validate the current excitation calculations, especially since at the moment the predicted instability strips on the HRD are still very undersampled in terms of observational data.

# Targets requested by this program that have been observed (32)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
203131339, 253.371937, -27.151558, 10.085, GO11107_LC|GO11101_LC|GO11052_LC|GO11127_LC
222166487, 265.179224, -27.893052, 8.32, GO11107_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11019_LC|GO11127_LC
223570159, 266.679389, -25.754905, 9.143, GO11107_LC|GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
224291476, 267.817986, -24.509709, 9.023, GO11071_LC|GO11107_LC|GO11122_LC|GO11101_LC|GO11024_LC|GO11052_LC|GO11127_LC
224319791, 267.439379, -24.458057, 9.523, GO11107_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
224829617, 264.338903, -23.569857, 10.257, GO11107_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC|GO11127_LC
224988439, 264.547924, -23.307246, 10.336, GO11107_LC|GO11122_LC|GO11052_LC|GO11019_LC|GO11127_LC
225483151, 264.120973, -22.441086, 8.933, GO11107_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11019_LC|GO11127_LC
225602160, 263.551588, -22.222347, 9.486, GO11107_LC|GO11122_LC|GO11101_LC|GO11038_LC|GO11052_LC|GO11019_LC|GO11127_LC
225962122, 264.333267, -21.539116, 9.779, GO11107_LC|GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC|GO11127_LC
227818592, 263.406889, -17.109501, 10.123, GO11107_LC|GO11122_LC|GO11038_LC|GO11052_LC|GO11127_LC
230615512, 257.525341, -20.783671, 9.447, GO11107_LC|GO11122_LC|GO11052_LC|GO11019_LC|GO11127_LC
230748267, 257.603248, -19.511105, 9.854, GO11107_LC|GO11052_LC
230884366, 257.112706, -18.170077, 8.424, GO11107_LC|GO11122_LC|GO11052_LC|GO11019_LC|GO11127_LC
231148732, 256.920727, -24.498627, 9.742, GO11107_LC|GO11122_LC|GO11038_LC|GO11052_LC|GO11127_LC
231264900, 257.047636, -23.671209, 9.642, GO11107_LC|GO11101_LC|GO11052_LC|GO11127_LC
231777845, 255.747425, -28.693885, 10.376, GO11107_LC|GO11122_LC|GO11101_LC|GO11038_LC|GO11052_LC|GO11019_LC|GO11127_LC
231836488, 255.977989, -28.449242, 10.122, GO11107_LC|GO11101_LC|GO11038_LC|GO11052_LC|GO11019_LC|GO11127_LC
232021957, 255.794618, -27.654372, 10.217, GO11107_LC|GO11101_LC|GO11038_LC|GO11052_LC
233183196, 257.208372, -30.87669, 9.772, GO11107_LC|GO11101_LC|GO11038_LC|GO11052_LC|GO11127_LC
233423570, 259.387939, -17.870475, 9.568, GO11107_LC|GO11122_LC|GO11052_LC|GO11019_LC|GO11127_LC
