# Summary of K2 Program GO11902

Title: Monitoring Campaign 2 and 9 overlap targets during Campaign 11

PI: GO Office, K2 (NASA Ames)
CoIs: 



# Targets requested by this program that have been observed (294)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
203508899, 253.037949, -25.901939, 12.479, GO11122_LC|GO11902_LC
203519474, 253.343624, -25.865729, 11.535, GO11122_LC|GO11902_LC
203520825, 253.457907, -25.861171, 12.3, GO11122_LC|GO11902_LC
203530127, 253.586065, -25.82938, 7.111, GO11012_LC|GO11071_LC|GO11122_LC|GO11024_LC|GO11039_LC|GO11019_LC|GO11902_LC|GO11012_SC
203534822, 253.634795, -25.813392, 8.252, GO11122_LC|GO11052_LC|GO11019_LC|GO11902_LC
203536608, 253.869006, -25.807332, 10.495, GO11122_LC|GO11098_LC|GO11038_LC|GO11019_LC|GO11902_LC
203537376, 253.776984, -25.804584, 10.452, GO11071_LC|GO11122_LC|GO11098_LC|GO11019_LC|GO11902_LC
203539104, 253.498363, -25.798691, 11.923, GO11122_LC|GO11902_LC
203543099, 253.511054, -25.784671, 10.716, GO11049_LC|GO11071_LC|GO11122_LC|GO11019_LC|GO11902_LC
203545438, 253.597273, -25.776439, 12.789, GO11902_LC
203546930, 253.750861, -25.771276, 15.524, GO11902_LC
203547866, 253.097403, -25.768015, 14.898, GO11902_LC
203548155, 253.647553, -25.767005, 10.421, GO11902_LC
203549352, 253.23935, -25.762837, 9.654, GO11002_LC|GO11902_LC
203555877, 253.58165, -25.740429, 14.146, GO11902_LC
203556946, 253.210935, -25.736866, 11.02, GO11071_LC|GO11122_LC|GO11065_LC|GO11019_LC|GO11902_LC
203558089, 253.912798, -25.732847, 12.08, GO11122_LC|GO11902_LC
203558974, 253.806614, -25.729851, 11.651, GO11071_LC|GO11122_LC|GO11902_LC
203560897, 253.233217, -25.723301, 12.525, GO11122_LC|GO11902_LC
203562134, 253.950652, -25.719027, 11.195, GO11122_LC|GO11019_LC|GO11902_LC
203562418, 253.537367, -25.718054, 11.706, GO11071_LC|GO11122_LC|GO11902_LC
203565165, 253.129699, -25.70853, 9.053, GO11902_LC
203566776, 253.502157, -25.702746, 12.296, GO11122_LC|GO11902_LC
203568716, 253.244729, -25.69597, 13.588, GO11902_LC
203569080, 253.015306, -25.694798, 14.851, GO11902_LC
203569446, 253.299698, -25.69338, 10.273, GO11071_LC|GO11122_LC|GO11024_LC|GO11019_LC|GO11902_LC
203570818, 253.557126, -25.688668, 11.092, GO11071_LC|GO11122_LC|GO11019_LC|GO11902_LC
203571155, 253.591348, -25.687599, 12.143, GO11122_LC|GO11902_LC
203572586, 253.814962, -25.682738, 12.276, GO11122_LC|GO11902_LC
203573624, 253.756686, -25.679142, 12.275, GO11122_LC|GO11019_LC|GO11902_LC
203575532, 253.770859, -25.672539, 11.513, GO11065_LC|GO11024_LC|GO11019_LC|GO11902_LC
203576445, 253.774586, -25.669366, 12.187, GO11902_LC
203578387, 253.034002, -25.662698, 11.392, GO11122_LC|GO11019_LC|GO11902_LC
203580990, 253.69414, -25.654025, 14.871, GO11014_LC|GO11018_LC|GO11902_LC
203587865, 253.644198, -25.63042, 13.331, GO11014_LC|GO11123_LC|GO11902_LC
203594961, 253.864638, -25.605927, 12.219, GO11122_LC|GO11902_LC
203596445, 253.066973, -25.600607, 7.012, GO11122_LC|GO11002_LC|GO11052_LC|GO11019_LC|GO11902_LC
203596544, 253.98104, -25.600246, 15.225, GO11018_LC|GO11902_LC
203597399, 254.012155, -25.597328, 9.246, GO11902_LC
203600026, 253.296103, -25.58828, 12.234, GO11122_LC|GO11902_LC
203600027, 253.42313, -25.588278, 12.27, GO11122_LC|GO11902_LC
203602915, 253.641776, -25.578338, 11.437, GO11122_LC|GO11019_LC|GO11902_LC
203604701, 253.702609, -25.572392, 14.156, GO11902_LC
203606751, 253.136139, -25.565349, 11.659, GO11071_LC|GO11122_LC|GO11902_LC
203608451, 253.785828, -25.559458, 13.663, GO11123_LC|GO11902_LC
203609817, 253.209582, -25.55466, 12.617, GO11122_LC|GO11902_LC
203611165, 253.593173, -25.55012, 11.77, GO11071_LC|GO11122_LC|GO11019_LC|GO11902_LC
203611245, 253.941023, -25.549847, 15.608, GO11018_LC|GO11902_LC
203611728, 253.958039, -25.548159, 14.689, GO11902_LC
203612978, 253.172193, -25.543834, 11.604, GO11071_LC|GO11122_LC|GO11902_LC
203614344, 253.14163, -25.539266, 11.513, GO11071_LC|GO11122_LC|GO11019_LC|GO11902_LC
203615859, 253.934898, -25.533911, 7.706, GO11122_LC|GO11052_LC|GO11019_LC|GO11127_LC|GO11902_LC
203616464, 253.509574, -25.531811, 11.914, GO11122_LC|GO11902_LC
203616858, 253.038625, -25.53059, 11.553, GO11071_LC|GO11122_LC|GO11902_LC
203619538, 253.394826, -25.520975, 12.045, GO11122_LC|GO11902_LC
203620691, 253.787583, -25.51687, 11.723, GO11049_LC|GO11122_LC|GO11019_LC|GO11902_LC
203622155, 253.956021, -25.511589, 12.601, GO11122_LC|GO11902_LC
203625894, 253.112964, -25.498695, 11.155, GO11902_LC
203628895, 253.830287, -25.488278, 13.98, GO11902_LC
203629366, 253.663222, -25.48681, 15.428, GO11018_LC|GO11902_LC
203629763, 253.588617, -25.485485, 15.953, GO11018_LC|GO11902_LC
203630192, 253.670556, -25.483964, 12.47, GO11122_LC|GO11902_LC
203630749, 253.759839, -25.482061, 12.388, GO11122_LC|GO11902_LC
203631587, 253.491796, -25.479085, 11.946, GO11071_LC|GO11122_LC|GO11902_LC
203631786, 253.176297, -25.478378, 12.546, GO11122_LC|GO11902_LC
203633526, 253.780733, -25.472157, 12.051, GO11122_LC|GO11902_LC
203635350, 253.849219, -25.465797, 15.913, GO11902_LC
203635654, 253.021662, -25.464799, 11.472, GO11122_LC|GO11902_LC
203640364, 253.446467, -25.448291, 12.509, GO11122_LC|GO11902_LC
203643842, 253.060492, -25.436441, 15.048, GO11902_LC
203650794, 253.761226, -25.411717, 11.342, GO11071_LC|GO11122_LC|GO11902_LC
203652400, 253.094968, -25.406102, 12.493, GO11122_LC|GO11902_LC
203654076, 253.309939, -25.400248, 14.652, GO11018_LC|GO11902_LC
203655839, 253.736609, -25.394116, 11.783, GO11071_LC|GO11122_LC|GO11902_LC
203660335, 253.800244, -25.378774, 12.371, GO11122_LC|GO11902_LC
203660654, 253.650301, -25.377677, 11.034, GO11122_LC|GO11038_LC|GO11019_LC|GO11902_LC
203667889, 253.661294, -25.352618, 12.328, GO11122_LC|GO11902_LC
203670413, 253.021282, -25.343561, 12.084, GO11122_LC|GO11902_LC
203672485, 253.288843, -25.336492, 11.74, GO11049_LC|GO11071_LC|GO11122_LC|GO11019_LC|GO11902_LC
203674537, 253.316515, -25.329606, 12.625, GO11123_LC|GO11122_LC|GO11902_LC
203676598, 253.522271, -25.322482, 10.676, GO11122_LC|GO11024_LC|GO11019_LC|GO11902_LC
203677167, 253.760932, -25.320426, 12.4, GO11122_LC|GO11902_LC
203678917, 253.747241, -25.314242, 11.741, GO11071_LC|GO11122_LC|GO11902_LC
203681674, 253.815052, -25.304748, 12.519, GO11122_LC|GO11902_LC
203681946, 253.665055, -25.303882, 12.342, GO11122_LC|GO11902_LC
203691341, 252.998752, -25.271368, 11.047, GO11049_LC|GO11071_LC|GO11122_LC|GO11019_LC|GO11902_LC
203692177, 253.285513, -25.268595, 8.401, GO11012_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC|GO11902_LC|GO11012_SC
203692906, 253.898762, -25.26607, 14.62, GO11902_LC
203692974, 253.98723, -25.265853, 12.594, GO11122_LC|GO11902_LC
203694009, 253.14502, -25.262195, 14.746, GO11018_LC|GO11902_LC
203694395, 253.182671, -25.260875, 10.558, GO11122_LC|GO11098_LC|GO11024_LC|GO11019_LC|GO11902_LC
203695582, 253.080767, -25.256681, 12.53, GO11122_LC|GO11902_LC
203698150, 253.814462, -25.248013, 12.111, GO11122_LC|GO11902_LC
203700170, 253.112408, -25.240903, 12.497, GO11122_LC|GO11902_LC
203702627, 253.36257, -25.232576, 11.975, GO11122_LC|GO11902_LC
203702931, 253.834546, -25.231545, 13.07, GO11902_LC
203703448, 253.666, -25.229719, 9.784, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC|GO11902_LC
203703889, 253.416978, -25.22822, 11.032, GO11071_LC|GO11122_LC|GO11052_LC|GO11019_LC|GO11902_LC
203704685, 253.158332, -25.22557, 14.13, GO11902_LC
203705702, 253.224623, -25.221983, 10.765, GO11122_LC|GO11098_LC|GO11019_LC|GO11902_LC
203705987, 253.745098, -25.221045, 14.571, GO11902_LC
203708152, 252.977131, -25.213321, 11.294, GO11071_LC|GO11122_LC|GO11024_LC|GO11019_LC|GO11902_LC
203713556, 253.197433, -25.1949, 15.54, GO11902_LC
203715016, 253.750147, -25.189728, 14.623, GO11902_LC
203719159, 253.270156, -25.175133, 14.359, GO11902_LC
203720301, 253.731788, -25.171125, 12.51, GO11122_LC|GO11902_LC
203721681, 253.789142, -25.166169, 11.591, GO11122_LC|GO11019_LC|GO11902_LC
203724283, 253.762942, -25.157325, 12.251, GO11122_LC|GO11019_LC|GO11902_LC
203728688, 252.970089, -25.141754, 11.865, GO11071_LC|GO11122_LC|GO11902_LC
203731143, 253.356969, -25.133134, 10.687, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC|GO11902_LC
203735223, 253.395035, -25.119172, 10.343, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC|GO11902_LC
203735686, 253.860611, -25.117575, 11.221, GO11122_LC|GO11038_LC|GO11052_LC|GO11902_LC
203737102, 253.082347, -25.112481, 12.144, GO11122_LC|GO11902_LC
203740440, 253.628257, -25.100778, 12.297, GO11122_LC|GO11902_LC
203742254, 253.103272, -25.094266, 11.847, GO11071_LC|GO11122_LC|GO11902_LC
203742841, 253.052435, -25.092206, 10.554, GO11071_LC|GO11122_LC|GO11019_LC|GO11902_LC
203749199, 253.490436, -25.069244, 8.188, GO11109_LC|GO11122_LC|GO11052_LC|GO11019_LC|GO11902_LC
203762270, 253.831672, -25.022161, 12.192, GO11122_LC|GO11902_LC
203763791, 253.205064, -25.016825, 11.139, GO11122_LC|GO11019_LC|GO11902_LC
203766924, 253.600648, -25.005628, 12.323, GO11049_LC|GO11902_LC
203768410, 253.545492, -25.000155, 15.482, GO11902_LC
203776322, 253.329891, -24.971439, 9.0, GO11902_LC
203780864, 253.519912, -24.954869, 10.083, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11902_LC
203781360, 253.72055, -24.953118, 12.199, GO11122_LC|GO11902_LC
203783770, 253.195166, -24.944305, 15.015, GO11018_LC|GO11902_LC
203784668, 253.426129, -24.940924, 8.312, GO11002_LC|GO11902_LC
203786655, 253.641866, -24.933682, 12.86, GO11123_LC|GO11902_LC
203798169, 253.858488, -24.891425, 12.167, GO11049_LC|GO11123_LC|GO11122_LC|GO11902_LC
203798936, 253.350819, -24.888814, 12.162, GO11122_LC|GO11019_LC|GO11902_LC
203800022, 253.668749, -24.884842, 13.615, GO11049_LC|GO11123_LC|GO11902_LC
203802971, 252.923175, -24.874026, 10.597, GO11071_LC|GO11122_LC|GO11024_LC|GO11019_LC|GO11902_LC
203803733, 253.773474, -24.871249, 12.424, GO11049_LC|GO11122_LC|GO11902_LC
203804403, 253.505864, -24.868819, 11.559, GO11071_LC|GO11122_LC|GO11024_LC|GO11902_LC
203806365, 253.507188, -24.861682, 11.871, GO11071_LC|GO11122_LC|GO11902_LC
203806658, 253.10901, -24.860694, 12.583, GO11122_LC|GO11902_LC
203807126, 253.60208, -24.859091, 10.655, GO11071_LC|GO11122_LC|GO11902_LC
203813241, 253.434972, -24.836276, 11.377, GO11122_LC|GO11902_LC
203813768, 253.873278, -24.834364, 13.365, GO11902_LC
203813895, 253.444831, -24.833843, 12.512, GO11122_LC|GO11902_LC
203826286, 253.007674, -24.787653, 10.509, GO11122_LC|GO11052_LC|GO11019_LC|GO11902_LC
203828297, 253.629376, -24.780008, 12.415, GO11902_LC
203830112, 253.454383, -24.773123, 11.993, GO11071_LC|GO11122_LC|GO11902_LC
203831236, 253.145885, -24.769122, 12.308, GO11122_LC|GO11019_LC|GO11902_LC
203832475, 253.751566, -24.764117, 10.912, GO11071_LC|GO11122_LC|GO11902_LC
203837777, 252.890143, -24.744135, 11.507, GO11071_LC|GO11122_LC|GO11019_LC|GO11902_LC
203837828, 253.456134, -24.743939, 14.929, GO11018_LC|GO11902_LC
203842026, 253.816013, -24.727684, 14.211, GO11902_LC
203844195, 253.903213, -24.719356, 13.915, GO11018_LC|GO11902_LC
203848638, 253.105197, -24.702396, 10.186, GO11123_LC|GO11122_LC|GO11019_LC|GO11902_LC
203849216, 253.102853, -24.700217, 10.304, GO11071_LC|GO11122_LC|GO11002_LC|GO11065_LC|GO11024_LC|GO11019_LC|GO11902_LC
203849922, 252.897631, -24.697418, 13.682, GO11902_LC
203853332, 253.391076, -24.683324, 10.102, GO11071_LC|GO11122_LC|GO11098_LC|GO11902_LC
203856431, 253.877257, -24.670819, 11.733, GO11122_LC|GO11038_LC|GO11902_LC
203857506, 253.696397, -24.666799, 12.2, GO11122_LC|GO11902_LC
203865016, 252.940847, -24.63627, 13.409, GO11018_LC|GO11902_LC
203865172, 253.455393, -24.635684, 10.673, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11902_LC
203867512, 253.247321, -24.626258, 11.858, GO11071_LC|GO11122_LC|GO11902_LC
