# Summary of K2 Program GO12001

Title: AGN Variability Studies with K2 Campaigns 11-13

PI: Edelson, Rick (University of Maryland, College Park)
CoIs: Starkey, David A; Vaughan, Simon; Malkan, Matthew A; Vanderburg, Andrew; Stern, Daniel K; Horne, Keith

Abstract: Kepler's unprecedented precision, sampling, and duty cycle is revolutionizing the study of AGN optical variability, providing the first observation of a break in the optical PSD of a Type 1 AGN and clarification of the nature of microvariability in blazars.  We propose LC monitoring of 189 AGN and robust AGN candidates as part of our program to observe hundreds of AGN throughout the K2 mission, improving the statistical leverage for characterizing AGN optical variability.  We will also undertake simultaneous multiwavelength monitoring of the brightest and most promising Type 1 AGN in order to further constrain the physical conditions in the innermost regions responsible for their huge energy output.

# Targets requested by this program that have been observed (129)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
245912496, 352.692335, -12.724531, 14.842, GO12001_LC|GO12116_LC
245931849, 348.690758, -11.622853, 16.937, GO12081_LC|GO12001_LC
245934248, 348.488085, -11.50517, 16.331, GO12001_LC|GO12116_LC
245947905, 352.796052, -10.922309, 17.661, GO12081_LC|GO12013_LC|GO12001_LC
245954357, 355.182556, -10.717856, 17.551, GO12001_LC
245955715, 349.894942, -10.676916, 18.149, GO12081_LC|GO12013_LC|GO12001_LC
245958009, 355.306169, -10.612139, 18.064, GO12013_LC|GO12001_LC
245959677, 347.135448, -10.566001, 18.427, GO12081_LC|GO12013_LC|GO12001_LC
245959743, 349.299231, -10.563891, 17.609, GO12081_LC|GO12013_LC|GO12001_LC
245962853, 347.773103, -10.477047, 17.996, GO12081_LC|GO12013_LC|GO12001_LC
245965856, 350.903553, -10.394998, 18.101, GO12081_LC|GO12013_LC|GO12001_LC
245968612, 354.926619, -10.316625, 18.432, GO12081_LC|GO12013_LC|GO12001_LC
245971594, 348.070156, -10.236167, 15.67, GO12001_LC|GO12116_LC
245975340, 352.802669, -10.13282, 18.222, GO12081_LC|GO12013_LC|GO12001_LC
245975493, 355.355833, -10.128899, 17.939, GO12081_LC|GO12013_LC|GO12001_LC
245978001, 355.413622, -10.062282, 18.424, GO12081_LC|GO12013_LC|GO12001_LC
245978629, 355.459847, -10.045174, 18.343, GO12081_LC|GO12013_LC|GO12001_LC
245979667, 352.74204, -10.016971, 17.76, GO12086_LC|GO12001_LC|GO12116_LC
245979927, 354.517933, -10.010161, 18.436, GO12081_LC|GO12013_LC|GO12001_LC
245984019, 346.933977, -9.899679, 17.088, GO12001_LC|GO12116_LC
245988677, 351.313706, -9.774734, 17.949, GO12081_LC|GO12086_LC|GO12013_LC|GO12001_LC
245989610, 351.422989, -9.750353, 18.449, GO12081_LC|GO12013_LC|GO12001_LC
245989862, 350.648597, -9.743923, 17.629, GO12081_LC|GO12086_LC|GO12013_LC|GO12001_LC
245990899, 346.797226, -9.717112, 18.058, GO12001_LC
245994247, 351.221803, -9.631993, 17.991, GO12081_LC|GO12013_LC|GO12001_LC
245994287, 346.479665, -9.630822, 17.889, GO12001_LC
245994692, 350.833031, -9.621228, 18.063, GO12001_LC
245994818, 354.274583, -9.61826, 17.588, GO12086_LC|GO12013_LC|GO12001_LC
245995431, 356.418521, -9.602817, 18.029, GO12081_LC|GO12013_LC|GO12001_LC
245997390, 346.451311, -9.553163, 18.087, GO12081_LC|GO12013_LC|GO12001_LC
245999385, 347.21131, -9.501023, 18.414, GO12013_LC|GO12001_LC
246000300, 351.980991, -9.476656, 17.083, GO12086_LC|GO12013_LC|GO12001_LC
246001821, 354.140497, -9.43805, 18.485, GO12086_LC|GO12001_LC
246001823, 354.140449, -9.438024, 18.488, GO12086_LC|GO12013_LC|GO12001_LC
246005286, 354.636637, -9.349855, 17.57, GO12013_LC|GO12001_LC
246007119, 347.078662, -9.303207, 15.703, GO12001_LC|GO12116_LC
246009456, 355.277797, -9.242443, 17.851, GO12001_LC
246010817, 347.372537, -9.20856, 17.771, GO12001_LC
246011106, 357.029744, -9.200736, 17.653, GO12001_LC
246011520, 347.190033, -9.189945, 16.764, GO12013_LC|GO12001_LC
246012096, 350.076487, -9.174914, 18.348, GO12081_LC|GO12013_LC|GO12001_LC
246013509, 357.685132, -9.139872, 17.861, GO12081_LC|GO12013_LC|GO12001_LC
246013903, 353.906265, -9.129331, 17.999, GO12001_LC
246015404, 352.053728, -9.089585, 18.068, GO12081_LC|GO12013_LC|GO12001_LC
246015751, 350.503238, -9.080915, 18.306, GO12081_LC|GO12013_LC|GO12001_LC
246016939, 347.177374, -9.049592, 18.324, GO12001_LC
246019150, 356.954508, -8.995374, 18.228, GO12081_LC|GO12013_LC|GO12001_LC
246019696, 351.800249, -8.982577, 18.322, GO12081_LC|GO12086_LC|GO12013_LC|GO12001_LC
246021380, 357.296383, -8.941212, 18.129, GO12015_LC|GO12001_LC
246022444, 357.704878, -8.915074, 18.407, GO12081_LC|GO12013_LC|GO12001_LC
246026619, 358.038546, -8.807159, 18.289, GO12081_LC|GO12013_LC|GO12001_LC
246026916, 357.108795, -8.799166, 17.642, GO12001_LC
246028836, 349.75848, -8.750052, 18.081, GO12002_LC|GO12001_LC|GO12040_LC|GO12040_SC
246031395, 346.181144, -8.685726, 14.109, GO12001_LC
246032615, 348.16684, -8.655538, 17.036, GO12086_LC|GO12013_LC|GO12001_LC
246039364, 345.894335, -8.496558, 18.492, GO12001_LC
246041231, 346.796784, -8.454253, 16.897, GO12001_LC
246041236, 349.971372, -8.454187, 17.391, GO12086_LC|GO12001_LC
246046047, 353.386482, -8.344046, 15.96, GO12001_LC
246046722, 347.542317, -8.329352, 18.006, GO12081_LC|GO12086_LC|GO12013_LC|GO12001_LC
246063970, 346.811747, -7.934453, 16.359, GO12001_LC
246068013, 356.707596, -7.844411, 18.073, GO12001_LC
246074839, 347.845602, -7.689154, 18.305, GO12001_LC
246092874, 357.027054, -7.296286, 17.573, GO12001_LC
246104555, 345.339635, -7.040231, 18.291, GO12001_LC
246132405, 348.950482, -6.437859, 18.369, GO12001_LC
246159493, 348.580085, -5.861532, 17.76, GO12001_LC
246161009, 345.884867, -5.829709, 18.285, GO12001_LC
246208013, 347.043336, -4.860974, 17.322, GO12001_LC
246228796, 357.725919, -4.450758, 18.036, GO12001_LC
246229752, 357.049, -4.432299, 18.434, GO12081_LC|GO12001_LC|GO12094_LC
246236009, 353.287077, -4.313447, 18.426, GO12001_LC
246237665, 348.435882, -4.282392, 18.424, GO12001_LC
246248099, 358.715229, -4.08425, 18.139, GO12081_LC|GO12013_LC|GO12001_LC
246248998, 359.137184, -4.06672, 16.821, GO12001_LC
246279704, 356.891571, -3.468791, 18.438, GO12001_LC
246285768, 351.126279, -3.351784, 18.499, GO12001_LC
246286922, 353.749007, -3.328683, 17.016, GO12001_LC
246287985, 346.002531, -3.309144, 17.972, GO12001_LC
246289180, 350.883118, -3.284781, 18.362, GO12081_LC|GO12001_LC|GO12094_LC
246291845, 353.369317, -3.231449, 18.378, GO12001_LC
246300698, 355.059889, -3.05141, 18.269, GO12001_LC
246303761, 354.485116, -2.991852, 18.398, GO12001_LC
246310719, 351.446264, -2.85015, 18.381, GO12001_LC
246327456, 354.488914, -2.516017, 18.318, GO12081_LC|GO12013_LC|GO12001_LC|GO12094_LC
246340689, 353.674504, -2.254294, 18.247, GO12081_LC|GO12001_LC
246340910, 352.643493, -2.250106, 17.077, GO12081_LC|GO12086_LC|GO12001_LC
246363775, 352.901369, -1.802039, 18.245, GO12081_LC|GO12001_LC
246372973, 347.013358, -1.624965, 17.438, GO12001_LC
246390469, 348.228758, -1.27237, 18.085, GO12086_LC|GO12001_LC
246395873, 347.275431, -1.121217, 17.505, GO12001_LC|GO12116_LC
246396131, 345.481506, -1.113584, 17.211, GO12081_LC|GO12013_LC|GO12001_LC
246399475, 346.204253, -1.014206, 17.775, GO12081_LC|GO12013_LC|GO12001_LC
246399712, 346.559078, -1.006825, 17.653, GO12013_LC|GO12001_LC
246403140, 350.750006, -0.899783, 16.582, GO12086_LC|GO12013_LC|GO12001_LC
246403432, 353.60041, -0.890222, 16.808, GO12086_LC|GO12001_LC|GO12116_LC
246409753, 350.895299, -0.695487, 17.8, GO12001_LC
246412710, 349.299086, -0.601027, 17.549, GO12086_LC|GO12013_LC|GO12001_LC
246413577, 347.406855, -0.574886, 18.381, GO12001_LC
246414293, 346.863995, -0.553766, 17.249, GO12001_LC
246414831, 349.331651, -0.536719, 18.179, GO12086_LC|GO12001_LC
246416262, 349.738581, -0.492138, 17.691, GO12081_LC|GO12086_LC|GO12013_LC|GO12001_LC
246416718, 347.880156, -0.478348, 18.414, GO12081_LC|GO12013_LC|GO12001_LC
246416720, 349.1458, -0.478328, 18.152, GO12081_LC|GO12086_LC|GO12013_LC|GO12001_LC
246417575, 352.199122, -0.450811, 18.48, GO12001_LC
246420012, 349.105848, -0.373683, 18.077, GO12013_LC|GO12001_LC
246420241, 351.461488, -0.366767, 18.26, GO12081_LC|GO12013_LC|GO12001_LC
246421012, 353.193546, -0.342789, 17.113, GO12001_LC|GO12116_LC
246423807, 352.913788, -0.254501, 18.035, GO12081_LC|GO12086_LC|GO12013_LC|GO12001_LC
246424338, 349.401553, -0.237816, 17.264, GO12001_LC
246424667, 347.970416, -0.226456, 18.144, GO12081_LC|GO12013_LC|GO12001_LC
246425882, 347.763792, -0.187918, 17.927, GO12001_LC
246427833, 350.603633, -0.122164, 18.106, GO12081_LC|GO12013_LC|GO12001_LC
246431837, 352.637309, 0.007329, 17.258, GO12086_LC|GO12001_LC
246437254, 348.788894, 0.173959, 18.043, GO12081_LC|GO12013_LC|GO12001_LC
246438698, 350.376673, 0.219356, 17.382, GO12001_LC
246439312, 350.69145, 0.238448, 18.371, GO12001_LC
246440888, 348.212032, 0.288698, 18.087, GO12013_LC|GO12001_LC
246441605, 350.447257, 0.311559, 16.406, GO12001_LC
246442261, 351.154854, 0.333311, 18.269, GO12001_LC
246442541, 350.866654, 0.342499, 16.954, GO12086_LC|GO12001_LC
246444083, 349.091626, 0.392651, 18.417, GO12081_LC|GO12013_LC|GO12001_LC
246448460, 350.156802, 0.528543, 18.029, GO12001_LC
246450073, 348.351881, 0.579101, 16.058, GO12081_LC|GO12013_LC|GO12001_LC
246453682, 348.910972, 0.697888, 18.033, GO12001_LC
246458377, 349.694072, 0.857323, 18.039, GO12001_LC
246460180, 350.395402, 0.920107, 17.179, GO12001_LC|GO12116_LC
246467880, 350.780227, 1.189207, 18.314, GO12013_LC|GO12001_LC
246469501, 351.798261, 1.246385, 18.225, GO12081_LC|GO12013_LC|GO12001_LC
