# Summary of K2 Program GO12006

Title: The effect of wide binaries on planet occurrence - K2 Campaigns 12 and 13

PI: Deacon, Niall R (University of Hertfordshire)
CoIs: Kraus, Adam L; Mann, Andrew Withycombe

We plan to observe a sample of wide binaries spread across the K2 fields to constrain the effect of wide multiplicity on planet occurrence and to provide benchmark systems for gyrochronology.

Science Goal 1: Probe the effect of wide multiplicity on planet occurrence. Wide companions are common in the field; Raghavan et al (2010) found that >20% of solar-type stars have a companion wider than 100 AU. Any link between planet occurrence and wide multiplicity will have a significant effect on the number of habitable planets in the Galaxy. We propose to test the disruption of planetary systems caused by a wide companion proposed by Kaib et al. (2013).  In this theory, wide companions interact with field stars and are sent into elliptical orbits bringing them close to their primary star, possibly close enough to disrupt a planetary system. This could eject planets from the system or provide an instigator for migration, moving giant planets closer to their parent star. In Deacon et al. (2016) we showed that wide binarity does not affect the occurrence rate of P<300 day planets around FGK stars. We plan to expand this to M dwarfs using K2 data. Over the course of the next two years we will target approximately 1000 stars across the 10 K2 fields yielding approximately 20 planets. This will allow us to measure the occurrence of short period planets around stars in wide binaries and to test whether this deviates significantly from the field population. This will constrain the potential systematic bias on planet occurrence rates caused by multiplicity. Kepler has already been used to accurately measure the rotation periods of thousands of stars. 

Science Goal 2: Wide binary systems contain stars which are physically isolated from each other yet share common metallicity and age. This means that the stars in these systems can be used to test age relations, which should give similar ages for both components. 

We have used the proper motion catalogue produced by Kraus et al. (2014) based on the methods of Kraus & Hillenbrand (2007) including proper motions, estimated spectral types and distance moduli from SED fitting. We have selected objects with significant (>5 sigma) proper motions above 30 mas/yr. From these we selected pairs of widely separated objects with common proper motion and distance.  To remove contamination due to coincident pairings of unrelated field stars, we plotted a histogram of pair separations similar to the one we constructed for previous fields. From this we will select pairs which lie in the region dominated by true physical pairs. Field 11's low latitude means that the coincident pairing rate is too high to select any true common proper motion binaries, but field 12 and 13 are rich with identifiable wide binary systems.

# Targets requested by this program that have been observed (258)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
245917915, 352.47479, -12.377241, 12.871, GO12006_LC|GO12018_LC|GO12014_LC
245917943, 352.475455, -12.375889, 12.907, GO12019_LC|GO12006_LC|GO12002_LC|GO12018_LC|GO12071_LC|GO12014_LC
245918514, 348.464152, -12.341677, 14.441, GO12006_LC|GO12123_LC
245919015, 353.158937, -12.311082, 14.148, GO12006_LC|GO12018_LC|GO12123_LC|GO12049_LC
245919977, 353.169797, -12.252375, 14.692, GO12006_LC|GO12018_LC|GO12123_LC|GO12049_LC
245923218, 353.438941, -12.061094, 15.817, GO12006_LC
245923358, 353.420537, -12.051959, 14.438, GO12006_LC|GO12123_LC
245928899, 352.653692, -11.772012, 11.068, GO12006_LC|GO12002_LC|GO12122_LC|GO12071_LC|GO12123_LC|GO12049_LC|GO12904_LC
245929080, 352.651118, -11.763109, 14.667, GO12006_LC|GO12018_LC|GO12123_LC|GO12049_LC
245930635, 348.156779, -11.685325, 15.823, GO12006_LC|GO12123_LC
245930796, 348.140747, -11.677654, 15.482, GO12006_LC|GO12123_LC
245930838, 353.381612, -11.675535, 13.861, GO12006_LC|GO12122_LC
245931449, 351.675765, -11.644101, 12.058, GO12006_LC|GO12122_LC|GO12071_LC|GO12049_LC
245935293, 347.876859, -11.454989, 14.653, GO12006_LC|GO12018_LC|GO12123_LC|GO12049_LC
245935332, 349.506148, -11.45292, 15.866, GO12006_LC
245935589, 349.498811, -11.440758, 12.231, GO12006_LC|GO12122_LC
245937911, 352.44584, -11.32541, 13.881, GO12006_LC|GO12122_LC|GO12123_LC|GO12049_LC
245937974, 352.429225, -11.322486, 15.1, GO12006_LC|GO12123_LC
245942888, 351.373123, -11.098054, 15.267, GO12006_LC|GO12018_LC|GO12123_LC|GO12049_LC
245946001, 352.566523, -10.986339, 14.173, GO12006_LC
245951028, 349.973377, -10.822568, 15.547, GO12006_LC
245952878, 348.848173, -10.763811, 15.719, GO12006_LC|GO12018_LC
245953404, 347.96833, -10.748106, 15.659, GO12006_LC|GO12123_LC
245953791, 347.971149, -10.735462, 15.18, GO12006_LC|GO12123_LC
245958616, 348.837266, -10.594795, 15.459, GO12006_LC
245958630, 348.066682, -10.594323, 12.339, GO12006_LC|GO12122_LC|GO12071_LC|GO12049_LC
245960227, 352.877293, -10.550604, 12.428, GO12006_LC|GO12122_LC|GO12071_LC|GO12123_LC|GO12049_LC
245961338, 352.820576, -10.519911, 15.732, GO12006_LC|GO12123_LC|GO12049_LC
245961866, 355.784822, -10.504226, 13.506, GO12006_LC|GO12122_LC|GO12123_LC|GO12049_LC
245961987, 355.782561, -10.501246, 15.597, GO12006_LC|GO12123_LC
245962297, 355.394363, -10.492014, 14.697, GO12006_LC|GO12123_LC
245964247, 348.029104, -10.437859, 15.252, GO12015_LC|GO12006_LC
245964562, 351.072988, -10.429569, 14.883, GO12006_LC|GO12018_LC|GO12123_LC|GO12049_LC
245971043, 354.713884, -10.251756, 14.77, GO12006_LC|GO12123_LC
245971239, 354.726652, -10.246241, 13.946, GO12006_LC|GO12122_LC|GO12123_LC
245975821, 351.051343, -10.119448, 14.721, GO12006_LC|GO12123_LC
245975848, 351.046901, -10.118969, 15.345, GO12006_LC
245981870, 350.350241, -9.960028, 14.84, GO12006_LC|GO12018_LC|GO12123_LC|GO12049_LC
245982571, 350.337138, -9.940824, 13.505, GO12006_LC|GO12122_LC|GO12018_LC|GO12123_LC|GO12049_LC
245983267, 346.807236, -9.920926, 14.588, GO12019_LC|GO12006_LC|GO12018_LC|GO12123_LC|GO12014_LC
245983359, 346.808499, -9.917969, 14.742, GO12006_LC|GO12018_LC|GO12123_LC|GO12014_LC
245983571, 349.351431, -9.911988, 15.746, GO12006_LC
245983584, 349.37099, -9.911491, 14.829, GO12006_LC
245986444, 348.221899, -9.833859, 15.12, GO12006_LC
245989412, 351.232206, -9.755915, 15.059, GO12006_LC|GO12123_LC
246003703, 354.498374, -9.391181, 15.921, GO12006_LC
246004566, 353.650135, -9.369065, 14.621, GO12036_LC|GO12006_LC|GO12002_LC|GO12018_LC|GO12123_LC
246004568, 353.644464, -9.369054, 14.87, GO12006_LC|GO12018_LC|GO12123_LC
246018859, 352.366094, -9.001927, 13.588, GO12006_LC|GO12122_LC
246019568, 352.365024, -8.985552, 15.408, GO12006_LC|GO12123_LC
246020618, 354.222334, -8.960124, 15.576, GO12006_LC|GO12123_LC|GO12049_LC
246026580, 355.847111, -8.808287, 14.176, GO12019_LC|GO12006_LC|GO12018_LC|GO12123_LC|GO12902_LC|GO12903_LC
246027029, 355.834052, -8.796403, 11.005, GO12036_LC|GO12006_LC|GO12002_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC
246027754, 351.224079, -8.777935, 15.846, GO12006_LC
246028187, 348.217698, -8.766641, 13.047, GO12006_LC|GO12122_LC|GO12123_LC|GO12049_LC
246031328, 348.095221, -8.687513, 15.984, GO12006_LC
246033024, 351.905669, -8.646628, 15.504, GO12006_LC|GO12123_LC
246035841, 350.793659, -8.580888, 14.592, GO12019_LC|GO12006_LC|GO12123_LC
246039378, 358.278458, -8.496221, 13.65, GO12019_LC|GO12036_LC|GO12006_LC|GO12002_LC|GO12123_LC|GO12014_LC
246039774, 358.283874, -8.487925, 15.804, GO12006_LC|GO12014_LC|GO12903_LC
246040118, 347.455555, -8.479104, 13.707, GO12006_LC|GO12122_LC|GO12123_LC
246040345, 345.915469, -8.474481, 15.465, GO12006_LC
246044408, 353.197977, -8.380919, 15.418, GO12015_LC|GO12006_LC|GO12123_LC
246044430, 357.017901, -8.380389, 15.639, GO12006_LC|GO12018_LC|GO12123_LC
246048523, 351.902248, -8.290157, 15.169, GO12006_LC|GO12123_LC
246054807, 349.257966, -8.1464, 15.926, GO12080_LC|GO12006_LC|GO12018_LC
246055433, 354.047673, -8.132495, 15.88, GO12006_LC|GO12018_LC
246055542, 354.076687, -8.130139, 14.9, GO12006_LC|GO12018_LC|GO12123_LC|GO12049_LC
246059517, 354.120936, -8.0367, 14.953, GO12015_LC|GO12006_LC
246062050, 346.243296, -7.978941, 14.493, GO12019_LC|GO12006_LC|GO12018_LC|GO12123_LC|GO12014_LC
