# Summary of K2 Program GO12022

Title: Activity and Planets at the Bottom of the Main-Sequence

PI: Muirhead, Philip Steven (Boston University)
CoIs: Skinner, Julie N; Croll, Bryce

We propose to observe a carefully selected sample of ultra-cool dwarfs (UCDs) with K2 during Campaigns 11, 12 and 13. UCDs occupy the transition from main-sequence stars to brown dwarfs (late-M and later) and are essential to understanding the formation and evolution of the lowest mass objects in the Universe. Historically, photometric monitoring of UCDs for transiting planets and rotational spot modulation has been hampered by their intrinsic faintness and the expected short duration of transit events. The K2 spacecraft provides an excellent opportunity to study these objects in more detail, thanks to the large aperture and near-continuous 80-day photometric coverage of each K2 field. 

Searching for Transiting Planets Orbiting UCDs: The discovery of a transiting-planet orbiting a UCD would having significant implications for the field of exoplanets. UCDs are small, all roughly the diameter of Jupiter, which implies deep fractional transit signatures. UCDs are also relatively bright in the infrared. A planet that transits a UCD, whether gaseous or rocky, would be an ideal target for near-infrared transit transmission spectroscopy, as has been successfully performed on super Earths orbiting mid-M dwarf stars with the Hubble Space Telescope. Future transit transmission observations with NASAs James Webb Space Telescope may be able to detect biosignatures in the atmospheres of rocky planets, but only for those planets that transit ultra-cool dwarfs. The transits from rocky planets orbiting mid-M dwarf stars and earlier are simply not deep enough to search for biosignatures over the expected lifetime of JWST. Recent studies of short-period planet occurrence around early and mid M dwarfs show that lower mass stars have significantly more rocky short-period planets than Sun-like stars. Extrapolating to ultra-cool dwarfs, we expect a large fraction, if not all UCDs to harbor rocky planets with transit probabilities of ~10%. 

Spot morphology at the M/L transition: Studies indicate that over 90% of UCDs show evidence of surface activity in the form of H± emission; however, the nature of the activity is not fully understood. Unlike sun-like stars, UCDs have fully convective interiors and are expected to have magnetic field morphologies markedly different from the Sun. With precise photometric monitoring of UCDs with K2 we will measure the morphology of spots on the surfaces of UCDs via light curve inversion. We will also search for flare events and correlate those flare events to specific spots structures. 

Surface activity in UCDs is related to stellar wind and ultraviolet emission from their chromospheres, both of which affect the photochemistry in the upper atmospheres of orbiting exoplanets. Understanding the nature of surface activity on UCDs is therefore critical for interpreting transit-transmission spectroscopy, as well as inferring the habitability of any detected planets. K2 provides a unique opportunity to study ultra-cool dwarfs in a way never before realized.

# Targets requested by this program that have been observed (99)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200164267, , , , GO12022_SC|GO12029_SC|GO12032_SC|GO12039_SC|GO12042_SC|GO12046_SC|GO12123_SC|TRAPPIST
245947858, 353.772433, -10.92376, 18.339, GO12022_LC|GO12029_LC
245953430, 348.198378, -10.747289, 16.234, GO12042_LC|GO12022_LC|GO12029_LC
245956835, 352.019149, -10.645902, 18.584, GO12042_LC|GO12022_LC|GO12029_LC
245958890, 349.778122, -10.58757, 17.7, GO12022_LC|GO12029_LC
245969367, 347.941493, -10.295742, 18.138, GO12022_LC
245970317, 353.36262, -10.271108, 17.199, GO12042_LC|GO12022_LC|GO12029_LC
245973002, 350.472958, -10.196081, 17.646, GO12022_LC|GO12029_LC
245973791, 355.237049, -10.173658, 18.088, GO12022_LC|GO12029_LC
245973927, 354.551367, -10.170383, 15.734, GO12022_LC|GO12029_LC
245976296, 354.936762, -10.107252, 17.741, GO12022_LC|GO12029_LC
245977399, 349.130162, -10.078222, 17.505, GO12022_LC
245985164, 350.615413, -9.868617, 17.889, GO12022_LC|GO12029_LC
245985652, 354.687131, -9.855343, 17.238, GO12042_LC|GO12022_LC|GO12029_LC
245988704, 354.031622, -9.77398, 17.512, GO12022_LC|GO12029_LC
245992541, 348.446439, -9.675099, 18.006, GO12022_LC|GO12029_LC
245995408, 347.434909, -9.603185, 18.074, GO12022_LC|GO12029_LC
245995471, 354.059277, -9.601832, 14.716, GO12042_LC|GO12018_LC|GO12022_LC|GO12029_LC
245997252, 354.319311, -9.556982, 14.741, GO12042_LC|GO12022_LC|GO12029_LC
245997672, 355.676519, -9.54564, 18.512, GO12022_LC|GO12029_LC
245998310, 347.392498, -9.528725, 18.588, GO12022_LC|GO12029_LC
246003706, 356.049266, -9.391106, 17.906, GO12022_LC|GO12029_LC
246005947, 348.830497, -9.333104, 17.883, GO12022_LC|GO12029_LC
246006971, 355.729181, -9.307059, 17.711, GO12022_LC|GO12029_LC
246008196, 347.387223, -9.275316, 17.164, GO12022_LC|GO12029_LC
246013537, 355.577451, -9.139111, 17.415, GO12042_LC|GO12022_LC|GO12029_LC
246015548, 355.777729, -9.086077, 16.912, GO12042_LC|GO12022_LC
246016138, 355.334127, -9.070174, 17.711, GO12042_LC|GO12022_LC|GO12029_LC
246018096, 355.395516, -9.020831, 17.477, GO12022_LC|GO12029_LC
